SampleID	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s111	-7.14636127683078	-2.39015083342982	-5.3765807143215	-6.61829384663028	-3.83772423605948	-1.62786125985154	-1.81911848713975	-3.31677514715852	-3.21624212916221	-7.33741651359348	-3.57377140890686	-10.2818554927599	-0.399540505456598	-9.18324320409182	-10.2818554927599
s112	-0.517355318562323	-7.35704586663033	-3.111411856862	-0.538996500732687	0.730532956444739	-0.993672994943027	-2.46369373314881	-0.525955672583679	0.0537850826577352	-8.96648377906443	-0.890279251825405	-0.236924909505863	-8.96648377906443	-8.96648377906443	-8.96648377906443
s113	-6.39024066706535	3.63338270671076	-6.39024066706535	-7.48885295573346	-7.48885295573346	-5.29162837839724	-6.39024066706535	-7.48885295573346	-7.48885295573346	-5.29162837839724	-7.48885295573346	-6.39024066706535	-4.35335873980431	-5.09095768293509	-7.48885295573346
s114	-8.42009474695269	-4.30922088277938	-7.57279688656548	-6.38321281969165	-3.68682455833728	-0.0644013966381059	0.451737985040212	-1.2314302798062	-3.06193738004863	-4.05912152147664	-0.525652405474664	-7.9092691231867	-7.9092691231867	-1.7793478329317	-9.5187070356208
s115	-5.46100294882513	3.31925511627549	-4.43935170129315	-6.04878961372725	-6.55961523749324	-7.65822752616135	-6.04878961372725	-6.55961523749324	-7.65822752616135	-2.08607349398359	-7.65822752616135	-6.04878961372725	-4.04730961351713	-7.65822752616135	-4.95017732505914
s116	-8.98243550356026	-2.35219196837583	-7.51609843476684	-10.0810477922284	-7.13660881306193	-7.51609843476684	-1.37373023195516	-8.98243550356026	-5.25273405492607	-10.0810477922284	-10.0810477922284	-8.98243550356026	-8.47160987979427	-0.383908131089053	-10.0810477922284
s117	-8.59217697041535	-2.48515408267309	-8.59217697041535	-9.69078925908346	-3.63400524585483	-0.869499453947344	-1.95055973432028	-6.74635027991702	-4.310891905543	-5.40032981793507	-2.03587221123514	-1.20302487835803	0.0412573277549281	-5.92958914338989	-9.69078925908346
s118	2.6715548348544	-0.0155138078876694	1.6693088454883	-3.07515940718531	-6.29403523205351	-4.09681065471729	-4.09681065471729	-7.39264752072162	-7.39264752072162	-1.61499519749897	-7.39264752072162	-5.78320960828752	-0.435150149844672	-7.39264752072162	-7.39264752072162
s119	-0.0712148701791711	-8.06652149046999	-6.45708357803589	-0.345616238533214	1.09178847341181	-2.61548303690429	-5.50157213300846	0.950112765845597	1.02537312629971	-8.06652149046999	-0.878864326355037	-8.06652149046999	-8.06652149046999	-4.25985900069967	-8.06652149046999
s120	-1.95260510822874	-8.81640849968169	-6.87049835062638	-1.69434861805255	-1.5336473200761	-4.18167951145206	-8.81640849968169	-3.40923672822157	-3.78597057828926	1.04620497364446	-4.55372862264038	-8.81640849968169	-8.81640849968169	-8.81640849968169	-8.81640849968169
