SampleID	Oral.Veillonella	Oral.Streptococcus	Oral.Prevotella	Oral.Rothia	Oral.Staphylococcus	Oral.Klebsiella	Oral.Granulicatella	Oral.Mycoplasma	Oral.Fusobacterium	Oral.Capnocytophaga	Oral.Neisseria	Oral.Actinomyces	Oral.Campylobacter	Oral.Prevotellaceae_Uncltrd	Oral.Lautropia
s133	-7.85554467791566	-6.75693238924755	-6.75693238924755	-7.85554467791566	1.63899671467565	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566	-7.85554467791566
s134	-1.52865123618549	0.703032506255444	-4.24470147995478	-0.159028949492512	-0.610609050953807	-8.66354208775138	-1.54148220612223	-8.66354208775138	-4.62049081991682	-7.56492979908326	-0.197431686564454	-5.05262417510715	-6.09859273028984	-8.66354208775138	-8.66354208775138
s135	-1.2979586830148	0.793863902957982	-3.49742541375671	-0.417927766526936	-6.4831073514572	-8.0925452638913	-2.51281543790508	-8.0925452638913	-5.52759590642976	-6.4831073514572	-0.754957520352703	-2.59128705334657	-3.91815799399566	-8.0925452638913	-3.18727048545287
s136	-0.708618950608882	-0.764068406868291	-2.69056903614739	-0.673832834523467	-5.91557984958311	-8.48052920704465	-2.84931742522328	-8.48052920704465	-2.85651170085731	-2.91600879972195	-0.959211226845406	-2.66639867521958	-3.26017338196632	-4.13672378519096	0.244165839695844
s137	-1.89711998488588	-0.879802438611018	-2.17491805548321	-0.749816537048173	-3.21835620937197	-9.17159954365975	-3.86829463560068	-3.4253963531196	-3.04691615276555	-2.98333542057716	-1.6309780150026	-2.74026846172627	-4.22283965328158	-2.20463240504577	-1.86842949242295
s138	-0.762839457580728	-0.654548991261362	0.0824982784460844	-2.40360470885174	-6.26710067338522	-9.21153965255166	-0.401826112043397	-9.21153965255166	-2.82972363514557	-3.25311495952188	-7.60210174011756	-3.3507534290858	-4.16811453563242	-8.11292736388356	-9.21153965255166
s139	0.499097683532265	-0.161817376485806	-0.0821916165159007	-0.96078563282367	-6.26692943562117	-8.21283958467648	-4.65749152318707	-8.21283958467648	-1.21432994242588	-1.68634472510569	-6.60340167224238	-2.09694745919345	-2.77911758112224	-7.11422729600837	-8.21283958467648
s140	0.304849128792477	-0.357397719427955	-1.67970603173793	-2.78133719062329	-1.39560988367227	-8.87038206607014	-3.52804781410533	-2.48856604866404	-1.66326320986238	-1.94184424790547	-4.50093421360312	-0.809210706379217	-1.77448884497261	-1.45882577825897	-8.87038206607014
s141	-0.552193073442656	-2.92306697781478	-1.2790434857309	-2.40057941430094	-6.04689925399608	-8.75494945509829	-3.06797409875847	-8.75494945509829	-4.20107256349775	-0.703927246907615	-2.33332718729177	-5.71042701737487	-6.55772487776207	-5.61945523916914	-3.72451153370586
s142	0.115940532279258	0.263281415250216	0.77165943185884	1.4176883535583	-3.06358974894963	-1.04349926098585	-0.685226347068501	-3.96929837149324	-2.38113785750643	-8.01234963932779	-8.01234963932779	-2.32537428298797	-1.2450065140624	-8.01234963932779	-8.01234963932779
s143	-0.32656265141336	-3.84825638706916	-0.769042123514076	-3.97136244521445	-7.79564653633459	-9.40508444876869	-4.21769864292794	-8.30647216010058	-1.69040697496777	-0.995253775680956	-3.86382090361027	-3.57908434138824	-1.34580822546305	-7.00718917597032	-9.40508444876869
s144	-3.32883122690546	-2.56967328442442	-0.801614856064438	-1.3244047302222	-6.10889196398395	-9.32776778885215	-9.32776778885215	-1.00975751130528	-0.564496074839204	-8.22915550018404	-8.22915550018404	-5.47762018714209	-3.80231484972036	-2.1912845802619	-9.32776778885215
s145	-0.0165461848597988	-0.671106616944166	-0.333276376379744	-0.290116150732661	-6.89487265315112	-8.50431056558522	-2.85886366794199	-8.50431056558522	-8.50431056558522	-8.50431056558522	-8.50431056558522	-8.50431056558522	-5.55987158641878	-8.50431056558522	-8.50431056558522
s146	-1.30491560436778	-0.668651032640171	-0.769082889114645	-0.30564662742708	-2.29687864191764	-7.54284952809347	-1.60848457302606	-9.15228744052757	-5.65577987906109	-2.66765220489231	-6.44423723942536	-1.67185913445336	-6.95506286319135	-4.18944281026766	-9.15228744052757
s147	0.184714524694428	-0.677027798680062	-0.945140410603219	-1.89462310468729	-6.78997224332575	-8.98719682066197	-3.63533868718591	-1.30149375942743	-1.38679448616157	-1.35819293100902	-2.82810143217004	-1.61006310782802	-2.93041280743335	-8.98719682066197	-3.12641059719611
s148	-0.378640748790491	-2.4048321955788	-1.26663296046271	-2.94660806538589	-0.250680822082786	-9.17905608193642	-4.7364048254461	-8.08044379326831	-9.17905608193642	-5.20876416838429	-9.17905608193642	-1.90874319585739	-1.6310271120014	-0.626302715121628	-9.17905608193642
s149	-8.73198193834769	-6.16703258088616	-6.33408666554932	0.538418190056152	1.07240325314522	-7.63336964967958	-8.73198193834769	-6.78607178929238	-8.73198193834769	-8.73198193834769	-8.73198193834769	-5.01840987164339	-7.63336964967958	-7.63336964967958	-8.73198193834769
s150	0.389320846028586	0.208904007470933	0.582395816267243	0.658760338499468	-0.0893226501552051	0.726390771603706	-3.65979387321884	-6.87866969808704	-7.97728198675515	-7.97728198675515	-0.806393508242645	-3.68682254560676	-1.74877098316397	-6.87866969808704	-7.97728198675515
s151	-1.91382663447693	-4.27529906480452	-1.9304503939202	-4.48083891170048	-9.48478521764594	-9.48478521764594	-5.72358510195238	-9.48478521764594	-0.910266959610436	-1.1103083284313	-0.974213902538593	-4.09571348782944	-2.50843714719819	-7.87534730521184	-1.69698833946477
s152	1.25234980225894	-0.00362100576695218	-4.61729154652044	-0.366360249673196	0.868719102098479	-8.33086361322474	-5.03502674722041	-8.33086361322474	-8.33086361322474	-8.33086361322474	-8.33086361322474	-7.23225132455663	-4.15647634332911	-8.33086361322474	-8.33086361322474
s153	-0.812900055300952	-0.0772268707817886	-1.72723372674502	-0.960656533194873	-3.52187255298687	-9.1882992410993	-4.65569974794605	-2.04389206077816	-2.82699676352631	-2.73782881895513	-1.91520664509978	-2.70672211182287	-3.59358786149746	-1.77312413148601	-4.28302446266087
s154	-0.101319862450434	-1.9452758325101	-1.84175594445454	-1.80913212888091	-7.11133084213692	-9.30855541947314	-5.30122223424067	-3.29974223403054	-5.45840781776308	-1.66891313161512	-3.18825800052219	-1.95803924763914	-0.964525847066089	-7.36264527041782	-9.30855541947314
s155	-0.58837760209195	-0.841259320434847	-0.95782346046709	-2.72402022517842	-6.75621656960353	-8.22255363839696	-6.9232706542667	-1.77419180954854	-2.22196418351198	-3.48928344978155	-7.71172801463097	-2.78883163484272	-2.484906649788	-2.61064281761264	-9.32116592706507
s156	-0.165018277720901	-0.122664867698524	-1.85816979624439	-0.218151238657153	-7.41962036232279	-9.02905827475689	-1.5285287893616	-7.93044598608878	-9.02905827475689	-1.51316918954176	-6.63116300195852	-1.9315094241421	-3.33532613595419	-7.93044598608878	-9.02905827475689
s157	0.587833362233375	-0.989741549912366	-2.0135730003959	-3.88275531727137	-6.30823854658857	-7.774575615382	-4.58272846290171	-8.87318790405011	-4.27806805391552	-2.93565169896768	-1.92525083543514	-2.47792630593466	-3.27106908317041	-5.82866546632668	-1.62967492938462
s158	1.13923003184178	-1.02583373997509	1.79860445461174	-1.071627380914	-4.69756703525406	-7.91644286012226	-0.0527915946736082	-7.91644286012226	-6.81783057145415	-7.91644286012226	-1.71999873232774	-7.91644286012226	-3.49760225232566	-7.91644286012226	0.573790149711194
