SampleID	ETA.Staphylococcus	ETA.Prevotella	ETA.Streptococcus	ETA.Veillonella	ETA.Haemophilus	ETA.Pseudomonas	ETA.Klebsiella	ETA.Granulicatella	ETA.Rothia	ETA.Neisseria	ETA.Gemella	ETA.Moraxella	ETA.Prevotellaceae_Uncltrd	ETA.Lactobacillus	ETA.Acinetobacter
s116	-1.35117143524658	-0.743909958163489	-3.21445542288336	-0.764696676075417	-8.78660945506113	-8.78660945506113	-8.78660945506113	-5.07303738835682	-6.58938487772491	-3.50340572632314	-8.78660945506113	-8.78660945506113	-1.27727418904453	-3.17713765987617	-8.78660945506113
s117	-4.5503619494931	-5.98544647478242	0.538703030444447	0.592414882938627	2.21632338920031	-7.59488438721652	1.55899144777854	1.38440626187436	-2.27187440807811	-7.59488438721652	1.3109667939915	1.83322511973642	-7.59488438721652	-6.49627209854841	-7.59488438721652
s119	-7.40448197836863	-7.40448197836863	-6.89365635460263	-6.30586968970052	-4.26898776243948	1.99286341030576	-8.50309426703673	-8.50309426703673	-8.50309426703673	-8.50309426703673	-8.50309426703673	-8.50309426703673	-8.50309426703673	-8.50309426703673	-7.40448197836863
s120	-4.01620635791296	-2.00523261551058	-1.30294102113164	-1.46645486136085	-7.94803199063728	-7.94803199063728	-7.94803199063728	-3.08821958627561	-3.31330300240765	-4.58073616065081	-3.74333937124632	0.798843328932747	-7.94803199063728	-7.94803199063728	-7.94803199063728
s121	-0.431439258414152	-2.69824867767843	-2.17126471312585	-0.349534431111016	-2.04746439667484	-5.89918680185996	-9.19502366786429	-3.65376012270586	-4.5999038177297	-9.19502366786429	-3.87201368872588	-9.19502366786429	-2.31053701582151	-6.79712839506592	-9.19502366786429
s122	-2.41707454453701	-1.60668648067877	-0.932149579975493	-1.46156309950957	-8.83869681234353	-8.83869681234353	-8.83869681234353	-7.22925889990943	-4.35006044261139	-6.27374745488199	-7.74008452367542	-8.83869681234353	-3.00681433506001	-3.30530732361601	-8.83869681234353
s123	-9.37568530456302	0.725545936654585	-2.35370888149086	-1.16365949993958	-8.27707301589491	-7.42977515550771	-8.27707301589491	-9.37568530456302	-9.37568530456302	-0.26086513444425	-9.37568530456302	-9.37568530456302	-9.37568530456302	-6.15680947969482	-9.37568530456302
s124	-5.26096158000427	-3.03934554954389	-2.6139990708819	-2.9922780386859	-5.84874824490639	2.27906969955063	-7.45818615734049	-1.68674503421047	-6.35957386867238	-7.45818615734049	-7.45818615734049	-7.45818615734049	-7.45818615734049	-5.06029088454212	-7.45818615734049
s125	-5.4524680463753	-1.25443102559607	1.79800973681643	-1.77195684193188	2.795508568124	-7.64969262371152	-2.28840045800209	-2.63241278689659	-3.47530535381588	-4.94164242260931	-0.765205971668733	-1.48217613282317	-5.08474326624998	-3.88849250801795	-7.64969262371152
s126	-0.36814049412008	-1.90798511475499	0.976925133115658	-3.15099190830499	-7.78572089653462	-7.78572089653462	-7.78572089653462	-5.38782562373625	-2.16894979886805	-7.78572089653462	-2.33468244296892	-7.78572089653462	-5.22077153907309	0.899525879877863	-7.78572089653462
s130	-7.62070508683826	-7.62070508683826	-7.62070508683826	-4.40182926197006	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-7.62070508683826	-2.80852073146584	-5.67479493778295
s131	-6.17246944801719	-1.83827948486295	-0.488710677724481	-0.963558669184738	-0.393839926019703	-6.55195906972209	-9.11690842718363	-1.8994649954871	-1.18706199744113	-3.15848373415385	-0.84127737260562	-9.11690842718363	-1.45726547261895	-3.69195840970223	-9.11690842718363
s132	-5.29318795450873	0.946906542336744	0.703900284841627	-0.150980550270032	-9.0543880702023	-7.95577578153419	-9.0543880702023	-2.08365799205877	-2.47931222960268	-7.4449501577682	-1.25504467198638	-7.95577578153419	-2.84178197445078	-7.95577578153419	-9.0543880702023
s133	3.3556691870779	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-4.66343909411207	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-7.37148929521428	-5.76205138278018
s134	-7.41457288135059	-7.41457288135059	-0.359260038010837	-7.41457288135059	2.29308225236364	-6.31596059268248	-7.41457288135059	-5.21734830401437	-2.58625914404829	-2.77984389312095	-4.11873601534626	-7.41457288135059	-7.41457288135059	-7.41457288135059	-5.46866273229528
s136	0.859505314169352	-1.57641759852001	-2.3564124872694	-1.82444508429045	-7.5596339367715	-6.67233074177059	-8.4069317971587	-3.66199966879545	-2.01725057066738	-1.0095745308622	-6.13824825584034	-9.50554408582681	-7.89610617339271	-8.4069317971587	-9.50554408582681
s137	-7.83960434977215	-6.74099206110404	-9.44904226220624	-7.83960434977215	-9.44904226220624	-0.176572518764514	-8.35042997353814	-8.35042997353814	-8.35042997353814	-6.40451982448282	-7.83960434977215	-9.44904226220624	-9.44904226220624	-9.44904226220624	1.29236358551764
s138	-7.06008612209241	-1.06476538329425	-6.51354241572434	-5.03914078709418	-9.45798139489078	-7.51207124583547	-9.45798139489078	0.727258182066328	-8.35936910622267	-6.32248717896163	-3.43938818039455	-9.45798139489078	-9.45798139489078	-9.45798139489078	-8.35936910622267
s139	-3.47412262156683	-0.617815467686508	0.220943330404607	1.29156093803635	-8.422882511945	-8.422882511945	-8.422882511945	-4.18877600734774	-0.901564531745757	-8.422882511945	-8.422882511945	-8.422882511945	-6.02498723914663	-2.7495592447735	-8.422882511945
s140	-2.19278831305845	-2.12366040679984	-3.31739385722049	-2.77787774099157	-5.38238726315294	-3.82683443921382	-9.49326112732625	-9.49326112732625	-3.63818920512383	-2.86125934993062	-4.46282320593382	-9.49326112732625	-4.89814127719166	-4.48931482138079	-9.49326112732625
s142	-8.69884785922249	0.378760800299736	1.22066066936782	-1.03450122712387	-8.69884785922249	-7.60023557055438	-2.45468095855875	-1.10245555515829	1.26286143051376	-8.69884785922249	-1.30804933748681	-8.69884785922249	-8.69884785922249	-1.40515013862105	-8.69884785922249
s143	-9.31109027507633	-2.09658586092518	-2.24206684849807	-0.47923233987842	0.0602628927475603	-4.3911093492482	-9.31109027507633	-3.41119292149383	-3.13522300497056	-3.77770078634881	-1.88038319253036	-9.31109027507633	-9.31109027507633	-7.70165236264222	-6.47787693102011
s144	-5.71702770140622	-4.10758978897212	-2.34973187141975	-7.32646561384032	3.33911198949266	-7.32646561384032	-2.73134576370573	-7.32646561384032	-4.38202663467388	-7.32646561384032	-7.32646561384032	-7.32646561384032	-4.61841541273811	-4.61841541273811	-7.32646561384032
s145	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-4.83534776395968	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159	-7.6685611080159
s146	2.99020970910391	-5.36597601502185	-2.08077754722258	-5.11466158674095	-2.51609561848042	3.38791417762966	-6.21327387540906	-4.74693680661563	-4.09301033920897	-6.21327387540906	-7.31188616407717	-6.21327387540906	-6.21327387540906	-7.31188616407717	-7.31188616407717
s147	-9.51811914612709	-0.698897288552146	-0.222978172458438	-0.704234588101481	-9.51811914612709	-8.41950685745898	-9.51811914612709	-2.65431575467413	-2.6234491066936	-4.64292182292593	-1.74705206006168	-9.51811914612709	-9.51811914612709	-4.88339015789745	-8.41950685745898
s148	-1.28286893270501	-1.46895577623021	-3.04936719505251	-0.603743070482643	-3.96235213879217	-3.02580589571411	-9.67608494430153	-5.2816357896291	-4.72732505392337	-2.62077210096178	-4.55809113188478	-7.11113558684	-2.3450246390829	-4.84777120699923	-9.67608494430153
s149	2.59261138442139	-8.13094230223188	-8.13094230223188	-8.13094230223188	-7.03233001356377	-7.03233001356377	-8.13094230223188	-8.13094230223188	-1.14160703625732	-7.03233001356377	-8.13094230223188	-8.13094230223188	-8.13094230223188	-7.03233001356377	-8.13094230223188
s150	0.954502581354637	-2.98455897295587	0.410446438458368	-0.870238990656623	-5.7695702151942	-6.2803958389602	1.53763209957053	-1.7768893067486	-2.80429714912492	0.274012286175885	-6.2803958389602	-7.37900812762831	-7.37900812762831	-7.37900812762831	-7.37900812762831
s151	-4.83235052233111	-1.63070087138648	-3.77191080716803	-3.74125706607702	-3.71886807118355	-5.51432440229293	-9.32098689206325	-5.51432440229293	-5.82447933059677	-0.662120542330863	-3.66150467630363	-9.32098689206325	-5.95369106207677	-5.95369106207677	-9.32098689206325
s152	-0.916835305214412	-3.75551075592464	-2.06388375164891	-2.02816566904683	-5.77882897339219	-4.04754742312693	-5.67206099796648	-6.67421302044703	-4.73820394237443	-5.01107092904107	-6.10968321770918	-10.0415088504335	-10.0415088504335	-3.36568562879865	-10.0415088504335
s153	-3.39645803629826	-2.0818196640848	1.17209230665882	-1.78986103486576	-8.34521792667643	-5.0493810606721	-8.34521792667643	-5.300695488953	-3.54942738107969	-3.439943148238	0.252079508981471	-8.34521792667643	-1.27789807802295	-4.63164585997212	-7.24660563800832
s154	-4.71877640494783	-2.04516390065076	-2.6464847149809	-1.64411802935554	-4.02822325956493	-4.39421793545247	-9.98146659385272	-5.66397848031641	-2.79532228933039	-3.87444370611046	-4.11499853691942	-2.93481931600396	-9.98146659385272	-5.47060708733587	-9.98146659385272
s155	-3.04084309710046	-1.60638123683748	-0.802918537044417	-1.49564745339471	-4.43897191586735	-4.3874141062025	-9.68071893092699	-4.7462449977963	-4.85240519362469	-3.32983321421225	-5.14811943777374	-9.68071893092699	-4.31942676521757	-2.15615770464163	-5.96714686422268
s156	-3.45189713169976	-1.99853146488638	-1.09282284234277	-1.25234832321846	-3.89198620437397	-4.03134172528448	-4.06944157151675	-1.37968058039785	-1.59510842405921	-3.3909645807046	-3.79889578130796	-8.70417055974639	-4.15029366814584	-3.40086565168731	-8.70417055974639
s157	-3.74055146465826	-1.6423476465229	-2.27142109795922	-0.0745065020265961	-5.03983444878852	-5.55066007255451	1.17410676064597	-4.42765633076224	-5.13292487185453	-2.26585780127389	-5.03983444878852	-8.84649693855884	-5.23557902591461	-4.6721096686632	-8.84649693855884
s158	-3.09674256992279	-0.603922754842373	-4.66252275573584	-1.5518161336911	-9.29725174396548	-8.19863945529737	-7.68781383153138	-3.43078368703218	-4.01404801522749	-4.92780389149846	-9.29725174396548	-9.29725174396548	-9.29725174396548	-6.73230238650394	-8.19863945529737
