SampleID	GA.Prevotella	GA.Veillonella	GA.Streptococcus	GA.Enterococcus	GA.Lactobacillus	GA.Klebsiella	GA.Staphylococcus	GA.Rothia	GA.Granulicatella	GA.Escherichia_Shigella	GA.Afipia	GA.Haemophilus	GA.Neisseria	GA.Mycoplasma	GA.Fusobacterium
s122	-7.34858753092759	-3.00478210907391	-2.38574290066769	-3.98129170094112	-3.20545280453606	-7.34858753092759	-7.34858753092759	-7.34858753092759	-5.15136295359137	-5.40267738187228	-2.69462718077007	-7.34858753092759	-3.37829561737547	-7.34858753092759	-7.34858753092759
s123	1.01214472244574	0.0902316910693872	0.590546088626781	-8.58447793822183	-6.18658266542346	-8.58447793822183	-8.58447793822183	-8.58447793822183	-8.58447793822183	-6.97504002578773	-3.70928061502068	-8.58447793822183	-1.65203004664932	-1.68576340389185	-2.4467508841356
s124	-0.11831342342839	-0.326671655303097	0.494124783679864	-5.30238316405428	-1.95573322869135	-8.59822003005861	-6.20032475726024	-2.08350733918608	1.49045995436315	-8.59822003005861	-7.4996077413905	-8.59822003005861	-8.59822003005861	-0.918968604105552	-3.14718157649291
s125	1.90483068211868	-0.0569682184135755	-3.92177125484181	-5.86768140389712	-6.20415364051833	-7.81359155295243	-6.71497926428432	-7.81359155295243	-7.81359155295243	-6.71497926428432	-7.81359155295243	1.59862787503323	-7.81359155295243	-4.67809733702328	-4.00692906318211
s126	-2.62810713968455	-2.34830355480485	0.333646263602468	-5.83805433380845	2.43064900787495	-8.03527891114467	-1.33454780159686	-2.90538019622159	-8.03527891114467	-8.03527891114467	-3.80117240654741	-8.03527891114467	-8.03527891114467	-1.23399587667305	-3.42015839430341
s129	-7.96901178110648	-3.70633190406516	-6.35957386867238	-7.96901178110648	-6.02310163205116	-6.02310163205116	-7.96901178110648	-7.96901178110648	-7.96901178110648	-7.96901178110648	-2.02621240597978	-7.96901178110648	-7.96901178110648	-7.96901178110648	-7.96901178110648
s130	-7.34083555412327	-3.9735397241368	-4.9429402813249	3.66231373621654	-7.34083555412327	-7.34083555412327	-3.84432799265679	-7.34083555412327	-4.63278535302106	-7.34083555412327	-7.34083555412327	-7.34083555412327	-6.24222326545516	-4.77588619666174	-7.34083555412327
s131	-3.32795220043667	-3.19814058891468	-3.59926729542425	-3.45443634754579	-7.94307271727793	-7.94307271727793	-7.94307271727793	-3.97278080372581	-7.94307271727793	-7.94307271727793	-2.57243468915027	-7.94307271727793	-7.94307271727793	-7.94307271727793	-4.33215480463371
s132	-0.252104110648537	-0.737619036403753	-0.58578178008548	-7.62878289029296	-4.88501460658867	-8.92806587442322	-6.31310609638702	-2.08966067357587	-2.10768567492608	-8.41724025065723	-8.92806587442322	-8.92806587442322	-8.92806587442322	-10.0266781630913	-2.07406305144033
s133	-7.39387829010776	-7.39387829010776	-7.39387829010776	-7.39387829010776	-7.39387829010776	-7.39387829010776	-4.68582808900555	-7.39387829010776	-7.39387829010776	-7.39387829010776	-0.796732588221104	-7.39387829010776	-7.39387829010776	-7.39387829010776	-7.39387829010776
s135	-2.32204764206896	-2.8406102483371	-2.82137888640921	-7.47533923656674	-4.04135203208159	-7.47533923656674	-2.06816746510662	-7.47533923656674	-7.47533923656674	-2.66315488119432	-7.47533923656674	-1.70389811343672	-7.47533923656674	-7.47533923656674	-7.47533923656674
s136	-1.57810860233878	-2.36291867266968	-1.97368190408496	-9.10697785898103	-7.49753994654693	-9.10697785898103	-8.00836557031292	-2.51256439923125	-4.71252870430859	-8.00836557031292	-5.44341621285138	-9.10697785898103	-3.27509538169751	-9.10697785898103	-3.39324505347166
s137	-5.81245094582709	-4.43741373923184	-6.15291122362626	-6.05951004853786	-10.0171435652181	-5.85306566498129	-9.16984570483086	-7.56040779239676	-9.50631794145207	-2.35060943224715	-11.1157558538862	-11.1157558538862	-5.34431473075615	-5.90626970104475	-8.7178605810878
s139	0.152183724039671	1.00486744277127	-0.76538760693576	-8.38068594676157	-4.06319783322526	-8.38068594676157	-4.14657944216431	-0.233108210559804	-4.03688052490789	-8.38068594676157	-5.81573658930004	-8.38068594676157	-8.38068594676157	-8.38068594676157	-1.51897460628084
s140	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059	-1.64938177856574	-7.41457288135059	-7.41457288135059	-7.41457288135059	-7.41457288135059
s141	-0.930398399384834	-1.36412806566263	-1.32445344075497	-6.13988455222626	-7.74932246466036	-7.74932246466036	-7.74932246466036	-2.24806425411563	-1.39148019815226	-7.74932246466036	-3.00439033629711	-4.25281490319388	-2.61942374973728	-7.74932246466036	-2.68041826244012
s142	-5.42683621734902	-3.26187250223102	-0.954381430468117	2.95578013719707	-2.14163774954974	-1.74153458458296	-5.76330845397023	-3.26187250223102	-1.93032865588253	-6.27413407773622	-2.39601262398375	-7.37274636640433	-7.37274636640433	-7.37274636640433	-7.37274636640433
s143	-7.42177579364465	-7.42177579364465	-7.42177579364465	-7.42177579364465	-7.42177579364465	-4.47733681447821	-3.31090192947134	-7.42177579364465	-7.42177579364465	-6.32316350497654	-3.21708317425368	-7.42177579364465	-7.42177579364465	-7.42177579364465	-7.42177579364465
