SampleID	ETA.Staphylococcus	ETA.Prevotella	ETA.Streptococcus	ETA.Veillonella	ETA.Haemophilus	ETA.Pseudomonas	ETA.Klebsiella	ETA.Granulicatella	ETA.Rothia	ETA.Neisseria	ETA.Gemella	ETA.Moraxella	ETA.Prevotellaceae_Uncltrd	ETA.Lactobacillus	ETA.Acinetobacter	GA.Prevotella	GA.Veillonella	GA.Streptococcus	GA.Enterococcus	GA.Lactobacillus	GA.Klebsiella	GA.Staphylococcus	GA.Rothia	GA.Granulicatella	GA.Escherichia_Shigella	GA.Afipia	GA.Haemophilus	GA.Neisseria	GA.Mycoplasma	GA.Fusobacterium	Oral.Veillonella	Oral.Streptococcus	Oral.Prevotella	Oral.Rothia	Oral.Staphylococcus	Oral.Klebsiella	Oral.Granulicatella	Oral.Mycoplasma	Oral.Fusobacterium	Oral.Capnocytophaga	Oral.Neisseria	Oral.Actinomyces	Oral.Campylobacter	Oral.Prevotellaceae_Uncltrd	Oral.Lautropia	RS.Staphylococcus	RS.Escherichia_Shigella	RS.Enterococcus	RS.Corynebacterium	RS.Anaerococcus	RS.Prevotella	RS.Bacteroides	RS.Finegoldia	RS.Peptoniphilus	RS.Lactobacillus	RS.Porphyromonas	RS.Megasphaera	RS.Klebsiella	RS.Akkermansia	RS.Proteus
s113	-2.06104275427643	-1.33182479474705	-0.916666280264564	-1.36068304078038	-7.39483450901813	-8.49344679768624	-9.59205908635435	-6.4565648704252	-8.49344679768624	-6.1580718818692	-8.49344679768624	-9.59205908635435	-3.01977654366034	-6.03671102486493	-9.59205908635435	-1.68042568148941	-3.06375456701944	-3.1447847897623	-2.68515589334211	-2.89591984219173	-4.77274174996363	-2.53083969170698	-4.4551379976468	-7.83613267199144	-3.22101215515018	-7.24834600708932	-5.30243585803401	-3.37946249432179	-5.0511214297531	-5.24087796503457	-1.51782540819035	-0.912792748692193	-0.915203840878925	-1.26749149230569	-8.32796785830549	-8.32796785830549	-4.01047974476918	-0.916411570494325	-1.95294303847739	-2.75581382612772	-5.93007258550712	-3.77409096670495	-2.58817494612625	-5.76301850084395	-6.13074328096927	-6.39024066706535	3.63338270671076	-6.39024066706535	-7.48885295573346	-7.48885295573346	-5.29162837839724	-6.39024066706535	-7.48885295573346	-7.48885295573346	-5.29162837839724	-7.48885295573346	-6.39024066706535	-4.35335873980431	-5.09095768293509	-7.48885295573346
s114	-7.29009796966945	0.321815078821239	-2.94629254781576	-2.71244581257525	-9.23600811872476	-9.23600811872476	-9.23600811872476	-6.67105876126322	-4.2320618127793	-9.23600811872476	-5.52243605202045	-9.23600811872476	0.275547339985787	-2.47559342764133	-9.23600811872476	0.377523825907716	-7.46278915741245	-5.06489388461408	-6.36417686874434	-3.65612666764213	-7.46278915741245	-5.51687900835713	-7.46278915741245	-7.46278915741245	-7.46278915741245	-1.84601805974588	-7.46278915741245	-7.46278915741245	-5.85335124497835	-5.85335124497835	-1.15348889889394	-0.997541632097768	0.11951407226076	-2.98665328309012	-2.58410788508529	-8.82438373025606	-5.52854686425173	-0.888796344666862	-1.45983671600042	-3.46309156454664	-6.87847358120075	-3.88990979712537	-3.7429793652716	-3.62588669899024	-6.25943437279452	-8.42009474695269	-4.30922088277938	-7.57279688656548	-6.38321281969165	-3.68682455833728	-0.0644013966381059	0.451737985040212	-1.2314302798062	-3.06193738004863	-4.05912152147664	-0.525652405474664	-7.9092691231867	-7.9092691231867	-1.7793478329317	-9.5187070356208
s115	-3.99078034667006	-3.26421716919027	-4.54797189099398	-4.77536173318964	-6.42828475756348	-5.07016127341028	-8.6255093348997	-7.0160714224656	-5.49001511897055	-4.15960121624511	-5.01459142225547	-8.6255093348997	-6.42828475756348	-4.33504989375131	-5.91745913379749	-7.44565117427079	-2.70071904590754	-1.93302920507575	-9.05508908670489	-5.75925222070056	-1.39356200534637	-7.95647679803678	-7.95647679803678	-9.05508908670489	-9.05508908670489	-3.31529617452566	-9.05508908670489	-9.05508908670489	-9.05508908670489	-7.95647679803678	0.809629089088948	0.0299362319497425	-2.01972777802135	-2.90865798171958	-6.3778600924958	-8.57508466983201	-8.57508466983201	-8.57508466983201	-2.25611655608558	-2.72575988988516	-5.8670344687298	-1.27056872337186	-2.32318078666613	-1.15032290800881	-6.6291745207767	-5.46100294882513	3.31925511627549	-4.43935170129315	-6.04878961372725	-6.55961523749324	-7.65822752616135	-6.04878961372725	-6.55961523749324	-7.65822752616135	-2.08607349398359	-7.65822752616135	-6.04878961372725	-4.04730961351713	-7.65822752616135	-4.95017732505914
s116	-1.35117143524658	-0.743909958163489	-3.21445542288336	-0.764696676075417	-8.78660945506113	-8.78660945506113	-8.78660945506113	-5.07303738835682	-6.58938487772491	-3.50340572632314	-8.78660945506113	-8.78660945506113	-1.27727418904453	-3.17713765987617	-8.78660945506113	-1.50732694565506	-1.02398645716976	-3.97910929864452	-8.96954188542325	-1.53883480287728	-8.96954188542325	-4.27819400319411	-8.96954188542325	-5.53555468093811	-8.96954188542325	-2.91745271649884	-8.96954188542325	-4.24215406671091	-8.96954188542325	-4.02078199504508	-6.57368016696065	-0.827476976420492	-8.18311807939475	-3.06512426697799	-2.77594630793463	-1.5380271098891	-5.78522280659638	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.18311807939475	-8.98243550356026	-2.35219196837583	-7.51609843476684	-10.0810477922284	-7.13660881306193	-7.51609843476684	-1.37373023195516	-8.98243550356026	-5.25273405492607	-10.0810477922284	-10.0810477922284	-8.98243550356026	-8.47160987979427	-0.383908131089053	-10.0810477922284
s117	-4.5503619494931	-5.98544647478242	0.538703030444447	0.592414882938627	2.21632338920031	-7.59488438721652	1.55899144777854	1.38440626187436	-2.27187440807811	-7.59488438721652	1.3109667939915	1.83322511973642	-7.59488438721652	-6.49627209854841	-7.59488438721652	-7.7898685590547	-4.0762964923504	0.0192668390658327	-7.7898685590547	-4.65437434312556	-0.508482895484422	-2.63657696455693	-3.08033835774237	-2.91467123585355	-5.84395840999939	-6.6912562703866	0.129851201869869	-7.7898685590547	-7.7898685590547	-7.7898685590547	-5.69035945432406	-1.37668813931445	-8.73488189204748	-2.10816414279846	0.328233760172174	1.11852216032066	-3.87506948768581	-8.73488189204748	-7.63626960337937	-8.73488189204748	-8.73488189204748	-7.63626960337937	-8.73488189204748	-8.73488189204748	-8.73488189204748	-8.59217697041535	-2.48515408267309	-8.59217697041535	-9.69078925908346	-3.63400524585483	-0.869499453947344	-1.95055973432028	-6.74635027991702	-4.310891905543	-5.40032981793507	-2.03587221123514	-1.20302487835803	0.0412573277549281	-5.92958914338989	-9.69078925908346
s120	-4.01620635791296	-2.00523261551058	-1.30294102113164	-1.46645486136085	-7.94803199063728	-7.94803199063728	-7.94803199063728	-3.08821958627561	-3.31330300240765	-4.58073616065081	-3.74333937124632	0.798843328932747	-7.94803199063728	-7.94803199063728	-7.94803199063728	1.53476029706876	-1.1972651212667	-0.611337192959204	-6.56976188598899	-7.08058750975498	-8.17919979842309	-6.56976188598899	-2.76309939621867	-3.18876721164435	-5.98197522108687	-2.68613835508254	-7.08058750975498	-3.88874035727469	-1.83884049469533	-4.68269223695661	-0.354179621371331	-0.18959340428459	-0.917697091977817	-1.83908287700614	-5.67363562075829	-8.07153089355666	-3.0675845876112	-1.28594324854873	-2.77822606883217	-3.05425105674174	-4.17971059544603	-2.21645897135423	-2.74852091441825	-4.40796924742701	-6.46209298112256	-1.95260510822874	-8.81640849968169	-6.87049835062638	-1.69434861805255	-1.5336473200761	-4.18167951145206	-8.81640849968169	-3.40923672822157	-3.78597057828926	1.04620497364446	-4.55372862264038	-8.81640849968169	-8.81640849968169	-8.81640849968169	-8.81640849968169
s121	-0.431439258414152	-2.69824867767843	-2.17126471312585	-0.349534431111016	-2.04746439667484	-5.89918680185996	-9.19502366786429	-3.65376012270586	-4.5999038177297	-9.19502366786429	-3.87201368872588	-9.19502366786429	-2.31053701582151	-6.79712839506592	-9.19502366786429	-1.85968960814226	-0.839689207043801	-1.3055782980913	-8.83229585944401	-3.97248345508234	-8.83229585944401	-2.900050671996	-3.36423571830888	-3.07339408556673	-8.83229585944401	-5.39830865495886	-2.19242002561747	-8.83229585944401	-2.26001331675	-2.53518653951008	1.43816941440541	0.436029393160986	-7.91132401896335	-0.78926413733421	-5.20327381786114	-7.91132401896335	-7.91132401896335	-7.91132401896335	-4.35597595747394	-7.91132401896335	-7.91132401896335	-1.42974688968692	-2.10920564358629	-7.91132401896335	-7.91132401896335	0.626182019126746	-7.59107656539079	-2.91410264727372	-1.86278216294008	-5.00917764961548	-1.80179620417302	-2.80636646557062	-2.7023996783614	-3.506034395831	-5.41885329025999	-3.86672272308319	-8.17886323029291	-6.35431393824186	-9.78830114272701	-1.92695934712702
s122	-2.41707454453701	-1.60668648067877	-0.932149579975493	-1.46156309950957	-8.83869681234353	-8.83869681234353	-8.83869681234353	-7.22925889990943	-4.35006044261139	-6.27374745488199	-7.74008452367542	-8.83869681234353	-3.00681433506001	-3.30530732361601	-8.83869681234353	-7.34858753092759	-3.00478210907391	-2.38574290066769	-3.98129170094112	-3.20545280453606	-7.34858753092759	-7.34858753092759	-7.34858753092759	-5.15136295359137	-5.40267738187228	-2.69462718077007	-7.34858753092759	-3.37829561737547	-7.34858753092759	-7.34858753092759	-0.194785270822792	-1.5211252990865	0.319898967253233	-1.32140078938388	-8.16621626859214	-8.16621626859214	-2.38856394536949	-2.85301028955036	-3.10997046324383	-2.99006653601831	-1.13535879247602	-4.79892043860567	-5.76832099579377	-4.23439063586782	-8.16621626859214	-3.42119010371131	-0.869756564861979	-0.342026072024405	-4.2598327835694	-10.3259408736731	-10.3259408736731	-9.22732858500504	-1.90989486426187	-10.3259408736731	-5.06325068476826	-10.3259408736731	-10.3259408736731	-9.22732858500504	-9.22732858500504	-10.3259408736731
s123	-9.37568530456302	0.725545936654585	-2.35370888149086	-1.16365949993958	-8.27707301589491	-7.42977515550771	-8.27707301589491	-9.37568530456302	-9.37568530456302	-0.26086513444425	-9.37568530456302	-9.37568530456302	-9.37568530456302	-6.15680947969482	-9.37568530456302	1.01214472244574	0.0902316910693872	0.590546088626781	-8.58447793822183	-6.18658266542346	-8.58447793822183	-8.58447793822183	-8.58447793822183	-8.58447793822183	-6.97504002578773	-3.70928061502068	-8.58447793822183	-1.65203004664932	-1.68576340389185	-2.4467508841356	0.0902159585534997	-1.38952422217282	0.132523181218027	-3.02518359321657	-7.01786450166217	-7.52869012542816	0.392966447625899	-1.18715573343358	-2.65349280222701	-2.04113075924159	-1.43061584326192	-3.99257342586663	-4.20846180629967	-8.62730241409627	-8.62730241409627	-6.71922317223755	-0.861165801866718	-6.42073018368155	-6.14114532146239	-3.75664310600046	-4.71305383166404	-0.614721131283005	-5.68033011827106	-4.26000600856486	-9.8547173881667	-2.61981896785187	-1.91271057967684	-7.90880723911139	-4.77331302318224	-4.35345917762197
s124	-5.26096158000427	-3.03934554954389	-2.6139990708819	-2.9922780386859	-5.84874824490639	2.27906969955063	-7.45818615734049	-1.68674503421047	-6.35957386867238	-7.45818615734049	-7.45818615734049	-7.45818615734049	-7.45818615734049	-5.06029088454212	-7.45818615734049	-0.11831342342839	-0.326671655303097	0.494124783679864	-5.30238316405428	-1.95573322869135	-8.59822003005861	-6.20032475726024	-2.08350733918608	1.49045995436315	-8.59822003005861	-7.4996077413905	-8.59822003005861	-8.59822003005861	-0.918968604105552	-3.14718157649291	0.300054965890193	-1.71360812888875	0.561209616968114	-2.54614557369283	-7.30831950849059	-8.4069317971587	0.956215495061241	-1.7437991011679	-1.63958867189331	-2.69319899164933	-8.4069317971587	-3.94102367850412	-5.57371845310248	-0.879137809437256	-8.4069317971587	0.0617273177292193	-7.61381868480863	-7.61381868480863	-1.24906792795672	-1.19872172563703	-7.61381868480863	-7.61381868480863	-1.88047740791088	-3.4706839584171	-6.51520639614052	-7.61381868480863	-7.61381868480863	-7.61381868480863	-7.61381868480863	-7.61381868480863
