OTU	Size	Taxonomy
Otu0135	4	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0136	4	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0137	4	Bacteria
Otu0138	4	Bacteria Proteobacteria
Otu0139	4	Bacteria Firmicutes Clostridia Clostridiales Peptostreptococcaceae Peptostreptococcaceae_incertae_sedis
Otu0140	4	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0141	4	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardioidaceae Nocardioides
Otu0142	4	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0143	4	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0144	4	Bacteria
Otu0145	4	Bacteria
Otu0146	4	Bacteria
Otu0147	4	Bacteria Firmicutes
Otu0148	4	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0149	3	Bacteria
Otu0150	3	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0151	3	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Dialister
Otu0152	3	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae Gracilimonas
Otu0153	3	Bacteria Gemmatimonadetes Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas
Otu0154	3	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0155	3	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0156	3	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XI Gemella
Otu0157	3	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0158	3	Bacteria Proteobacteria Gammaproteobacteria Oceanospirillales Oceanospirillaceae Marinomonas
Otu0159	3	Bacteria Fusobacteria Fusobacteria Fusobacteriales
Otu0160	3	Bacteria
Otu0161	3	Bacteria Proteobacteria Alphaproteobacteria
Otu0162	3	Bacteria Deinococcus-Thermus Deinococci Thermales Thermaceae Thermus
Otu0163	3	Bacteria
Otu0164	3	Bacteria
Otu0165	3	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0166	3	Bacteria Actinobacteria Actinobacteria Actinomycetales
