OTU	Size	Taxonomy
Otu0915	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0916	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae
Otu0917	1	Bacteria Firmicutes
Otu0918	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0919	1	Bacteria
Otu0920	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0921	1	Bacteria
Otu0922	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0923	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0924	1	Bacteria
Otu0925	1	Bacteria Firmicutes
Otu0926	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0927	1	Bacteria
Otu0928	1	Bacteria Firmicutes
Otu0929	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0930	1	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae
Otu0931	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae Chryseobacterium
Otu0932	1	Bacteria Proteobacteria
Otu0933	1	Bacteria
Otu0934	1	Bacteria
Otu0935	1	Bacteria
Otu0936	1	Bacteria Verrucomicrobia Opitutae
Otu0937	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Veillonella
Otu0938	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0939	1	Bacteria Bacteroidetes
Otu0940	1	Bacteria Proteobacteria
Otu0941	1	Bacteria Proteobacteria Deltaproteobacteria Desulfuromonadales
Otu0942	1	Bacteria Firmicutes
Otu0943	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0944	1	Bacteria Actinobacteria Actinobacteria
Otu0945	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0946	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0947	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0948	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0949	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0950	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0951	1	Bacteria
Otu0952	1	Bacteria
Otu0953	1	Bacteria
Otu0954	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae
Otu0955	1	Bacteria Proteobacteria
Otu0956	1	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0957	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0958	1	Bacteria
Otu0959	1	Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Nosocomiicoccus
Otu0960	1	Bacteria Actinobacteria Actinobacteria
Otu0961	1	Bacteria
Otu0962	1	Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae
Otu0963	1	Bacteria
Otu0964	1	Bacteria
Otu0965	1	Bacteria
Otu0966	1	Bacteria Proteobacteria
Otu0967	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu0968	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Acinetobacter
Otu0969	1	Bacteria Actinobacteria Actinobacteria
Otu0970	1	Bacteria
Otu0971	1	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae Kingella
Otu0972	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Corynebacteriaceae
Otu0973	1	Bacteria
Otu0974	1	Bacteria
Otu0975	1	Bacteria
Otu0976	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Helcococcus
Otu0977	1	Bacteria Firmicutes
Otu0978	1	Bacteria
Otu0979	1	Bacteria
Otu0980	1	Bacteria Deinococcus-Thermus Deinococci
Otu0981	1	Bacteria Proteobacteria
Otu0982	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0983	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0984	1	Bacteria
Otu0985	1	Bacteria
Otu0986	1	Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Weissella
Otu0987	1	Bacteria Firmicutes
Otu0988	1	Bacteria
Otu0989	1	Bacteria Actinobacteria Actinobacteria
Otu0990	1	Bacteria Actinobacteria Actinobacteria Acidimicrobiales
Otu0991	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0992	1	Bacteria
Otu0993	1	Bacteria Firmicutes Bacilli Bacillales
Otu0994	1	Bacteria Proteobacteria
Otu0995	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Granulicatella
Otu0996	1	Bacteria
Otu0997	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0998	1	Bacteria Firmicutes Bacilli Lactobacillales Aerococcaceae Facklamia
Otu0999	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1000	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1001	1	Bacteria
Otu1002	1	Bacteria
Otu1003	1	Bacteria
Otu1004	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu1005	1	Bacteria Proteobacteria Betaproteobacteria
Otu1006	1	Bacteria Proteobacteria
Otu1007	1	Bacteria
Otu1008	1	Bacteria
Otu1009	1	Bacteria Firmicutes Bacilli
Otu1010	1	Bacteria
Otu1011	1	Bacteria
Otu1012	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Gallicola
Otu1013	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Anaerococcus
Otu1014	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1015	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales
Otu1016	1	Bacteria
Otu1017	1	Bacteria
Otu1018	1	Bacteria
Otu1019	1	Bacteria
Otu1020	1	Bacteria
Otu1021	1	Bacteria Proteobacteria
Otu1022	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu1023	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu1024	1	Bacteria
Otu1025	1	Bacteria
Otu1026	1	Bacteria
Otu1027	1	Bacteria
Otu1028	1	Bacteria
Otu1029	1	Bacteria Proteobacteria
Otu1030	1	Bacteria
Otu1031	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1032	1	Bacteria
Otu1033	1	Bacteria
Otu1034	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu1035	1	Bacteria
Otu1036	1	Bacteria
Otu1037	1	Bacteria
Otu1038	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1039	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu1040	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1041	1	Bacteria
Otu1042	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Spirosoma
Otu1043	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1044	1	Bacteria
Otu1045	1	Bacteria Bacteroidetes
Otu1046	1	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae
Otu1047	1	Bacteria Bacteroidetes
Otu1048	1	Bacteria
Otu1049	1	Bacteria Firmicutes
Otu1050	1	Bacteria
Otu1051	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1052	1	Bacteria
Otu1053	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1054	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae Cloacibacterium
Otu1055	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1056	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1057	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1058	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1059	1	Bacteria Proteobacteria
Otu1060	1	Bacteria
Otu1061	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu1062	1	Bacteria
Otu1063	1	Bacteria
Otu1064	1	Bacteria
Otu1065	1	Bacteria
Otu1066	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1067	1	Bacteria
Otu1068	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu1069	1	Bacteria
Otu1070	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1071	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1072	1	Bacteria Proteobacteria Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae Cardiobacterium
Otu1073	1	Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Leuconostoc
Otu1074	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu1075	1	Bacteria
Otu1076	1	Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae
Otu1077	1	Bacteria Proteobacteria
Otu1078	1	Bacteria
Otu1079	1	Bacteria Proteobacteria
Otu1080	1	Bacteria
Otu1081	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1082	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1083	1	Bacteria
Otu1084	1	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae
Otu1085	1	Bacteria
Otu1086	1	Bacteria Proteobacteria
Otu1087	1	Bacteria
Otu1088	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1089	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1090	1	Bacteria
Otu1091	1	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XI Gemella
Otu1092	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1093	1	Bacteria
Otu1094	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae
Otu1095	1	Bacteria Proteobacteria
Otu1096	1	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu1097	1	Bacteria
Otu1098	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1099	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu1100	1	Bacteria Proteobacteria
Otu1101	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1102	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu1103	1	Bacteria
Otu1104	1	Bacteria
Otu1105	1	Bacteria
Otu1106	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu1107	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Fastidiosipila
Otu1108	1	Bacteria
Otu1109	1	Bacteria Firmicutes Bacilli Bacillales
Otu1110	1	Bacteria
Otu1111	1	Bacteria
Otu1112	1	Bacteria
Otu1113	1	Bacteria
Otu1114	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Peptoniphilus
Otu1115	1	Bacteria
Otu1116	1	Bacteria
Otu1117	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1118	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1119	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae
Otu1120	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu1121	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1122	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1123	1	Bacteria
Otu1124	1	Bacteria Firmicutes
Otu1125	1	Bacteria
Otu1126	1	Bacteria Bacteroidetes
Otu1127	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1128	1	Bacteria Firmicutes Bacilli Lactobacillales Aerococcaceae Abiotrophia
Otu1129	1	Bacteria Proteobacteria Betaproteobacteria
Otu1130	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Enhydrobacter
Otu1131	1	Bacteria Bacteroidetes
Otu1132	1	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu1133	1	Bacteria
Otu1134	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu1135	1	Bacteria
Otu1136	1	Bacteria Proteobacteria
Otu1137	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1138	1	Bacteria
Otu1139	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1140	1	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae
Otu1141	1	Bacteria
Otu1142	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1143	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Peptoniphilus
Otu1144	1	Bacteria
Otu1145	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu1146	1	Bacteria
Otu1147	1	Bacteria
Otu1148	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae Sediminibacterium
Otu1149	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1150	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1151	1	Bacteria
Otu1152	1	Bacteria
Otu1153	1	Bacteria
Otu1154	1	Bacteria Proteobacteria
Otu1155	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae
Otu1156	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1157	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1158	1	Bacteria
Otu1159	1	Bacteria
Otu1160	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1161	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1162	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1163	1	Bacteria
Otu1164	1	Bacteria
Otu1165	1	Bacteria Proteobacteria
Otu1166	1	Bacteria
Otu1167	1	Bacteria Firmicutes Bacilli
Otu1168	1	Bacteria Firmicutes Bacilli
Otu1169	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Anaerococcus
Otu1170	1	Bacteria
Otu1171	1	Bacteria Firmicutes
Otu1172	1	Bacteria Proteobacteria
Otu1173	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1174	1	Bacteria
Otu1175	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu1176	1	Bacteria
Otu1177	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1178	1	Bacteria Proteobacteria
Otu1179	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1180	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu1181	1	Bacteria
Otu1182	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1183	1	Bacteria
Otu1184	1	Bacteria
Otu1185	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1186	1	Bacteria Actinobacteria Actinobacteria
Otu1187	1	Bacteria Proteobacteria
Otu1188	1	Bacteria Proteobacteria
Otu1189	1	Bacteria Proteobacteria Betaproteobacteria
Otu1190	1	Bacteria
Otu1191	1	Bacteria Proteobacteria
Otu1192	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1193	1	Bacteria
Otu1194	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1195	1	Bacteria Proteobacteria
Otu1196	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1197	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1198	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1199	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1200	1	Bacteria
Otu1201	1	Bacteria
Otu1202	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu1203	1	Bacteria Proteobacteria
Otu1204	1	Bacteria
Otu1205	1	Bacteria Firmicutes
Otu1206	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu1207	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1208	1	Bacteria
Otu1209	1	Bacteria
Otu1210	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1211	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1212	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1213	1	Bacteria Proteobacteria
Otu1214	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Saccharofermentans
Otu1215	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu1216	1	Bacteria
Otu1217	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1218	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1219	1	Bacteria
Otu1220	1	Bacteria
Otu1221	1	Bacteria
Otu1222	1	Bacteria
Otu1223	1	Bacteria
Otu1224	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu1225	1	Bacteria
Otu1226	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1227	1	Bacteria
Otu1228	1	Bacteria
Otu1229	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Butyrivibrio
Otu1230	1	Bacteria
Otu1231	1	Bacteria
Otu1232	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1233	1	Bacteria Firmicutes
Otu1234	1	Bacteria Firmicutes
Otu1235	1	Bacteria Fusobacteria Fusobacteria Fusobacteriales Fusobacteriaceae
Otu1236	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1237	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1238	1	Bacteria Proteobacteria
Otu1239	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1240	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu1241	1	Bacteria Proteobacteria
Otu1242	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1243	1	Bacteria Firmicutes
Otu1244	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu1245	1	Bacteria Proteobacteria
Otu1246	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu1247	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1248	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Oribacterium
Otu1249	1	Bacteria
Otu1250	1	Bacteria
Otu1251	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1252	1	Bacteria Actinobacteria Actinobacteria
Otu1253	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1254	1	Bacteria Proteobacteria
Otu1255	1	Bacteria
Otu1256	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu1257	1	Bacteria
Otu1258	1	Bacteria
Otu1259	1	Bacteria
Otu1260	1	Bacteria
Otu1261	1	Bacteria
Otu1262	1	Bacteria Proteobacteria
Otu1263	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu1264	1	Bacteria Fusobacteria Fusobacteria Fusobacteriales
Otu1265	1	Bacteria Proteobacteria Betaproteobacteria
Otu1266	1	Bacteria Firmicutes Bacilli
Otu1267	1	Bacteria
Otu1268	1	Bacteria
Otu1269	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1270	1	Bacteria
Otu1271	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Granulicatella
Otu1272	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu1273	1	Bacteria Actinobacteria Actinobacteria
Otu1274	1	Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae
Otu1275	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Oribacterium
Otu1276	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1277	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1278	1	Bacteria Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae
Otu1279	1	Bacteria
Otu1280	1	Bacteria
Otu1281	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu1282	1	Bacteria Proteobacteria
Otu1283	1	Bacteria
Otu1284	1	Bacteria Proteobacteria
Otu1285	1	Bacteria
Otu1286	1	Bacteria Proteobacteria
Otu1287	1	Bacteria
Otu1288	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1289	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1290	1	Bacteria
Otu1291	1	Bacteria
Otu1292	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu1293	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1294	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae
Otu1295	1	Bacteria
Otu1296	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae Saccharofermentans
Otu1297	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu1298	1	Bacteria
Otu1299	1	Bacteria
Otu1300	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1301	1	Bacteria
Otu1302	1	Bacteria
Otu1303	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Alcaligenes
Otu1304	1	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu1305	1	Bacteria Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus
Otu1306	1	Bacteria
Otu1307	1	Bacteria Proteobacteria
Otu1308	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1309	1	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu1310	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1311	1	Bacteria
Otu1312	1	Bacteria
Otu1313	1	Bacteria
Otu1314	1	Bacteria
Otu1315	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu1316	1	Bacteria Proteobacteria
Otu1317	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1318	1	Bacteria
Otu1319	1	Bacteria
Otu1320	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu1321	1	Bacteria
Otu1322	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1323	1	Bacteria
Otu1324	1	Bacteria
Otu1325	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1326	1	Bacteria
Otu1327	1	Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Jeotgalicoccus
Otu1328	1	Bacteria Firmicutes Bacilli Bacillales
Otu1329	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu1330	1	Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Jeotgalicoccus
Otu1331	1	Bacteria
Otu1332	1	Bacteria Firmicutes Clostridia Clostridiales
Otu1333	1	Bacteria
Otu1334	1	Bacteria
Otu1335	1	Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae
Otu1336	1	Bacteria Deinococcus-Thermus Deinococci Deinococcales Trueperaceae Truepera
Otu1337	1	Bacteria
Otu1338	1	Bacteria
Otu1339	1	Bacteria
Otu1340	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1341	1	Bacteria Proteobacteria
Otu1342	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1343	1	Bacteria
Otu1344	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu1345	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu1346	1	Bacteria
Otu1347	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1348	1	Bacteria
Otu1349	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1350	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1351	1	Bacteria
Otu1352	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1353	1	Bacteria
Otu1354	1	Bacteria
Otu1355	1	Bacteria Firmicutes Bacilli Bacillales
Otu1356	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1357	1	Bacteria
Otu1358	1	Bacteria
Otu1359	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu1360	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1361	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae
Otu1362	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu1363	1	Bacteria
Otu1364	1	Bacteria Firmicutes
Otu1365	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1366	1	Bacteria
Otu1367	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1368	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu1369	1	Bacteria Firmicutes Bacilli
Otu1370	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1371	1	Bacteria
Otu1372	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1373	1	Bacteria Firmicutes
Otu1374	1	Bacteria
Otu1375	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Siphonobacter
Otu1376	1	Bacteria
Otu1377	1	Bacteria Firmicutes
Otu1378	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1379	1	Bacteria Firmicutes Bacilli Lactobacillales Leuconostocaceae Weissella
Otu1380	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1381	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu1382	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae Sediminibacterium
Otu1383	1	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu1384	1	Bacteria
Otu1385	1	Bacteria
Otu1386	1	Bacteria Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae Caulobacter
Otu1387	1	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu1388	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae
Otu1389	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu1390	1	Bacteria Proteobacteria Alphaproteobacteria
Otu1391	1	Bacteria
Otu1392	1	Bacteria Proteobacteria Betaproteobacteria
Otu1393	1	Bacteria
Otu1394	1	Bacteria
Otu1395	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu1396	1	Bacteria Planctomycetes Planctomycetacia Planctomycetales Planctomycetaceae
Otu1397	1	Bacteria
Otu1398	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1399	1	Bacteria
Otu1400	1	Bacteria Proteobacteria
Otu1401	1	Bacteria Proteobacteria Gammaproteobacteria
Otu1402	1	Bacteria
