rxn00931_c0	997.2051	1pyr5c[c]+h[c]+nadph[c]-->nadp[c]+pro-L[c]
rxn00974_c0	1000	cit[c]-->acon-C[c]+h2o[c]
rxn01018_c0	3.802706	asp-L[c]+cbp[c]-->(2)h[c]+cbasp[c]+pi[c]
rxn01019_c0	3.451144	cbp[c]+orn[c]-->(2)h[c]+citr-L[c]+pi[c]
rxn01069_c0	6.375843	h2o[c]+phom[c]-->h[c]+pi[c]+thr-L[c]
rxn01100_c0	467.0979	13dpg[c]+adp[c]-->3pg[c]+atp[c]+h[c]
rxn01102_c0	999.9161	3pg[c]+adp[c]-->atp[c]+glyc-R[c]
rxn01111_c0	156.1425	atp[c]+ru5p-D[c]-->adp[c]+rb15bp[c]
rxn01241_c0	13.63306	h[c]+lpam[c]+nadh[c]-->dhlam[c]+nad[c]
rxn01255_c0	5.024273	3psme[c]-->chor[c]+h[c]+pi[c]
rxn01269_c0	1.637831	nadp[c]+pphn[c]-->34hpp[c]+co2[c]+nadph[c]
rxn01281_c0	1000	2h3opp[c]+h[c]+nadph[c]-->glyc-R[c]+nadp[c]
rxn01286_c0	999.9161	(2)h[c]+glyc-R[c]+nadh[c]-->glyald[c]+h2o[c]+nad[c]
rxn01300_c0	6.375843	atp[c]+hom-L[c]-->adp[c]+phom[c]
rxn01301_c0	991.8108	hom-L[c]+nad[c]-->aspsa[c]+h[c]+nadh[c]
rxn01304_c0	1.813313	hom-L[c]+succoa[c]-->coa[c]+suchms[c]
rxn01313_c0	1000	nad[c]+thbpt[c]-->dhbpt[c]+h[c]+nadh[c]
rxn01314_c0	1000	dhbpt[c]+h[c]+nadph[c]-->nadp[c]+thbpt[c]
rxn01332_c0	5.024273	e4p[c]+h2o[c]+pep[c]-->2dda7p[c]+h[c]+pi[c]
rxn01334_c0	357.1716	dhap[c]+e4p[c]-->s17bp[c]
rxn01343_c0	357.1716	adp[c]+s17bp[c]-->atp[c]+s7p[c]
