SampleID	aa34.1.test	aa34.2.test	aa34.3.test	aa34.4.test	aa34.5.test	aa34.6.test	=	Total
0159.AA34.42242.20181111.ST	0	0	0	0	0	0		0
0159.AA34.42243.20181105.ST	0	6292	0	0	0	0		6292
0159.AA34.42244.20181111.ST	0	32125	0	0	0	0		32125
0159.AA34.42245.20181108.ST	0	968	0	0	0	0		968
0159.AA34.42246.20180801.ST	0	3573	0	0	0	0		3573
0159.AA34.42247.20181112.ST	0	1342	0	0	0	0		1342
0159.AA34.42249.20181203.ST	0	4759	0	0	0	0		4759
0159.AA34.42250.20180920.ST	0	659	0	0	0	0		659
0159.AA34.42251.20180919.ST	0	57913	0	0	0	0		57913
0159.AA34.42252.20180925.ST	0	32988	0	0	0	0		32988
0159.AA34.42254.20180925.ST	0	10767	0	0	0	0		10767
0159.AA34.42255.20180920.ST	0	28400	0	0	0	0		28400
0159.AA34.42256.20180919.ST	0	6004	0	0	0	0		6004
0159.AA34.42257.20181004.ST	0	8198	0	0	0	0		8198
0159.AA34.42258.20181005.ST	0	9863	0	0	0	0		9863
0159.AA34.42260.20180927.ST	0	8977	0	0	0	0		8977
0159.AA34.42261.20181120.ST	0	16675	0	0	0	0		16675
0159.AA34.42262.20190327.ST	0	19456	0	0	0	0		19456
0159.AA34.42263.20181010.ST	0	22453	0	0	0	0		22453
0159.AA34.42266.20181005.ST	0	32373	0	0	0	0		32373
0159.AA34.42268.20181004.ST	0	18932	0	0	0	0		18932
0159.AA34.42269.20181008.ST	0	17504	0	0	0	0		17504
0159.AA34.42272.20181010.ST	0	4038	0	0	0	0		4038
0159.AA34.42273.20190102.ST	0	3694	0	0	0	0		3694
0159.AA34.42274.20181011.ST	0	11574	0	0	0	0		11574
0159.AA34.42275.20181015.ST	0	66785	0	0	0	0		66785
0159.AA34.42277.20181015.ST	0	897	0	0	0	0		897
0159.AA34.42278.20181024.ST	0	41362	0	0	0	0		41362
0159.AA34.42281.20181017.ST	0	6896	0	0	0	0		6896
0159.AA34.42282.20181025.ST	0	22237	0	0	0	0		22237
0159.AA34.42283.20181102.ST	0	1698	0	0	0	0		1698
0159.AA34.42285.20181015.ST	0	46981	0	0	0	0		46981
0159.AA34.42288.20181031.ST	0	14659	0	0	0	0		14659
0159.AA34.42289.20181029.ST	0	292	0	0	0	0		292
0159.AA34.42290.20181126.ST	0	15472	0	0	0	0		15472
0159.AA34.42291.20181121.ST	0	29451	0	0	0	0		29451
0159.AA34.42292.20181127.ST	0	30972	0	0	0	0		30972
0159.AA34.42294.20181129.ST	0	17095	0	0	0	0		17095
0159.AA34.42295.20181127.ST	0	10121	0	0	0	0		10121
0159.AA34.42296.20181213.ST	0	2035	0	0	0	0		2035
0159.AA34.42297.20190116.ST	0	14234	0	0	0	0		14234
0159.AA34.42298.20181210.ST	0	58408	0	0	0	0		58408
0159.AA34.42299.20181205.ST	0	14656	0	0	0	0		14656
0159.AA34.42300.20181203.ST	0	7615	0	0	0	0		7615
0159.AA34.42301.20181213.ST	0	8400	0	0	0	0		8400
0159.AA34.42301.20201016.SAL	0	0	0	11074	0	0		11074
0159.AA34.42301.20201016.ST	0	0	0	17004	0	0		17004
0159.AA34.42302.20181203.ST	0	4450	0	0	0	0		4450
0159.AA34.42303.20181205.ST	0	17333	0	0	0	0		17333
0159.AA34.42304.20181213.ST	0	3541	0	0	0	0		3541
0159.AA34.42306.20181205.ST	0	10282	0	0	0	0		10282
0159.AA34.42306.20201006.ST	0	0	0	22427	0	0		22427
0159.AA34.42307.20190107.ST	0	27019	0	0	0	0		27019
0159.AA34.42308.20181220.ST	0	18749	0	0	0	0		18749
0159.AA34.42309.20190123.ST	0	5193	0	0	0	0		5193
0159.AA34.42311.20181213.ST	0	13807	0	0	0	0		13807
0159.AA34.42311.20201026.ST	0	0	0	12647	0	0		12647
0159.AA34.42311.20201027.SAL	0	0	0	5085	0	0		5085
0159.AA34.42314.20190102.ST	0	4631	0	0	0	0		4631
0159.AA34.42316.20190102.ST	0	13290	0	0	0	0		13290
0159.AA34.42317.20190103.ST	0	11547	0	0	0	0		11547
0159.AA34.42318.20190102.ST	0	8203	0	0	0	0		8203
0159.AA34.42320.20190102.ST	0	9599	0	0	0	0		9599
0159.AA34.42321.20190102.ST	0	9572	0	0	0	0		9572
0159.AA34.42322.20190102.ST	0	3664	0	0	0	0		3664
0159.AA34.42323.20190102.ST	0	10131	0	0	0	0		10131
0159.AA34.42325.20190102.ST	0	15492	0	0	0	0		15492
0159.AA34.42327.20190109.ST	0	0	0	0	0	0		0
0159.AA34.42328.20190211.ST	0	16136	0	0	0	0		16136
0159.AA34.42328.20201020.SAL	0	0	0	7588	0	0		7588
0159.AA34.42328.20201020.ST	0	0	0	2523	0	0		2523
0159.AA34.42329.20190116.ST	0	38970	0	0	0	0		38970
0159.AA34.42329.20201025.SAL	0	0	0	2140	0	0		2140
0159.AA34.42329.20201025.ST	0	0	0	7887	0	0		7887
0159.AA34.42330.20190115.ST	0	37590	0	0	0	0		37590
0159.AA34.42331.20190109.ST	0	19949	0	0	0	0		19949
0159.AA34.42332.20190117.ST	0	12463	0	0	0	0		12463
0159.AA34.42333.20190117.ST	0	30051	0	0	0	0		30051
0159.AA34.42335.20190115.ST	0	3935	0	0	0	0		3935
0159.AA34.42337.20190123.ST	0	13066	0	0	0	0		13066
0159.AA34.42340.20190125.ST	0	12359	0	0	0	0		12359
0159.AA34.42341.20190130.ST	0	10066	0	0	0	0		10066
0159.AA34.42343.20190123.ST	0	982	0	0	0	0		982
0159.AA34.42344.20190130.ST	0	24835	0	0	0	0		24835
0159.AA34.42345.20190125.ST	0	29386	0	0	0	0		29386
0159.AA34.42349.20201022.SAL	0	0	0	6025	0	0		6025
0159.AA34.42349.20201022.ST	0	0	0	11072	0	0		11072
0159.AA34.42359.20190211.ST	0	0	13846	0	0	0		13846
0159.AA34.42362.20190305.ST	0	0	15795	0	0	0		15795
0159.AA34.42362.20200821.SAL	0	0	0	0	13121	0		13121
0159.AA34.42363.20190301.ST	0	0	4205	0	0	0		4205
0159.AA34.42365.20201008.ST	0	0	0	5249	0	0		5249
0159.AA34.42366.20200919.ST	0	0	0	12408	0	0		12408
0159.AA34.42369.20190306.ST	0	0	277	0	0	0		277
0159.AA34.42369.20200916.ST	0	0	0	5306	0	0		5306
0159.AA34.42372.20190318.ST	0	0	45	0	0	0		45
0159.AA34.42372.20201015.SAL	0	0	0	1355	0	0		1355
0159.AA34.42372.20201015.ST	0	0	0	10084	0	0		10084
0159.AA34.42375.20190318.ST	0	0	3	0	0	0		3
0159.AA34.42376.20190318.ST	0	0	3496	0	0	0		3496
0159.AA34.42377.20190401.ST	0	0	14546	0	0	0		14546
0159.AA34.42378.20201023.SAL	0	0	0	10466	0	0		10466
0159.AA34.42378.20201023.ST	0	0	0	9105	0	0		9105
0159.AA34.42382.20190404.ST	0	0	0	0	0	0		0
0159.AA34.42384.20201019.SAL	0	0	0	4891	0	0		4891
0159.AA34.42384.20201019.ST	0	0	0	107	0	0		107
0159.AA34.42385.20190401.ST	0	0	21303	0	0	0		21303
0159.AA34.42386.20190404.ST	0	0	113	0	0	0		113
0159.AA34.42387.20190408.ST	0	0	5200	0	0	0		5200
0159.AA34.42388.20190405.ST	0	0	0	0	0	0		0
0159.AA34.42394.20190415.ST	0	0	17480	0	0	0		17480
0159.AA34.42394.20201028.SAL	0	0	0	10429	0	0		10429
0159.AA34.42394.20201028.ST	0	0	0	9661	0	0		9661
0159.AA34.42397.20190419.ST	0	0	35117	0	0	0		35117
0159.AA34.42398.20190408.ST	39663	0	0	0	0	0		39663
0159.AA34.42398.20201022.SAL	0	0	0	6960	0	0		6960
0159.AA34.42398.20201022.ST	0	0	0	18856	0	0		18856
0159.AA34.42400.20190423.ST	38048	0	0	0	0	0		38048
0159.AA34.42400.20201019.SAL	0	0	0	9937	0	0		9937
0159.AA34.42400.20201019.ST	0	0	0	18961	0	0		18961
0159.AA34.42401.20190425.ST	0	0	32152	0	0	0		32152
0159.AA34.42401.20201003.ST	0	0	0	1	0	0		1
0159.AA34.42402.20190425.ST	0	0	3	0	0	0		3
0159.AA34.42402.20201015.SAL	0	0	0	6377	0	0		6377
0159.AA34.42402.20201015.ST	0	0	0	16782	0	0		16782
0159.AA34.42403.20190422.ST	8340	0	0	0	0	0		8340
0159.AA34.42405.20190425.ST	0	0	10	0	0	0		10
0159.AA34.42406.20190430.ST	12648	0	0	0	0	0		12648
0159.AA34.42407.20190423.ST	12391	0	0	0	0	0		12391
0159.AA34.42407.20201004.ST	0	0	0	18533	0	0		18533
0159.AA34.42409.20190428.ST	38918	0	0	0	0	0		38918
0159.AA34.42409.20201011.SAL	0	0	0	11429	0	0		11429
0159.AA34.42409.20201011.ST	0	0	0	20430	0	0		20430
0159.AA34.42411.20190504.ST	30932	0	0	0	0	0		30932
0159.AA34.42412.20190424.ST	39079	0	0	0	0	0		39079
0159.AA34.42413.20190513.ST	12210	0	0	0	0	0		12210
0159.AA34.42414.20190612.ST	19329	0	0	0	0	0		19329
0159.AA34.42415.20190506.ST	10401	0	0	0	0	0		10401
0159.AA34.42416.20190508.ST	7643	0	0	0	0	0		7643
0159.AA34.42417.20190518.ST	29499	0	0	0	0	0		29499
0159.AA34.42417.20201002.ST	0	0	0	16905	0	0		16905
0159.AA34.42421.20190526.ST	7740	0	0	0	0	0		7740
0159.AA34.42422.20190602.ST	18053	0	0	0	0	0		18053
0159.AA34.42422.20201004.ST	0	0	0	15463	0	0		15463
0159.AA34.42423.20190503.ST	11837	0	0	0	0	0		11837
0159.AA34.42424.20190529.ST	34424	0	0	0	0	0		34424
0159.AA34.42425.20190602.ST	11344	0	0	0	0	0		11344
0159.AA34.42425.20201010.SAL	0	0	0	4958	0	0		4958
0159.AA34.42425.20201010.ST	0	0	0	2308	0	0		2308
0159.AA34.42427.20190604.ST	46024	0	0	0	0	0		46024
0159.AA34.42430.20190612.ST	42825	0	0	0	0	0		42825
0159.AA34.42430.20200914.ST	0	0	0	13420	0	0		13420
0159.AA34.42432.20190702.ST	535	0	0	0	0	5350		5885
0159.AA34.42433.20190617.ST	24895	0	0	0	0	0		24895
0159.AA34.42433.20200724.SAL	0	0	0	0	47382	0		47382
0159.AA34.42435.20190518.ST	3	0	0	0	0	30		33
0159.AA34.42435.20200727.SAL	0	0	0	0	16769	0		16769
0159.AA34.42436.20190628.ST	15353	0	0	0	0	0		15353
0159.AA34.42436.20201020.SAL	0	0	0	10494	0	0		10494
0159.AA34.42436.20201020.ST	0	0	0	20289	0	0		20289
0159.AA34.42437.20190622.ST	32567	0	0	0	0	0		32567
0159.AA34.42437.20200829.SAL	0	0	0	0	2869	0		2869
0159.AA34.42438.20190621.ST	12832	0	0	0	0	0		12832
0159.AA34.42439.20190621.ST	10343	0	0	0	0	0		10343
0159.AA34.42439.20200803.SAL	0	0	0	0	2766	0		2766
0159.AA34.42441.20190629.ST	11657	0	0	0	0	0		11657
0159.AA34.42443.20190710.ST	12217	0	0	0	0	0		12217
0159.AA34.42444.20190706.ST	6883	0	0	0	0	0		6883
0159.AA34.42444.20200909.SAL	0	0	0	0	5222	0		5222
0159.AA34.42444.20200909.ST	0	0	0	14077	0	0		14077
0159.AA34.42445.20190716.ST	17585	0	0	0	0	0		17585
0159.AA34.42446.20190715.ST	34019	0	0	0	0	0		34019
0159.AA34.42447.20190725.ST	527	0	0	0	0	5270		5797
0159.AA34.42447.20200803.SAL	0	0	0	0	16555	0		16555
0159.AA34.42448.20190731.ST	9485	0	0	0	0	0		9485
0159.AA34.42451.20190905.ST	10569	0	0	0	0	0		10569
0159.AA34.42451.20200805.SAL	0	0	0	0	15083	0		15083
0159.AA34.42452.20190801.ST	53939	0	0	0	0	0		53939
0159.AA34.42453.20190809.ST	6	0	0	0	0	60		66
0159.AA34.42453.20200824.SAL	0	0	0	0	0	0		0
0159.AA34.42454.20190801.ST	4633	0	0	0	0	0		4633
0159.AA34.42454.20200920.ST	0	0	0	1108	0	0		1108
0159.AA34.42455.20190812.ST	7323	0	0	0	0	0		7323
0159.AA34.42456.20190803.ST	12658	0	0	0	0	0		12658
0159.AA34.42456.20200914.ST	0	0	0	11351	0	0		11351
0159.AA34.42457.20190805.ST	13318	0	0	0	0	0		13318
0159.AA34.42459.20200904.SAL	0	0	0	0	8699	0		8699
0159.AA34.42460.20191014.ST	7656	0	0	0	0	0		7656
0159.AA34.42461.20190814.ST	12926	0	0	0	0	0		12926
0159.AA34.42462.20190813.ST	8857	0	0	0	0	0		8857
0159.AA34.42464.20191002.ST	10226	0	0	0	0	0		10226
0159.AA34.42468.20190913.ST	10443	0	0	0	0	0		10443
0159.AA34.42470.20190830.ST	8966	0	0	0	0	0		8966
0159.AA34.42470.20200822.SAL	0	0	0	0	4	0		4
0159.AA34.42471.20190830.ST	2	0	0	0	0	20		22
0159.AA34.42471.20200819.SAL	0	0	0	0	33293	0		33293
0159.AA34.42473.20190830.ST	333	0	0	0	0	3330		3663
0159.AA34.42473.20200819.SAL	0	0	0	0	20401	0		20401
0159.AA34.42475.20190911.ST	13156	0	0	0	0	0		13156
0159.AA34.42475.20200823.SAL	0	0	0	0	1	0		1
0159.AA34.42476.20191015.ST	8551	0	0	0	0	0		8551
0159.AA34.42477.20190918.ST	12919	0	0	0	0	0		12919
0159.AA34.42477.20201015.ST	0	0	0	18892	0	0		18892
0159.AA34.42478.20190916.ST	8	0	0	0	0	80		88
0159.AA34.42478.20200909.SAL	0	0	0	0	252	0		252
0159.AA34.42478.20200909.ST	0	0	0	3165	0	0		3165
0159.AA34.42480.20191103.ST	8175	0	0	0	0	0		8175
0159.AA34.42481.20190918.ST	3110	0	0	0	0	0		3110
0159.AA34.42481.20201003.ST	0	0	0	4708	0	0		4708
0159.AA34.42485.20190917.ST	40532	0	0	0	0	0		40532
0159.AA34.42485.20200820.SAL	0	0	0	0	12373	0		12373
0159.AA34.42487.20190921.ST	28400	0	0	0	0	0		28400
0159.AA34.42487.20200820.SAL	0	0	0	0	4092	0		4092
0159.AA34.42489.20190928.ST	41681	0	0	0	0	0		41681
0159.AA34.42489.20200820.SAL	0	0	0	0	36896	0		36896
0159.AA34.42490.20190926.ST	656	0	0	0	0	0		656
0159.AA34.42490.20200821.SAL	0	0	0	0	669	0		669
0159.AA34.42492.20191121.ST	6451	0	0	0	0	0		6451
