SampleID	Attempts	TotalReads	AvgReadsPerAttempt
0159.AA34.42107.20180525.ST	1	0	0
0159.AA34.42108.20180523.ST	1	4003	4003
0159.AA34.42111.20180531.ST	1	11688	11688
0159.AA34.42113.20180615.ST	1	24118	24118
0159.AA34.42114.20180813.ST	1	7058	7058
0159.AA34.42115.20180604.ST	1	13495	13495
0159.AA34.42117.20180619.ST	1	11237	11237
0159.AA34.42119.20180806.ST	1	15827	15827
0159.AA34.42122.20180605.ST	1	13495	13495
0159.AA34.42126.20180619.ST	1	22983	22983
0159.AA34.42127.20190206.ST	1	5679	5679
0159.AA34.42128.20190220.ST	1	4820	4820
0159.AA34.42129.20190318.ST	1	5121	5121
0159.AA34.42131.20190211.ST	1	8973	8973
0159.AA34.42132.20190220.ST	1	8613	8613
0159.AA34.42133.20190227.ST	1	7677	7677
0159.AA34.42135.20190211.ST	1	3751	3751
0159.AA34.42138.20190306.ST	1	112	112
0159.AA34.42139.20190301.ST	1	19981	19981
0159.AA34.42141.20180927.ST	1	13076	13076
0159.AA34.42143.20180613.ST	1	7209	7209
0159.AA34.42146.20180730.ST	1	941	941
0159.AA34.42148.20180706.ST	1	11665	11665
0159.AA34.42149.20180619.ST	1	13627	13627
0159.AA34.42150.20180907.ST	1	7623	7623
0159.AA34.42151.20180907.ST	1	31923	31923
0159.AA34.42157.20180706.ST	1	14224	14224
0159.AA34.42158.20180730.ST	1	2212	2212
0159.AA34.42162.20180717.ST	1	1946	1946
0159.AA34.42164.20190116.ST	1	5743	5743
0159.AA34.42165.20180723.ST	1	11062	11062
0159.AA34.42167.20190116.ST	1	7417	7417
0159.AA34.42168.20190116.ST	1	10976	10976
0159.AA34.42169.20190716.ST	1	38788	38788
0159.AA34.42171.20180723.ST	1	2226	2226
0159.AA34.42172.20190116.ST	1	61568	61568
0159.AA34.42173.20181025.ST	1	18126	18126
0159.AA34.42174.20180806.ST	1	1614	1614
0159.AA34.42175.20180807.ST	1	13121	13121
0159.AA34.42177.20180806.ST	1	2070	2070
0159.AA34.42178.20180730.ST	1	10468	10468
0159.AA34.42180.20190306.ST	1	1546	1546
0159.AA34.42181.20180726.ST	1	18964	18964
0159.AA34.42183.20180730.ST	1	3310	3310
0159.AA34.42184.20180725.ST	1	9148	9148
0159.AA34.42186.20180806.ST	1	606	606
0159.AA34.42187.20180809.ST	1	10262	10262
0159.AA34.42188.20181015.ST	1	0	0
0159.AA34.42190.20181015.ST	1	4436	4436
0159.AA34.42194.20180813.ST	1	1540	1540
0159.AA34.42195.20180809.ST	1	27351	27351
0159.AA34.42196.20180814.ST	1	40282	40282
0159.AA34.42197.20180809.ST	1	13055	13055
0159.AA34.42198.20180814.ST	1	8331	8331
0159.AA34.42200.20180817.ST	1	7991	7991
0159.AA34.42202.20180814.ST	1	1518	1518
0159.AA34.42203.20180814.ST	1	19783	19783
0159.AA34.42204.20180619.ST	1	37401	37401
0159.AA34.42205.20180817.ST	1	15969	15969
0159.AA34.42207.20180827.ST	1	16364	16364
0159.AA34.42208.20180907.ST	1	24863	24863
0159.AA34.42210.20180907.ST	1	31874	31874
0159.AA34.42211.20180917.ST	1	32730	32730
0159.AA34.42212.20180907.ST	1	2258	2258
0159.AA34.42213.20180907.ST	1	3826	3826
0159.AA34.42214.20181102.ST	1	129	129
0159.AA34.42215.20180917.ST	1	2910	2910
0159.AA34.42216.20180907.ST	1	28040	28040
0159.AA34.42217.20180907.ST	1	37236	37236
0159.AA34.42218.20180920.ST	1	24498	24498
0159.AA34.42218.20181121.ST	1	11401	11401
0159.AA34.42219.20181017.ST	1	12835	12835
0159.AA34.42220.20181015.ST	1	4162	4162
0159.AA34.42222.20180920.ST	1	10056	10056
0159.AA34.42223.20180920.ST	1	2457	2457
0159.AA34.42226.20181105.ST	1	13419	13419
0159.AA34.42227.20181105.ST	1	23452	23452
0159.AA34.42229.20180619.ST	1	33472	33472
0159.AA34.42231.20181203.ST	1	11634	11634
0159.AA34.42232.20181116.ST	1	14466	14466
0159.AA34.42233.20181116.ST	1	36449	36449
0159.AA34.42234.20181217.ST	1	29838	29838
0159.AA34.42235.20181114.ST	1	13577	13577
0159.AA34.42236.20181116.ST	1	15737	15737
0159.AA34.42237.20181127.ST	1	32505	32505
0159.AA34.42238.20181126.ST	1	9876	9876
0159.AA34.42239.20181129.ST	1	7531	7531
0159.AA34.42241.20181105.ST	1	32988	32988
0159.AA34.42242.20181111.ST	1	0	0
0159.AA34.42243.20181105.ST	1	6292	6292
0159.AA34.42244.20181111.ST	1	32125	32125
0159.AA34.42245.20181108.ST	1	968	968
0159.AA34.42246.20180801.ST	1	3573	3573
0159.AA34.42247.20181112.ST	1	1342	1342
0159.AA34.42249.20181203.ST	1	4759	4759
0159.AA34.42250.20180920.ST	1	659	659
0159.AA34.42251.20180919.ST	1	57913	57913
0159.AA34.42252.20180925.ST	1	32988	32988
0159.AA34.42254.20180925.ST	1	10767	10767
0159.AA34.42255.20180920.ST	1	28400	28400
0159.AA34.42256.20180919.ST	1	6004	6004
0159.AA34.42257.20181004.ST	1	8198	8198
0159.AA34.42258.20181005.ST	1	9863	9863
0159.AA34.42260.20180927.ST	1	8977	8977
0159.AA34.42261.20181120.ST	1	16675	16675
0159.AA34.42262.20190327.ST	1	19456	19456
0159.AA34.42263.20181010.ST	1	22453	22453
0159.AA34.42266.20181005.ST	1	32373	32373
0159.AA34.42268.20181004.ST	1	18932	18932
0159.AA34.42269.20181008.ST	1	17504	17504
0159.AA34.42272.20181010.ST	1	4038	4038
0159.AA34.42273.20190102.ST	1	3694	3694
0159.AA34.42274.20181011.ST	1	11574	11574
0159.AA34.42275.20181015.ST	1	66785	66785
0159.AA34.42277.20181015.ST	1	897	897
0159.AA34.42278.20181024.ST	1	41362	41362
0159.AA34.42281.20181017.ST	1	6896	6896
0159.AA34.42282.20181025.ST	1	22237	22237
0159.AA34.42283.20181102.ST	1	1698	1698
0159.AA34.42285.20181015.ST	1	46981	46981
0159.AA34.42288.20181031.ST	1	14659	14659
0159.AA34.42289.20181029.ST	1	292	292
0159.AA34.42290.20181126.ST	1	15472	15472
0159.AA34.42291.20181121.ST	1	29451	29451
0159.AA34.42292.20181127.ST	1	30972	30972
0159.AA34.42294.20181129.ST	1	17095	17095
0159.AA34.42295.20181127.ST	1	10121	10121
0159.AA34.42296.20181213.ST	1	2035	2035
0159.AA34.42297.20190116.ST	1	14234	14234
0159.AA34.42298.20181210.ST	1	58408	58408
0159.AA34.42299.20181205.ST	1	14656	14656
0159.AA34.42300.20181203.ST	1	7615	7615
0159.AA34.42301.20181213.ST	1	8400	8400
0159.AA34.42301.20201016.SAL	1	11074	11074
0159.AA34.42301.20201016.ST	1	17004	17004
0159.AA34.42302.20181203.ST	1	4450	4450
0159.AA34.42303.20181205.ST	1	17333	17333
0159.AA34.42304.20181213.ST	1	3541	3541
0159.AA34.42306.20181205.ST	1	10282	10282
0159.AA34.42306.20201006.ST	1	22427	22427
0159.AA34.42307.20190107.ST	1	27019	27019
0159.AA34.42308.20181220.ST	1	18749	18749
0159.AA34.42309.20190123.ST	1	5193	5193
0159.AA34.42311.20181213.ST	1	13807	13807
0159.AA34.42311.20201026.ST	1	12647	12647
0159.AA34.42311.20201027.SAL	1	5085	5085
0159.AA34.42314.20190102.ST	1	4631	4631
0159.AA34.42316.20190102.ST	1	13290	13290
0159.AA34.42317.20190103.ST	1	11547	11547
0159.AA34.42318.20190102.ST	1	8203	8203
0159.AA34.42320.20190102.ST	1	9599	9599
0159.AA34.42321.20190102.ST	1	9572	9572
0159.AA34.42322.20190102.ST	1	3664	3664
0159.AA34.42323.20190102.ST	1	10131	10131
0159.AA34.42325.20190102.ST	1	15492	15492
0159.AA34.42327.20190109.ST	1	0	0
0159.AA34.42328.20190211.ST	1	16136	16136
0159.AA34.42328.20201020.SAL	1	7588	7588
0159.AA34.42328.20201020.ST	1	2523	2523
0159.AA34.42329.20190116.ST	1	38970	38970
0159.AA34.42329.20201025.SAL	1	2140	2140
0159.AA34.42329.20201025.ST	1	7887	7887
0159.AA34.42330.20190115.ST	1	37590	37590
0159.AA34.42331.20190109.ST	1	19949	19949
0159.AA34.42332.20190117.ST	1	12463	12463
0159.AA34.42333.20190117.ST	1	30051	30051
0159.AA34.42335.20190115.ST	1	3935	3935
0159.AA34.42337.20190123.ST	1	13066	13066
0159.AA34.42340.20190125.ST	1	12359	12359
0159.AA34.42341.20190130.ST	1	10066	10066
0159.AA34.42343.20190123.ST	1	982	982
0159.AA34.42344.20190130.ST	1	24835	24835
0159.AA34.42345.20190125.ST	1	29386	29386
0159.AA34.42349.20201022.SAL	1	6025	6025
0159.AA34.42349.20201022.ST	1	11072	11072
0159.AA34.42359.20190211.ST	1	13846	13846
0159.AA34.42362.20190305.ST	1	15795	15795
0159.AA34.42362.20200821.SAL	1	13121	13121
0159.AA34.42363.20190301.ST	1	4205	4205
0159.AA34.42365.20201008.ST	1	5249	5249
0159.AA34.42366.20200919.ST	1	12408	12408
0159.AA34.42369.20190306.ST	1	277	277
0159.AA34.42369.20200916.ST	1	5306	5306
0159.AA34.42372.20190318.ST	1	45	45
0159.AA34.42372.20201015.SAL	1	1355	1355
0159.AA34.42372.20201015.ST	1	10084	10084
0159.AA34.42375.20190318.ST	1	3	3
0159.AA34.42376.20190318.ST	1	3496	3496
0159.AA34.42377.20190401.ST	1	14546	14546
0159.AA34.42378.20201023.SAL	1	10466	10466
0159.AA34.42378.20201023.ST	1	9105	9105
0159.AA34.42382.20190404.ST	1	0	0
0159.AA34.42384.20201019.SAL	1	4891	4891
0159.AA34.42384.20201019.ST	1	107	107
0159.AA34.42385.20190401.ST	1	21303	21303
0159.AA34.42386.20190404.ST	1	113	113
0159.AA34.42387.20190408.ST	1	5200	5200
0159.AA34.42388.20190405.ST	1	0	0
0159.AA34.42394.20190415.ST	1	17480	17480
0159.AA34.42394.20201028.SAL	1	10429	10429
0159.AA34.42394.20201028.ST	1	9661	9661
0159.AA34.42397.20190419.ST	1	35117	35117
0159.AA34.42398.20190408.ST	1	39663	39663
0159.AA34.42398.20201022.SAL	1	6960	6960
0159.AA34.42398.20201022.ST	1	18856	18856
0159.AA34.42400.20190423.ST	1	38048	38048
0159.AA34.42400.20201019.SAL	1	9937	9937
0159.AA34.42400.20201019.ST	1	18961	18961
0159.AA34.42401.20190425.ST	1	32152	32152
0159.AA34.42401.20201003.ST	1	1	1
0159.AA34.42402.20190425.ST	1	3	3
0159.AA34.42402.20201015.SAL	1	6377	6377
0159.AA34.42402.20201015.ST	1	16782	16782
0159.AA34.42403.20190422.ST	1	8340	8340
0159.AA34.42405.20190425.ST	1	10	10
0159.AA34.42406.20190430.ST	1	12648	12648
0159.AA34.42407.20190423.ST	1	12391	12391
0159.AA34.42407.20201004.ST	1	18533	18533
0159.AA34.42409.20190428.ST	1	38918	38918
0159.AA34.42409.20201011.SAL	1	11429	11429
0159.AA34.42409.20201011.ST	1	20430	20430
0159.AA34.42411.20190504.ST	1	30932	30932
0159.AA34.42412.20190424.ST	1	39079	39079
0159.AA34.42413.20190513.ST	1	12210	12210
0159.AA34.42414.20190612.ST	1	19329	19329
0159.AA34.42415.20190506.ST	1	10401	10401
0159.AA34.42416.20190508.ST	1	7643	7643
0159.AA34.42417.20190518.ST	1	29499	29499
0159.AA34.42417.20201002.ST	1	16905	16905
0159.AA34.42421.20190526.ST	1	7740	7740
0159.AA34.42422.20190602.ST	1	18053	18053
0159.AA34.42422.20201004.ST	1	15463	15463
0159.AA34.42423.20190503.ST	1	11837	11837
0159.AA34.42424.20190529.ST	1	34424	34424
0159.AA34.42425.20190602.ST	1	11344	11344
0159.AA34.42425.20201010.SAL	1	4958	4958
0159.AA34.42425.20201010.ST	1	2308	2308
0159.AA34.42427.20190604.ST	1	46024	46024
0159.AA34.42430.20190612.ST	1	42825	42825
0159.AA34.42430.20200914.ST	1	13420	13420
0159.AA34.42432.20190702.ST	2	5885	2942
0159.AA34.42433.20190617.ST	1	24895	24895
0159.AA34.42433.20200724.SAL	1	47382	47382
0159.AA34.42435.20190518.ST	2	33	16
0159.AA34.42435.20200727.SAL	1	16769	16769
0159.AA34.42436.20190628.ST	1	15353	15353
0159.AA34.42436.20201020.SAL	1	10494	10494
0159.AA34.42436.20201020.ST	1	20289	20289
0159.AA34.42437.20190622.ST	1	32567	32567
0159.AA34.42437.20200829.SAL	1	2869	2869
0159.AA34.42438.20190621.ST	1	12832	12832
0159.AA34.42439.20190621.ST	1	10343	10343
0159.AA34.42439.20200803.SAL	1	2766	2766
0159.AA34.42441.20190629.ST	1	11657	11657
0159.AA34.42443.20190710.ST	1	12217	12217
0159.AA34.42444.20190706.ST	1	6883	6883
0159.AA34.42444.20200909.SAL	1	5222	5222
0159.AA34.42444.20200909.ST	1	14077	14077
0159.AA34.42445.20190716.ST	1	17585	17585
0159.AA34.42446.20190715.ST	1	34019	34019
0159.AA34.42447.20190725.ST	2	5797	2898
0159.AA34.42447.20200803.SAL	1	16555	16555
0159.AA34.42448.20190731.ST	1	9485	9485
0159.AA34.42451.20190905.ST	1	10569	10569
0159.AA34.42451.20200805.SAL	1	15083	15083
0159.AA34.42452.20190801.ST	1	53939	53939
0159.AA34.42453.20190809.ST	2	66	33
0159.AA34.42453.20200824.SAL	1	0	0
0159.AA34.42454.20190801.ST	1	4633	4633
0159.AA34.42454.20200920.ST	1	1108	1108
0159.AA34.42455.20190812.ST	1	7323	7323
0159.AA34.42456.20190803.ST	1	12658	12658
0159.AA34.42456.20200914.ST	1	11351	11351
0159.AA34.42457.20190805.ST	1	13318	13318
0159.AA34.42459.20200904.SAL	1	8699	8699
0159.AA34.42460.20191014.ST	1	7656	7656
0159.AA34.42461.20190814.ST	1	12926	12926
0159.AA34.42462.20190813.ST	1	8857	8857
0159.AA34.42464.20191002.ST	1	10226	10226
0159.AA34.42468.20190913.ST	1	10443	10443
0159.AA34.42470.20190830.ST	1	8966	8966
0159.AA34.42470.20200822.SAL	1	4	4
0159.AA34.42471.20190830.ST	2	22	11
0159.AA34.42471.20200819.SAL	1	33293	33293
0159.AA34.42473.20190830.ST	2	3663	1832
0159.AA34.42473.20200819.SAL	1	20401	20401
0159.AA34.42475.20190911.ST	1	13156	13156
0159.AA34.42475.20200823.SAL	1	1	1
0159.AA34.42476.20191015.ST	1	8551	8551
0159.AA34.42477.20190918.ST	1	12919	12919
0159.AA34.42477.20201015.ST	1	18892	18892
0159.AA34.42478.20190916.ST	2	88	44
0159.AA34.42478.20200909.SAL	1	252	252
0159.AA34.42478.20200909.ST	1	3165	3165
0159.AA34.42480.20191103.ST	1	8175	8175
0159.AA34.42481.20190918.ST	1	3110	3110
0159.AA34.42481.20201003.ST	1	4708	4708
0159.AA34.42485.20190917.ST	1	40532	40532
0159.AA34.42485.20200820.SAL	1	12373	12373
0159.AA34.42487.20190921.ST	1	28400	28400
0159.AA34.42487.20200820.SAL	1	4092	4092
0159.AA34.42489.20190928.ST	1	41681	41681
0159.AA34.42489.20200820.SAL	1	36896	36896
0159.AA34.42490.20190926.ST	1	656	656
0159.AA34.42490.20200821.SAL	1	669	669
0159.AA34.42492.20191121.ST	1	6451	6451
0159.AA34.42496.20191018.ST	1	10191	10191
0159.AA34.42496.20200908.SAL	1	10037	10037
0159.AA34.42497.20191019.ST	1	13912	13912
0159.AA34.42497.20200820.SAL	1	50926	50926
0159.AA34.42501.20191207.ST	2	22	11
0159.AA34.42502.20191031.ST	1	35160	35160
0159.AA34.42502.20200925.ST	1	16708	16708
0159.AA34.42504.20191031.ST	1	33532	33532
0159.AA34.42506.20191107.ST	1	20198	20198
0159.AA34.42506.20200903.SAL	1	1135	1135
0159.AA34.42507.20191110.ST	1	19649	19649
0159.AA34.42507.20200916.ST	1	11906	11906
0159.AA34.42508.20191111.ST	1	29589	29589
0159.AA34.42509.20191204.ST	1	4888	4888
0159.AA34.42513.20191124.ST	1	25616	25616
0159.AA34.42513.20200729.SAL	1	35323	35323
0159.AA34.42515.20191210.ST	1	31647	31647
0159.AA34.42520.20200728.SAL	1	10464	10464
0159.AA34.42521.20201009.SAL	1	3809	3809
0159.AA34.42521.20201009.ST	1	7240	7240
0159.AA34.42523.20200727.SAL	1	44690	44690
0159.AA34.42524.20200802.SAL	1	12565	12565
0159.AA34.42526.20200828.SAL	1	7078	7078
0159.FAKE.42347.20190125.ST	1	5383	5383
0159.FAKE.42349.20190203.ST	1	6060	6060
0159.FAKE.42352.20190207.ST	1	8859	8859
0159.FAKE.42354.20190211.ST	1	6568	6568
0159.FAKE.42356.20190203.ST	1	10046	10046
0159.FAKE.42358.20190207.ST	1	7400	7400
0159.FAKE.42360.20190304.ST	1	9647	9647
0159.FAKE.42364.20190301.ST	1	8927	8927
0159.FAKE.42365.20190318.ST	1	10879	10879
0159.FAKE.42366.20190305.ST	1	7598	7598
0159.FAKE.42368.20190312.ST	1	10644	10644
0159.FAKE.42370.20190322.ST	1	12183	12183
0159.FAKE.42378.20190328.ST	1	10589	10589
0159.FAKE.42380.20190401.ST	1	6175	6175
0159.FAKE.42384.20190328.ST	1	7044	7044
0159.FAKE.42389.20190404.ST	1	12571	12571
