1.14.14.M48	PWY-7070	RXN-13510
3.2.1.56	PWY-7651	RXN-16509
4.1.1.6	PWY-5750	ACONITATE-DECARBOXYLASE-RXN
2.4.1.-	PWY-8237	RXN-22192
6.3.2.-	PWY-7989	RXN-19516
2.3.1.-	PWY-6379	RXN-11007
2.3.1.-	PWY-6378	RXN-11007
1.14.12.23	PWY-5640	RXN-3661
2.3.1.-	PWY-7172	RXN-13987
3.1.3.3	SERSYN-PWY	RXN0-5114
3.1.1.-	PWY-7712	RXN-17046
3.1.1.107	RXN0-1661	RXN-14477
1.1.3.-	PWY-8024	RXN-20042
3.5.99.-	PWY-7770	RXN-17533
2.4.1.357	PWY-6515	RXN-11465
1.14.14.-	PWY-699	RXN-719
1.1.1.270	PWY-2541	RXN-11939
1.14.20.-	PWY-5070	RXN1F-163
4.4.1.13	PWYQT-4474	RXNQT-4322
2.4.2.-	PWY-7817	RXN-18038
1.1.1.-	PWY-7489	RXN-15464
4.1.1.18	PWY-6328	LYSDECARBOX-RXN
4.1.1.18	PWY0-461	LYSDECARBOX-RXN
4.1.1.18	PWY0-1601	LYSDECARBOX-RXN
4.1.1.18	PWY-6381	LYSDECARBOX-RXN
4.1.1.18	PWY-6375	LYSDECARBOX-RXN
4.1.1.18	PWY-6376	LYSDECARBOX-RXN
4.1.1.18	PWY-5468	LYSDECARBOX-RXN
4.1.1.18	PWY0-1303	LYSDECARBOX-RXN
1.3.8.1	PWY-3941	PROPCOASYN-RXN
3.1.3.46	PWY66-423	3.1.3.46-RXN
3.5.1.-	PWY-5784	RXN-9077
2.3.1.-	PWY-7583	RXN-16016
3.4.23.39	PWY-6423	3.4.23.39-RXN
2.4.1.-	PWY-8234	RXN-22169
2.4.1.-	PWY-8232	RXN-22169
2.4.1.-	PWY-8233	RXN-22169
1.14.19.13	PWY-5987	RXN-9617
2.4.1.170	PWY-2345	RXN-3581
2.4.1.299	PWY-7256	RXN-13970
1.14.14.-	PWY-7711	RXN-17029
2.6.99.3	PWY-7274	RXN-14458
5.4.99.5	TYRSYN	CHORISMATEMUT-RXN
5.4.99.5	PWY-7626	CHORISMATEMUT-RXN
5.4.99.5	PWY-3461	CHORISMATEMUT-RXN
5.4.99.5	PHESYN	CHORISMATEMUT-RXN
5.4.99.5	PWY-6627	CHORISMATEMUT-RXN
5.4.99.5	PWY-6120	CHORISMATEMUT-RXN
5.4.99.5	PWY-3462	CHORISMATEMUT-RXN
2.4.1.341	PWY-8217	RXN-17515
2.7.6.5	PPGPPMET-PWY	GDPPYPHOSKIN-RXN
1.1.-.-	PWY-699	RXN-712
1.1.-.-	PWY-2582	RXN-712
1.1.1.-	PWY-6672	RXN-11920
5.5.1.-	PWY1A0-6325	RXN1A0-6312
4.2.3.-	PWY-6160	RXN-8075
4.2.3.-	PWY-5197	RXN-8075
2.5.1.116	PWY-7436	RXN-14929
2.3.3.17	PWYQT-4450	RXNQT-4172
2.7.8.47	PWY-7815	RXN-18016
1.14.14.-	PWY-7478	RXN-15441
2.4.1.182	NAGLIPASYN-PWY	LIPIDADISACCHARIDESYNTH-RXN
1.14.13.M78	PWY-8111	RXN-21086
1.1.1.407	PWY-7862	RXN-18474
3.2.1.81	PWY-6815	RXN-12423
2.6.1.79	PWY-3461	PREPHENATE-TRANSAMINE-RXN
2.6.1.79	PWY-6120	PREPHENATE-TRANSAMINE-RXN
2.6.1.79	PWY-3462	PREPHENATE-TRANSAMINE-RXN
|EC-2.1.1.hu|	PWY-8296	RXN-21733
1.1.1.-	PWY-6973	RXN-12921
1.3.1.41	PWY-8249	XANTHOMMATIN-REDUCTASE-RXN
2.6.1.-	LYSDEGII-PWY	ACETCAPR-RXN
1.14.12.1	PWY-6079	1.14.12.1-RXN
1.14.12.1	PWY-5648	1.14.12.1-RXN
2.4.99.-	ECASYN-PWY	RXN-22149
2.1.1.-	PWY-7058	RXN-13473
2.1.1.-	PWY-7186	RXN-13473
2.7.4.21	PWY-6369	RXN-10971
3.5.3.1	PWY-31	RXN-34
2.3.1.-	PWY-7168	RXN-13953
3.1.13.1	PWY0-1479	RXN0-4222
3.4.19.16	PWY-1187	RXN-11430
1.13.11.57	GALLATE-DEGRADATION-II-PWY	GALLATE-DIOXYGENASE-RXN
2.4.1.299	PWY-7260	RXN-14441
5.5.1.17	PWY-6888	RXN-11903
5.2.1.13	PWY-6475	RXN-8042
3.13.1.-	PWY-7387	RXN-14908
1.3.98.4	PWY-7812	RXN-17988
6.2.1.1	PWY-5108	RXN-18448
6.2.1.1	PWY-7857	RXN-18448
3.2.1.177	PWY-6807	RXN-12402
3.1.2.25	PWY-1341	3.1.2.25-RXN
1.14.13.148	PWY-8292	RXN-12900
1.14.13.148	PWY-6968	RXN-12900
2.6.1.48	LYSDEGII-PWY	VAGL-RXN
2.6.1.48	PWY-6328	VAGL-RXN
2.6.1.48	PWY0-461	VAGL-RXN
2.6.1.48	PWY-5280	VAGL-RXN
2.4.1.-	PWY-5774	RXN-9038
1.14.14.-	PWY-7572	RXN-15963
3.1.1.-	PWY-6190	RXN-10106
1.13.11.49	PWY-6530	1.13.11.49-RXN
1.13.11.49	PWY-6529	1.13.11.49-RXN
