sample_id	total	GO:0044423	GO:0019013	GO:0019028	GO:0019033	GO:0036338	GO:0046727	GO:0046729	GO:0055036	GO:0098015	GO:0098021	GO:0098024	GO:0098025	GO:0098026	GO:0098027	Remaining
0159_AA34_42061_20180423_ST	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188
0159_AA34_42063_20180426_ST	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65
0159_AA34_42067_20180503_ST	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0159_AA34_42069_20180504_ST	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
0159_AA34_42070_20180503_ST	56972	1	0	0	0	0	0	0	0	0	0	0	0	0	0	56971
0159_AA34_42073_20180514_ST	21205	1	0	0	0	0	0	0	0	0	0	1	0	0	0	21203
0159_AA34_42075_20180508_ST	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
0159_AA34_42076_20180823_ST	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226
0159_AA34_42077_20180504_ST	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
0159_AA34_42078_20180523_ST	72835	2	0	0	0	0	0	0	0	0	0	68	0	0	0	72765
0159_AA34_42081_20180515_ST	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
0159_AA34_42082_20180514_ST	34254	3	0	0	0	0	0	0	0	0	0	0	0	0	0	34251
0159_AA34_42083_20180504_ST	2647160	132	0	20	0	0	0	0	0	0	0	11	0	1.5	9	2646986.5
0159_AA34_42084_20180509_ST	5501488.00000001	678	0	11	1	0	0	0	0	0.5	0	793	11	5.5	13	5499975.00000001
0159_AA34_42085_20180717_ST	725316	35	0	7	0	0	0	0	0	0	0	19	0	0	15	725240
0159_AA34_42086_20180514_ST	679038.999999999	205.333333333333	0	198	0	0	0	0	0	41.5	61	646	247	0	104	677536.166666666
0159_AA34_42087_20180523_ST	5082822	3647	0	0	0	0	0	0	0	674.5	0	251	0	0	1233	5077016.5
0159_AA34_42088_20180515_ST	5305097	416	10	849	0	0	0	0	0	142	0	97	0	0	369	5303214
0159_AA34_42089_20180515_ST	3477335.00000001	391	0	216	0	0	0	0	0	0	0	46	0	0	60	3476622.00000001
0159_AA34_42090_20180515_ST	1281859	36	0	8	0	1	0	0	0	10.5	0	11	0	0	5	1281787.5
0159_AA34_42092_20180525_ST	6668198	1204	0	161	0	0	0	0	0	0	0	300	0	3.5	24	6666505.5
0159_AA34_42094_20180523_ST	3676129	337.5	0	250.5	0	0	0	0	0	0	0	66	0	0	49	3675426
0159_AA34_42097_20180525_ST	2585173	98	0	40	0	0	0	0	0	0	0	2	0	0	26	2585007
0159_AA34_42098_20180531_ST	3084609	157	0.5	111	0	0	0	0	0	3	0	1382	0	0	2425	3080530.5
0159_AA34_42099_20180525_ST	5485	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5483
0159_AA34_42100_20180523_ST	11859102	3856.5	0	879.5	0	1	0	0	0	16	0	1003	6	0	1075	11852265
0159_AA34_42101_20180611_ST	93388	38	0	3	0	0	0	0	0	0	0	45	1.5	0	34	93266.5
0159_AA34_42103_20180813_ST	836642	1016	0	103	0	0	0	0	0	173	0	159	1	0	150	835040
0159_AA34_42104_20180813_ST	358181	94	0	0	0	0	0	0	0	1	0	2	6	1	167	357910
0159_AA34_42106_20180813_ST	4494695	1049	0	188	0	0	0	0	0	0	0	76	1	1	55	4493325
0159_AA34_42108_20180523_ST	2104539	199.5	0	123	0	0	0	0	0	1	1	77	0	0	19	2104118.5
0159_AA34_42111_20180531_ST	2785843	707	0	66	0	0	0	0	0	0	0	57	0	0	53	2784960
0159_AA34_42113_20180615_ST	5466709	341	0	83	0	0	0	0	0	0	0	2296	2	0	89	5463898
0159_AA34_42114_20180813_ST	1920082	142	0	5	0	0	0	0	0	0	0	91	0	0	12	1919832
0159_AA34_42117_20180619_ST	1339178	1318	0	26	0	0	0	0	0	0	0	23	0	0	10	1337801
0159_AA34_42119_201800806_ST	4050973	122.5	0	30.5	0	0	0	0	0	0	0	515	1	0	47	4050257
0159_AA34_42122_20180605_ST	947399	32	0	9	0	0	0	0	0	2	0	7	0	0	4	947345
0159_AA34_42127_20190206_ST	2164317	84	0	0	0	0	0	0	0	7.5	0	2350	0	0	52	2161823.5
0159_AA34_42128_20190220_ST	3131	2.5	0	0	0	0	0	0	0	0	0	2	0	0	1	3125.5
0159_AA34_42129_20190318_ST	2991427	108	0	110	0	0	0	0	0	0	0	36	0	0	46	2991127
0159_AA34_42131_20190211_ST	3491649	512	0	174.5	0	0	0	0	0	22.5	0	290	0	0	76	3490574
0159_AA34_42132_20190220_ST	3329231	376	0	48	0	0	0	0	0	0	0	174	0	0.5	115	3328517.5
0159_AA34_42133_20190227_ST	240014	25	0	1	0	0	0	0	0	11.5	0	19	0	0	5	239952.5
0159_AA34_42135_20190211_ST	79573.9999999999	21	0.333333333333333	0.5	0	0	0	0	0	2.5	0	10	0	0	6	79533.6666666666
0159_AA34_42138_20190306_ST	10261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10261
0159_AA34_42139_201900301_ST	2319060	86	1.5	102	0	0	0	0	0	4	0	53	0	1.5	26	2318786
0159_AA34_42143_20180613_ST	2783181	197	0	40	0	0	0	0	0	5	0	3304	0	0	77	2779558
0159_AA34_42146_20180730_ST	1268089	72	0	19	0	0	0	0	0	0	0	36	0	0	20	1267942
0159_AA34_42148_20180706_ST	590446	98	0	0	0	0	0	0	0	6	0	0	0	0	2	590340
0159_AA34_42149_20180619_ST	256091	27	0	1	0	0	0	0	0	3	0	2.5	0	0	51	256006.5
0159_AA34_42150_20180907_ST	6421650	626	0	217	0	0	0	0	0	0	0	602	0	0	284	6419921
0159_AA34_42151_20180907_ST	1870458	124	0	15	0	0	0	0	0	1.5	0	34	1	0	33	1870249.5
0159_AA34_42157_20180706_ST	1062387	58	0	26.5	0	0	0	0	0	0	0	240	0	0	9	1062053.5
0159_AA34_42158_20180730_ST	508594	334	0	9	0	0	0	0	0	9.5	0	139	0	0	2	508100.5
0159_AA34_42162_20180717_ST	42158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42158
0159_AA34_42165_20180723_ST	2924134	251	0	55	0	0	0	0	0	0	0	22	0	0	36	2923770
0159_AA34_42167_20190116_ST	3303725	266	0	40	0	0.5	0	0	0	2	0	136	0	0	69	3303211.5
0159_AA34_42168_20190116_ST	3164486	210	0	48	0	0	0	0	0	0	0	16	1	2.5	14	3164194.5
0159_AA34_42169_20190716_ST	4076369	202	1	747	0	0	0	0	0	0	0	210	2	0	21	4075186
0159_AA34_42171_20180723_ST	383896	2.33333333333333	0	2	0	0	0	0	0	0	0	6	0	0	0	383885.666666666
0159_AA34_42172_20190116_ST	2422376	248	0	25	0	0	0	0	0	0	0	2449	2	0	34	2419618
0159_AA34_42173_20181025_ST	386595	5	0	1	0	0	0	0	0	0	0	1	0	0	0	386588
0159_AA34_42174_20180806_ST	69060	19	0	2	0	0	0	0	0	12.5	0	155	1	0	50	68820.5
0159_AA34_42175_20180807_ST	3607603	241	0	42	0	0	0	0	0	1	0	109	0	0	34	3607176
0159_AA34_42177_20180806_ST	2865746	1745	0	75	0	0	0	0	0	243	0	1341	3	0	62	2862277
0159_AA34_42181_20180726_ST	4264541	149	0	35	0	0	0	0	0	13.5	0	145	0	0	52	4264146.5
0159_AA34_42183_20180730_ST	1309744	206	0	15	0	0	0	0	0	117.5	0	423	0	0	16	1308966.5
0159_AA34_42184_20180725_ST	828055.000000001	57.3333333333333	0	2	0	0.333333333333333	0	0	0	45.5	0	725	0	0	368	826856.833333334
0159_AA34_42186_20180806_ST	161108	0	0	1	0	0	0	0	0	25	0	12	0	0	0	161070
0159_AA34_42187_20180809_ST	617940	32	0	22	0	0	0	0	0	0	0	4	0	0	6	617876
0159_AA34_42190_20181015_ST	288226	44	0	14.5	0	0	0	0	0	0	0	28	0	0	1	288138.5
0159_AA34_42195_20180809_ST	109783	27	0	0	0	0	0	0	0	0	0	0	0	0	0	109756
0159_AA34_42196_20180814_ST	6676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6676
0159_AA34_42197_20180809_ST	1740831	180	0	82	0	0	0	0	0	14	0	152	4	0.5	118	1740280.5
0159_AA34_42198_20180814_ST	329990	19	0	5	0	0	0	0	0	1.5	0	9	0	0	4	329951.5
0159_AA34_42200_20180817_ST	63934	5	0	1	0	0	0	0	0	0	0	17	0	0	0	63911
0159_AA34_42203_20180814_ST	871956	81	0	20	0	0	0	0	0	0	0	11	0	0.5	9	871834.5
0159_AA34_42204_20180619_ST	24909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24909
0159_AA34_42207_20180827_ST	37225	11	0	0	0	0	0	0	0	9.5	0	7	0	0	0	37197.5
0159_AA34_42208_20180907_ST	165715	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	165712.5
0159_AA34_42210_201800907_ST	413209	99	0	0	0	0	0	0	0	1	0	0	0	0	0	413109
0159_AA34_42211_201800917_ST	419466	4	0	0	0	0	0	0	0	0	0	0	0	0	0	419462
0159_AA34_42212_201800907_ST	2187323	120	0	36.5	0	0	0	0	0	1	0	23	0	1.5	11	2187130
0159_AA34_42213_201800907_ST	458220	27	0	0	0	0	0	0	0	5	0	15	0	0	40	458133
0159_AA34_42214_201801102_ST	10267	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10266
0159_AA34_42216_201800907_ST	758275	50	0	10	0	0	0	0	0	0	0	53	0	0	6	758156
0159_AA34_42217_201800907_ST	134917	0	0	0	0	0	0	0	0	0	0	115	0	0	0	134802
0159_AA34_42218_201800920_ST	310789	9	0	0	0	0	0	0	0	0.5	0	2	0	0	0	310777.5
0159_AA34_42218_201801121_ST	68760	2	0	0	0	0	0	0	0	0	0	0	0	0	0	68758
0159_AA34_42219_201801017_ST	80419	44	0	0	0	0	0	0	0	2	0	365	2	0	5	80001
0159_AA34_42220_201801015_ST	295561	5	0	0.5	0	0	0	0	0	5.5	0	30	0	0	8	295512
0159_AA34_42222_201800920_ST	167865	13	0	0	0	0	0	0	0	0	0	0	0	0	0	167852
0159_AA34_42223_201800920_ST	51307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51307
0159_AA34_42227_201801105_ST	676702	18	0	21.5	0	0	0	0	0	0	0	103	0	0	1	676558.5
0159_AA34_42229_20180619_ST	46354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46354
0159_AA34_42231_20181203_ST	191296	0	0	0	0	0	0	0	0	10.5	0	1	0	0	0	191284.5
0159_AA34_42232_20181116_ST	4123	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4114
0159_AA34_42236_20181116_ST	1194742	105	0	3	0	0	0	0	0	1	0	12	0	0.5	22	1194598.5
0159_AA34_42237_20181127_ST	14919	0	0	0	0	0	0	0	0	0	0	33	0	0	0	14886
0159_AA34_42238_20181126_ST	182613	7	0	4	0	0	0	0	0	0	0	2	0	0	1	182599
0159_AA34_42239_20181129_ST	4514439	289	0	137	0	0	0	0	0	4	0	37	0	0.5	35	4513936.5
0159_AA34_42242_20181111_ST	5333638	202	2	517	0	0	0	0	0	8	0	91	0	0	53	5332765
0159_AA34_42245_20181108_ST	637484	11	1.5	5	0	0.333333333333333	0	0	0.333333333333333	0	0	2	0	0	1	637462.833333333
0159_AA34_42246_20180801_ST	2395769	134	0	37	0	0	0	0	0	0	0	41	4	1	45	2395507
0159_AA34_42247_20181112_ST	719284	47	0	21	0	0	0	0	0	16	0	57	0	0	38	719105
0159_AA34_42249_20181203_ST	4652748	752	0	48	0	0	0	0	0	0	0	1255	0	0	53	4650640
0159_AA34_42250_20180920_ST	2666771	17	0	65	0	0	0	0	0	0.5	0	52	0	0	54	2666582.5
0159_AA34_42255_20180920_ST	928430	31	0	5	0	0	0	0	0	0	0	62	0	0.5	0	928331.5
0159_AA34_42256_20180919_ST	2276677	90.3333333333333	0	71	0	0	0	0	0	9.5	3	1001	46.5	0.5	57	2275398.16666667
0159_AA34_42257_20181004_ST	3913049	180	0	88	0	0	0	0	0	0	0	41	1	0	28	3912711
0159_AA34_42258_20181005_ST	2017894	46.5	0	39	0	0	0	0	0	0	0	1	0	0	1	2017806.5
0159_AA34_42260_201800927_ST	167852	5	0	0	0	0	0	0	0	0	0	0	0	0	0	167847
0159_AA34_42261_20181120_ST	8228824	171	0	68	0	0	0	0	0	3	0	85763	0	3	39	8142777
0159_AA34_42268_20181004_ST	4141368	655.5	0	243	0	0	0	0	0	0	0	474	0	0	56	4139939.5
0159_AA34_42269_20181008_ST	158489	0	0	3	0	0	0	0	0	0	0	2778	0	0	0	155708
0159_AA34_42272_20181010_ST	794695	19	0	0	0	0	0	0	0	8.5	0	5	0	0	2	794660.5
0159_AA34_42273_20190102_ST	2242286	84	0	4	0	0	0	0	0	10.5	0	99	0	0	43	2242045.5
0159_AA34_42274_20181011_ST	419966	13	0	0	0	0	0	0	0	0	0	1	0	0	0	419952
0159_AA34_42281_20181017_ST	3841334	129	2.5	101	0	0	0	0	0	0.5	0	73	0	0	86	3840942
0159_AA34_42282_20181025_ST	5961842	342	0	224	0	0.5	0	0	0	0.5	0	56	1	0.5	37	5961180.5
0159_AA34_42283_20181102_ST	117698	43	0	2	0	0	0	0	0	2	0	1	0	0	0	117650
0159_AA34_42285_20181015_ST	250298	12	0	3	0	0	0	0	0	0	0	0	0	0	0	250283
0159_AA34_42288_20181031_ST	917177	119	0	32	0	0.5	0	0	0	3	0	28	0	0	14	916980.5
0159_AA34_42292_20181127_ST	930709	33	0	6	0	0	0	0	0	0	0	0	0	0	0	930670
0159_AA34_42294_20181129_ST	846937.999999999	13	0	1	0	0	0	0	0	0	0	1	0	0	0	846922.999999999
0159_AA34_42295_20181127_ST	1156205	17	0	2	0	0	0	0	0	0	0	2	0	0	0	1156184
0159_AA34_42296_20181213_ST	7215.99999999999	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7213.99999999999
0159_AA34_42297_20190116_ST	541665	2	0	0	0	0	0	0	0	0	0	16	0	0	3	541644
0159_AA34_42301_20181213_ST	98979.9999999999	2	0	0	0	0	0	0	0	0	0	0	0	0	1	98976.9999999999
0159_AA34_42302_20181203_ST	268094	9	0	3	0	0	0	0	0	0	0	508	0	0	0	267574
0159_AA34_42303_20181205_ST	631254	4	0	3	0	0	0	0	0	0	0	28253	4	0	2	602988
0159_AA34_42304_201812213_ST	196448	3	0	0	0	0	0	0	0	0.5	0	5	0	0	2	196437.5
0159_AA34_42306_20181205_ST	276077	10	0	0	0	0	0	0	0	0	0	0	0	0	0	276067
0159_AA34_42311_20181213_ST	46956	0	0	0	0	0	0	0	0	0	0	27	0	0	0	46929
0159_AA34_42314_20190102_ST	4279966	143	0	7	0	0	0	0	0	1.5	0	16	0	0	10	4279788.5
0159_AA34_42316_20190102_ST	42838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42838
0159_AA34_42317_20190103_ST	35337	2.5	0	5	0	0	0	0	0	1	0	3	7	0	1	35317.5
0159_AA34_42318_20190102_ST	2937924	457	0	33	0	0	0	0	0	5	0	541	1	0.5	44	2936842.5
0159_AA34_42323_20190102_ST	28034	1.5	0	774	0	0	0	0	0	0	0	2	0.5	0	1	27255
0159_AA34_42325_20190102_ST	272130	2	0	3	0	0	0	0	0	0	0	60	0	0	0	272065
0159_AA34_42327_20190109_ST	10618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10618
0159_AA34_42328_20190211_ST	2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2034
0159_AA34_42329_20190116_ST	4929992	1133	0	2	0	0	0	0	0	3	0	143	0	1	690	4928020
0159_AA34_42332_20190117_ST	648634	9	0	4	0	0	0	0	0	0	0	0	0	0	0	648621
0159_AA34_42333_20190117_ST	5157300	374	0	46.5	0	0	0	0	0	7	0	336	0	0	143	5156393.5
0159_AA34_42335_20190115_ST	10698	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10696
0159_AA34_42337_20190123_ST	22129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22129
0159_AA34_42340_20190125_ST	20077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20077
0159_AA34_42341_20190130_ST	10312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10312
0159_AA34_42345_20190125_ST	22785	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22784
0159_AA34_42347_20190125_ST	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343
0159_AA34_42349_20190203_ST	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248
0159_AA34_42352_20190207_ST	2174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2174
0159_AA34_42354_20190211_ST	7996	4	0	0	0	0	0	0	0	0	0	0	0	0	3	7989
0159_AA34_42356_20190203_ST	7942.00000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7942.00000000001
0159_AA34_42358_20190207_ST	1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109
0159_AA34_42359_20190211_ST	23762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23762
0159_AA34_42360_20190304_ST	30320	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30319
0159_AA34_42362_20190305_ST	95482	1	0	0	0	0	0	0	0	1	0	0	0	0	0	95480
0159_AA34_42363_20190301_ST	73596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73596
0159_AA34_42364_20190301_ST	33755	2	0	0	0	0	0	0	0	0	0	0	0	0	0	33753
0159_AA34_42365_20190318_ST	64989	2	0	0	0	0	0	0	0	0	0	0	0	0	1	64986
0159_AA34_42366_20190305_ST	2128119	334	8	3660	0	0	0	0	0	2832.5	0	3849	7090	0	1785	2108560.5
0159_AA34_42368_20190312_ST	64620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64620
0159_AA34_42369_20190306_ST	3845	2	0	0	0	0	0	0	0	0	0	8	0	0	0	3835
0159_AA34_42370_20190322_ST	75643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75643
0159_AA34_42372_20190318_ST	810885	52	0	5.5	0	0	0	0	0	50.5	0	16	0	0	0	810761
0159_AA34_42375_20190318_ST	302292	8	0	8	0	0	0	0	0	0	0	1	0	0	0	302275
0159_AA34_42376_20190318_ST	5433622	383	0	43	0	1	0	0	0	1	0	11	0	0	15	5433168
0159_AA34_42377_20190401_ST	4518410	347.333333333333	0	39.5	0	0	0	0	0	0	0	882	0	0	30	4517111.16666667
0159_AA34_42378_20190328_ST	703358.000000001	2	0	2	0	0	0	0	0	1.5	0	2	0	0	0	703350.500000001
0159_AA34_42380_20190401_ST	75405	7	0	3	0	0	0	0	0	0	0	0	0	0	0	75395
0159_AA34_42382_20190404_ST	524647	18	0	1	0	0	0	0	0	0	0	0	0	0	0	524628
0159_AA34_42384_20190328_ST	44398	58	0	1	0	0	0	0	0	0	0	21	7	0.5	124	44186.5
0159_AA34_42385_20190401_ST	68390.9999999999	1	0	0	0	0	0	0	0	0.5	1	0	0	0	0	68388.4999999999
0159_AA34_42386_20190404_ST	1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1095
0159_AA34_42387_20190408_ST	468127.999999999	1329.5	0	35	0	0	0	0	0	2.5	0	291	1	0	7	466461.999999999
0159_AA34_42388_20190405_ST	5986266	433	0	58	0	0	0	0	0	0	0	413	0	0	47	5985315
0159_AA34_42389_20190404_ST	4972911	263	0	36	0	0	0	0	0	8	0	470	2	0	247	4971885
0159_AA34_42394_20190415_ST	2116285	495	0.5	126	0	0.5	0	0	0	3.5	0	58	1	1	106	2115493.5
0159_AA34_42397_20190419_ST	289681	22	0	0	0	0	0	0	0	0	0	5	0	0	0	289654
0159_AA34_42398_20190408_ST	9054477	1283.5	0	1194	0	0	0	0	0	276	333	1385	1463	0	548	9047994.5
0159_AA34_42400_20190423_ST	617666.999999999	30	0	0	0	0	0	0	0	0	0	0	0	0	0	617636.999999999
0159_AA34_42401_20190425_ST	487074	8	0	1	0	0	0	0	0	1	0	0	0	0	4	487060
0159_AA34_42402_20190425_ST	82920.9999999999	14	0	0	0	0	0	0	0	23	0	50	0	0	1	82832.9999999999
0159_AA34_42403_20190422_ST	903496	15	0	0	0	0	0	0	0	0	0	631	0	0	1	902849
0159_AA34_42405_20190425_ST	225026	3	0	8	0	0	0	0	0	41	0	32	0	0	1	224941
0159_AA34_42406_20190430_ST	6455620	385	1	14.5	0	0	0	0	0	34	0	250	0	0	48	6454887.5
0159_AA34_42407_20190423_ST	610399.999999999	20	0	0	0	0	0	0	0	0	0	131	0	0	0	610248.999999999
0159_AA34_42409_20190428_ST	7305031	244	0	79.5	0	0	0	0	0	1	0	414	0	0	46	7304246.5
0159_AA34_42411_20190504_ST	3847817.00000001	188	0	84.5	0	1	0	0	0	0	0	25	0	0	37	3847481.50000001
0159_AA34_42412_20190424_ST	87341	4	0	0	0	0	0	0	0	1	0	0	0	0	7	87329
0159_AA34_42413_20190513_ST	8942364.00000001	663	0	68.5	0	0	2	0	0	31	0	128	0	1	161	8941309.50000001
0159_AA34_42414_20190612_ST	59416	2	0	0	0	0	0	0	0	0	0	0	0	0	0	59414
0159_AA34_42415_20190506_ST	6569908	580	0.5	425	0	0.5	0	0	0	0	0	89	2	0	36	6568775
0159_AA34_42416_20190508_ST	7655290.99999999	73.3333333333333	50	1401	0	0	0	0	0	67.5	0	41	0	0	19	7653639.16666666
0159_AA34_42417_20190518_ST	301798	4	0	0	0	0	0	0	0	4.5	0	4	0	0	3	301782.5
0159_AA34_42421_20190526_ST	22601	46	0	0	0	0	0	0	0	0	0	16	0	0	0	22539
0159_AA34_42422_20190602_ST	614056	3	0	0	0	0	0	0	0	55	0	10	0	0	0	613988
0159_AA34_42423_20190503_ST	1225186	5	0	7	0	0	0	0	0	14	0	28	1	0	25	1225106
0159_AA34_42424_20190529_ST	82649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82649
0159_AA34_42425_20190602_ST	58431	67	0	176	0	0	0	0	0	4	33	185	391	0	119	57456
0159_AA34_42427_20190604_ST	3555510	622	0	122	0	2	0	0	0	1.5	0	47	0	0	39	3554676.5
0159_AA34_42430_20190612_ST	467390	2	0	9	0	0	0	0	0	8.5	0	1	0	0	4	467365.5
0159_AA34_42432_20190702_ST	82712	4	0	0	0	0	0	0	0	3	0	0	0	0	0	82705
0159_AA34_42433_20190617_ST	2196349	347	0	120	0	0	0	0	0	0	0	388	0	0	15	2195479
0159_AA34_42435_20190518_ST	3745937	214.333333333333	0	105	0	0	0	0	0	0	0	82	0	0.5	34	3745501.16666667
0159_AA34_42436_20190628_ST	2576177	94	0	82.5	0	0	0	0	0	0	0	49	0	0	17	2575934.5
0159_AA34_42437_20190622_ST	5283569	473	0.5	86	0	0	0	0	0	0	0	18	0	0.5	56	5282935
0159_AA34_42438_20190621_ST	6536593.99999999	380	0	268	0	0	0	0	0	1	0	74	0	0	118	6535752.99999999
0159_AA34_42439_20190621_ST	2843245	153	0	189	0	0	0	0	0	91	0	462	1	0	17	2842332
0159_AA34_42441_20190629_ST	1017772	24	0	6	0	0	0	0	0	0	0	0	0	0	0	1017742
0159_AA34_42443_20190710_ST	4447682	221.5	0.333333333333333	109	0	0	0	0	0	3.5	0	119	0	0	130	4447098.66666667
0159_AA34_42444_20190706_ST	31818	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31817
0159_AA34_42445_20190716_ST	2206629	60	0	34	0	0	0	0	0	0	0	6	0	0	10	2206519
0159_AA34_42446_20190715_ST	7732392	1238	0	148	0	0.166666666666667	0	0	0.166666666666667	0	0	36	0	0	88	7730881.66666667
0159_AA34_42448_20190731_ST	1899632	1610.5	0	25	0	0	0	0	0	527	0	292	0	0	919	1896258.5
0159_AA34_42451_20190905_ST	11706690	430	0	1583	0	0	0	0	0	4	0	1454	0	4	521	11702694
