sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AA34_42368_20190312_ST	64620	4725.08333333333	0	59894.9166666666
0159_AA34_42369_20190306_ST	3845	353.666666666667	10	3481.33333333333
0159_AA34_42370_20190322_ST	75643	4412.41666666667	0	71230.5833333333
0159_AA34_42372_20190318_ST	810885	50592.9166666666	124	760168.083333334
0159_AA34_42375_20190318_ST	302292	14139.1666666667	17	288135.833333333
0159_AA34_42376_20190318_ST	5433622	269389.15	454	5163778.85
0159_AA34_42377_20190401_ST	4518410	240186.707142857	1298.83333333333	4276924.45952381
0159_AA34_42378_20190328_ST	703358.000000001	36502.3333333333	7.5	666848.166666667
0159_AA34_42380_20190401_ST	75405	4905.73333333333	10	70489.2666666667
0159_AA34_42382_20190404_ST	524647	28567.6666666667	19	496060.333333333
0159_AA34_42384_20190328_ST	44398	3303.68333333333	211.5	40882.8166666666
0159_AA34_42385_20190401_ST	68390.9999999999	4499.78333333333	2.5	63888.7166666666
0159_AA34_42386_20190404_ST	1095	83.5666666666667	0	1011.43333333333
0159_AA34_42387_20190408_ST	468127.999999999	40340.65	1666	426121.349999999
0159_AA34_42388_20190405_ST	5986266	317454.616666667	951	5667860.38333333
0159_AA34_42389_20190404_ST	4972911	239275.266666667	1026	4732609.73333333
0159_AA34_42394_20190415_ST	2116285	119181.983333333	791.5	1996311.51666667
0159_AA34_42397_20190419_ST	289681	17994	27	271660
0159_AA34_42398_20190408_ST	9054476.99999999	485071.35	6482.5	8562923.14999999
0159_AA34_42400_20190423_ST	617667	37786.6666666667	30	579850.333333333
0159_AA34_42401_20190425_ST	487074	21734.3333333333	14	465325.666666667
0159_AA34_42402_20190425_ST	82920.9999999999	6279.83333333334	88	76553.1666666666
0159_AA34_42403_20190422_ST	903496	49345.5	647	853503.5
0159_AA34_42405_20190425_ST	225026	13771.9166666667	85	211169.083333333
0159_AA34_42406_20190430_ST	6455620	357736.5	732.5	6097151
0159_AA34_42407_20190423_ST	610399.999999999	36020.2	151	574228.799999999
0159_AA34_42409_20190428_ST	7305031	354765.183333333	784.5	6949481.31666667
0159_AA34_42411_20190504_ST	3847817.00000001	200582.933333333	335.5	3646898.56666667
0159_AA34_42412_20190424_ST	87341	4950.41666666667	12	82378.5833333333
0159_AA34_42413_20190513_ST	8942364.00000001	459278.628571428	1054.5	8482030.87142858
0159_AA34_42414_20190612_ST	59416	3848.41666666667	2	55565.5833333333
0159_AA34_42415_20190506_ST	6569908	337675.540476191	1133	6231099.45952381
0159_AA34_42416_20190508_ST	7655290.99999999	588402.75	1651.83333333333	7065236.41666666
0159_AA34_42417_20190518_ST	301798	16621.9833333333	15.5	285160.516666667
0159_AA34_42421_20190526_ST	22601	1811.31666666667	62	20727.6833333333
0159_AA34_42422_20190602_ST	614056	40746.6166666667	68	573241.383333334
