Sample ID,Shannon,Simpson,Evenness,SimpsonsRecip,Tail,DiscTaxa
590U_01_V3V5,2.99816630717515,0.916925890607722,0.655378300675948,12.0374447263463,14.2007724973092,97
593U_05_V1V3,2.9920811860407,0.899979149896409,0.648321354799328,9.99791542427713,16.6174073076937,101
595I_03_V3V5,2.98979987240895,0.910975474573637,0.664428073952184,11.2328596553671,12.9374697518561,90
591U_01_V1V3,2.98931719827021,0.895415286880263,0.635959937206601,9.56162683981469,18.2744658814465,110
589I_05_V3V5,2.97622953879997,0.88742621685205,0.646280032789143,8.88306293025392,15.3920987730283,100
596I_07_V3V5,2.97526751386951,0.905781580350303,0.650372783734387,10.6136358868891,13.9283136288227,97
592U_00_V1V3,2.96901498597103,0.904302601650896,0.656601903291249,10.4496048717229,15.1522999511257,92
581I_03_V1V3,2.9669170493567,0.917733274316112,0.693745306925973,12.1555828518388,12.6649408944889,72
596I_07_V1V3,2.95989160189331,0.908572202315338,0.659418887627546,10.9375925629209,13.4827008465033,89
595I_05_V3V5,2.95637949962677,0.888955217274224,0.643373752164523,9.00537580833036,14.5982182535696,99
595I_00_V1V3,2.94657795698732,0.886415246685134,0.668655703177957,8.80399851930764,14.7872436770106,82
585U_05_V1V3,2.94242228539653,0.903589861720383,0.624780425991664,10.372353134685,15.9823788626264,111
596I_03_V1V3,2.92984017345135,0.914555459586354,0.656045779628356,11.7034979082209,12.2581698530414,87
590U_01_V1V3,2.92967911682238,0.868191580978964,0.609838943156638,7.5867687923668,17.5554840924784,122
593U_01_V1V3,2.92780321110298,0.871997159472794,0.608414598213454,7.81232663182544,19.3225935962746,123
585U_07_V1V3,2.92004995578442,0.901100693198903,0.632713695152429,10.1112943290004,14.8579543370864,101
588I_03_V3V5,2.91408761433386,0.901332520029834,0.641404036935034,10.1350515925041,13.2744581776026,94
588I_07_V3V5,2.87742011525543,0.873697864299052,0.624823839086425,7.91752249041735,13.9867673540725,100
596I_05_V1V3,2.86738709833157,0.88387792014697,0.638810289393676,8.61162667139313,13.1913769293039,89
593U_05_V3V5,2.83440600385775,0.890876273816652,0.652516797736347,9.16390994860109,13.1604205333585,77
589I_05_V1V3,2.83213426278831,0.884687271861883,0.621917177430088,8.67206956375395,12.9989166064021,95
