2.7.8.6-RXN	EC-2.7.8.6	ENZRXN-18680	
RXN-8422	EC-4.2.3.47	ENZRXN-15934;ENZRXN-14437;ENZRXN-14435;ENZRXN-14429;ENZRXN-13667;ENZRXN-13658;ENZRXN-13597;ENZRXN-13550;ENZRXN-13343	PWY-5725
RXN-14442	EC-2.4.1.300	ENZRXN-21657	PWY-7260
PELUDP-RXN	EC-2.4.1.115	ENZRXN-12672;ENZRXN-884	PWY-7267
UDP-GLUCURONATE-5-EPIMERASE-RXN	EC-5.1.3.12		
RXN-11524		ENZRXN-17936	PWY-6539
RXN0-2044	EC-1.1.1.35	ENZRXN0-2606	PWY0-321;PWY-1361
ASPCARBTRANS-RXN	EC-2.1.3.2	ASPCARBTRANS-ENZRXN;ENZRXNQT-9625;ENZRXN66-580;ENZRXN-2823	PWY-5686
RXN-12594			
2.7.8.9-RXN	EC-2.7.8.9		
RXN-8423	EC-4.2.3	ENZRXN-13344	
RXN-14443	EC-2.3.1	ENZRXN-21677	PWY-7261
RXN-11525		ENZRXN-17937	PWY-6539
PENICILLIN-AMIDASE-RXN	EC-3.5.1.11		
UDP-GLUCURONATE-DECARBOXYLASE-RXN	EC-4.1.1.35	ENZRXN-12448;ENZRXN-12443;ENZRXN-11466;ENZRXN-11448;ENZRXN-11446;ENZRXN-11423	PWY-4821
RXN-12595	EC-1.1.1		
RXN0-2061		ENZRXN0-2621	
ASPDECARBOX-RXN	EC-4.1.1.11	ENZRXN0-4281	PWY-5155
2.7.9.3-RXN	EC-2.7.9.3	ENZRXN0-253;ENZRXN-16712;ENZRXN-16706	PWY-6281;PWY0-901
RXN-11526			PWY-6539
RXN-8424	EC-4.2.3.78	ENZRXN-13345	
RXN-14444	EC-2.3.1	ENZRXN-21676	PWY-7261
PENTALENENE-SYNTHASE-RXN	EC-4.2.3.7	ENZRXN-19597;ENZRXN-19582	PWY-6919;PWY-6915
RXN-12597	EC-1.14.13		PWY-6887
UDP-GLUCURONOSYLTRANSFERASE-RXN	EC-2.4.1.17	ENZRXN66-905	
RXN0-2101	EC-1.97.1.9	ENZRXN0-7209	
ASPULVINONE-DIMETHYLALLYLTRANSFERASE-RXN	EC-2.5.1.35		
RXN-11527	EC-4.2.3.23	ENZRXN-18426;ENZRXN-18420;ENZRXN-13610;ENZRXN-14448;ENZRXN-14449;ENZRXN-14450;ENZRXN-14451;ENZRXN-14466;ENZRXN-16527;ENZRXN-17945;ENZRXN-17946;ENZRXN-17947;ENZRXN-17948;ENZRXN-17949;ENZRXN-17950;ENZRXN-17951	PWY-6669;PWY-5733;PWY-6540
2.7.9.4-RXN	EC-2.7.9.4	ENZRXN-18820	
RXN-8425	EC-4.2.3.65	ENZRXN-13671;ENZRXN-13346	
RXN-14445	EC-2.3.1	ENZRXN-21675	PWY-7261
RXN-12598	EC-1.14.13		PWY-6887
PENTANAMIDASE-RXN	EC-3.5.1.50		
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	EC-5.1.3.7	ENZRXN-14038;ENZRXN-14032;ENZRXN-14031;ENZRXN-14030;ENZRXN-9264	PWY-5514;PWY-5512
RXN0-2161	EC-6.1.1.11	ENZRXN0-2981;ENZRXN-16715	PWY-6281;PWY0-901
ATP-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.53	ENZRXN-13111	
RXN-11529	EC-1.14.13	ENZRXN-17971;ENZRXN-17967	PWY-2582
RXN-12599	EC-1.14.13		PWY-6887
2.7.9.5-RXN	EC-2.7.9.5	ENZRXN-18822	
