#id	len	geom_mean	median	min	max
ee7eeabd-13bc-4c53-b382-6ac9e87e1ac1	611	19.5	27	1	50
d937573e-a9b9-4c8d-8fd8-67bf88060094	55	26.4	34	5	50
7c5bd110-9e45-4d67-8042-1012429df1e0	156	14.4	16.5	2	50
6afb061e-b517-43af-949f-a8503ed5594e	148	23.0	33	5	50
a04f9f89-df24-4484-a8c0-c7cf948bc508	128	24.1	34.5	4	50
e68174f2-ea55-4065-8f56-cf04e341a1f9	108	9.9	8	2	50
964e4173-3367-433c-97ec-4a0d44c8129e	143	25.5	32	4	50
85032e67-3fba-4fdf-b424-dd1e9da5e2a7	120	25.8	31	6	50
2a111cd2-106d-4c16-9ed9-5ec3312c507a	36	10.6	11.5	5	21
eaee23bd-1d36-4661-990f-ea8d8ab2a60a	11	4.1	4	3	10
9a88643c-65f4-42ea-9dee-00318d4847db	725	32.4	38	3	50
bfac69e4-d03e-4193-b3a3-d3b19b216868	288	14.4	16	4	24
39249c7c-e19d-447f-9cba-3f20e39b96e2	205	16.6	17	4	50
aea577c2-0d46-44d3-aaae-dbe8d64c8d3b	830	16.6	17	5	27
e4b45685-70c8-47e9-9f95-04635735c7bd	154	13.1	12	2	50
ccdc64ca-3a0a-4725-958f-c4e81905f151	11	13.2	13	5	26
507d78f2-e334-4b98-8c12-3e72acaaa2f8	60	29.1	33	8	45
c7f08391-d906-41c9-a8ef-c03c5616b041	120	20.5	26	3	50
68c0e136-7672-4311-b5bd-ad9caeb755a7	58	24.1	28	4	47
7c1c829c-f2d5-46c0-8cfe-8259c2b23e9c	172	24.4	28	5	50
0e80efd6-c18a-4c0d-adba-c69a6ebbb9ab	54	24.2	37.5	6	50
d1a00496-ff84-4242-a2da-74af8448e696	76	19.1	23	3	50
9bfa2d57-429f-4489-9f23-80954342f311	115	23.7	36	4	50
4eba8fda-9479-4c05-8081-926483ee44de	93	14.8	15	3	50
4c4b6bd4-6be3-4112-806c-79e45a6b6b00	131	14.9	16	2	42
606992eb-c6df-4883-8f4b-7d8ed592196e	139	31.1	38	4	50
96c6aea2-925a-4a7f-b5e2-c1f0781c9b3b	74	19.9	27	2	50
752dd9e2-5a5b-41d5-80db-84a922d1c0d9	57	29.2	37	5	50
