sample_id	total	small_molecule_metabolic_process	monosaccharide_metabolic_process	alcohol_metabolic_process	organic_acid_metabolic_process	one_carbon_metabolic_process	vitamin_metabolic_process	Entner_Doudoroff_pathway_through_6_phosphogluconate	ether_metabolic_process	urea_metabolic_process	cellular_ketone_metabolic_process	small_molecule_catabolic_process	small_molecule_biosynthetic_process	formaldehyde_metabolic_process	cellular_ketone_body_metabolic_process	nucleobase_containing_small_molecule_metabolic_process	cellular_lactam_metabolic_process	Remaining
m21231	14453496	1241.61904761905	122779.008333333	16266.6406415344	179275.691024496	14378.225	49058.2808399471	34.9166666666667	0.833333333333333	183.208333333333	5281.07716049382	4632.10172682429	14993.2511765368	36.6625	257.5	67919.2718005684	203.825	13976953.8874153
m10126	14364886	683.833333333333	122575.459027778	13361.6178075397	171547.879772817	13675.7291666667	50772.6731911376	2.66666666666667	0	140.527777777778	5394.52592592592	4209.25516663911	14792.5455293302	12.8125	127.9	63224.0228409555	184.962037037037	13904179.5892564
m32033	14268874	7398.83333333333	113328.434027778	17538.8696373457	187523.133284724	11601.0833333334	48358.2581117725	758.75	0.25	111.760416666667	11054.1952546296	6387.66607600309	15073.9022246105	308.916666666666	714.166666666667	64815.7314285102	202.018518518518	13783698.0310194
m26288	14040796	4817.11904761905	117321.688194444	16980.7701388889	184559.292164719	12426.4333333333	49700.4152921076	402	0	95.8541666666667	9212.89756944443	5479.75037657077	15491.6343011005	188.322916666666	345.4	66572.9463863169	178.137962962963	13557023.3381492
m71057	13927355	5986	127856.356944444	17083.7351851852	189742.237736366	12665.5958333334	49590.5153747795	740	0.166666666666667	336.59375	10561.0234953704	5986.85412155784	15240.8208202895	115.46875	468	63237.1142419492	147.676851851852	13427596.8402282
m21215	13925779	4353.83333333333	117243.6625	17252.2486441799	189886.905404373	13109.9180555556	55971.4777083334	317	0	183.375	7061.58101851852	5180.66101893188	16253.5258876901	119.5	321.9	67373.0425534486	109.675925925926	13431040.6929497
m33022	13898439	792.833333333333	113417.19375	13329.4217592592	181343.365402089	13844.3708333334	58564.6076697531	2.25	0	62.1666666666667	6995.52800925926	4165.93478510802	16277.6812768913	5.125	142.6	68930.9194524463	169.949074074074	13420395.0529878
m66184	13896244	1353.83333333333	114962.390972222	12908.6300925926	170688.642677809	13045.9583333334	52593.7973313492	1.08333333333334	0	95.1458333333333	5493.08634259259	3757.48552256944	15125.0507948679	6.875	111.7	65908.203345336	120.186111111111	13440071.9309762
m21086	13882181	653.166666666667	126445.686805556	12332.3752314815	165256.979278237	12504.3958333334	50352.0605864197	0.5	0	74.3125	6698.59583333334	4314.13127932099	14549.143798455	8.125	189.7	60798.126717168	226.234259259259	13427777.4662108
m21325	13870794	667.5	119389.879166667	14350.4896164021	174831.246052331	13444.4	46574.1149514991	8	0.166666666666667	53.4861111111111	5687.50555555556	4246.66753014771	14650.2744021669	11.59375	192.95	74391.2524501927	159.380555555556	13402135.0931917
m21284	13759188	575.666666666667	133410.788888889	15242.9591435185	187285.186640717	12363.1166666667	42361.4481382275	0.25	0	53.9166666666667	8938.68055555555	3995.91505387456	15629.4843655157	4.6875	99.2	69203.4654870705	142.332407407407	13269880.9018192
m32051	13692080	1842.83333333333	117642.533333333	13570.5681712963	167408.004669067	12946.6291666667	41806.9921660053	101.5	0.833333333333333	128.770833333333	5783.82229938272	4355.63713531395	13424.3329082158	53.3125	236.883333333333	63704.8788901545	106.270370370371	13248966.1975569
