SampleID	MouseID	onMetformin	isFemale	WeekOffset	SexMet	PC01_94_log_POS_3643_2._Hydroxymethyl_.3.	PC02_90_log_POS_1920_SenkyunolideH_C12H16O	PC03_90_log_NEG_6406_C4H7ClO6	PC04_82_log_NEG_2675_Alliin_C6H11NO3S	PC05_73_log_NEG_887_C10H18O5	PC06_72_log_POS_7424_C12H33N10O6P	PC07_66_log_POS_4442_C7H15NOS2	PC08_72_log_NEG_3439_C19H36O18	PC09_63_log_POS_6891_1S_4S_6S_.6.Isoprop	PC10_52_log_POS_7331_C39H91N10O7P3S
Wk1_Ctrl_F4	Ctrl.F4	FALSE	FALSE	1	F_Ctrl	-83.032840532538	-44.3767027843954	11.7564789744028	114.036457118563	-29.1424469896987	0.355625540242525	54.0330816840067	-2.38923468609798	27.3200308066605	-12.6786203300314
Wk1_Ctrl_F5	Ctrl.F5	FALSE	FALSE	1	F_Ctrl	-26.8420387862	18.3071502403853	36.7110363177537	-35.5616136177725	-64.4289202050308	-1.61720356961314	-25.9181130478648	-16.080498925263	33.4206233135003	-12.540209281072
Wk1_Ctrl_M1	Ctrl.M1	FALSE	FALSE	1	M_Ctrl	-17.7183892079997	9.86345806169008	51.1274416407403	-1.64182250839936	12.0517141817391	-4.60018093645936	-10.764428012832	22.6599174788383	15.5302851087178	48.6342247478898
Wk1_Ctrl_M2	Ctrl.M2	FALSE	FALSE	1	M_Ctrl	33.8445611493656	-87.8174089630578	33.0747596493385	-4.57816786975654	34.5183552213498	-5.02400547446564	9.62887968078564	27.7125677147523	31.0626574591702	5.44494671451675
Wk1_Ctrl_M3	Ctrl.M3	FALSE	FALSE	1	M_Ctrl	-14.4354164394965	35.7634083887272	70.3725179426834	22.6581587126153	37.316422210009	14.7127189132408	-24.0237638680561	33.4134096651288	13.0106084151471	20.7420047165556
Wk1_Ctrl_M4	Ctrl.M4	FALSE	FALSE	1	M_Ctrl	40.4100894229116	-22.0550632595089	58.7540799096147	-4.0995807971159	27.0535932868295	-1.01750459923417	-4.41801876981246	24.6488244291257	19.1392637587556	12.2452175013669
Wk1_Met_F1	Met.F1	TRUE	FALSE	1	F_Met	-8.45130840454094	-7.89036017080605	-34.2725164714229	-32.7377025764313	5.88731699825297	63.0871511355722	18.7853059214451	7.09768734164517	41.1639258380063	28.8980138416142
Wk1_Met_F2	Met.F2	TRUE	FALSE	1	F_Met	-25.1160040215381	-9.12536394795362	-46.061452354884	11.4992187724754	40.7457223272343	55.4414515041687	51.6156380749024	-8.13293418782546	31.8401089558708	24.2541971527492
Wk1_Met_F3	Met.F3	TRUE	FALSE	1	F_Met	-13.8447079645382	59.3891503839859	-7.368007528078	3.51326871197857	16.117251927714	54.2374371292528	30.7275649135959	14.7830489565844	13.5874838459187	4.3246342937439
Wk1_Met_F4	Met.F4	TRUE	FALSE	1	F_Met	-21.8579040468455	61.7076382103842	-13.5493131678102	-57.3826648317751	-36.8301412148595	1.17238163286988	44.5629581313059	23.2466982771457	25.6916523900889	-6.96976217452725
Wk1_Met_F5	Met.F5	TRUE	FALSE	1	F_Met	47.7400462072206	6.18970341834979	-6.44479904546177	-17.213990726541	10.3427297132596	48.8706080650496	37.1307893385371	15.8439958305	19.0039358034447	0.164330586960084
Wk1_Met_M1	Met.M1	TRUE	FALSE	1	M_Met	-88.0790654126718	-34.7692918110337	-31.0247938302024	-1.49435094831793	53.6693607973945	-5.71113786993638	6.78137860678093	-13.1636234837024	31.9881250853083	-7.50176265838136
Wk1_Met_M2	Met.M2	TRUE	FALSE	1	M_Met	-79.4091632258996	-29.1657255535352	-36.266851703364	-7.18784249723099	69.4509855565602	5.31662461512247	2.30483921654377	-12.8340155615849	13.5085703826128	-12.203479402986
Wk1_Met_M3	Met.M3	TRUE	FALSE	1	M_Met	22.8001296689343	44.5712277905161	-2.47511227594551	-29.1679828526418	52.9726991381094	-11.9319393557928	-8.02279789297393	-28.0632112930481	22.8123659888229	3.13681945476235
Wk1_Met_M4	Met.M4	TRUE	FALSE	1	M_Met	55.2204847503636	-5.55734453205277	0.801966534343366	-28.0091940148398	52.3498711340471	-12.0638390609009	4.08830728056237	-19.1140628320751	25.1132395646932	-6.96436706884145
Wk2_Ctrl_F1	Ctrl.F1	FALSE	FALSE	2	F_Ctrl	69.7414674906621	-51.0275996165468	17.6998305630485	3.11324663152571	3.4857606870726	21.0358649815401	11.3808859109376	-21.5265723373686	-13.0828147825346	-15.8030951967116
