sample_id	total	intracellular_non_membrane_bounded_organelle	kinetochore	chromosome	nucleolus	lipid_droplet	centriole	spindle	ribosome	cytoskeleton	chromocenter	gas_vesicle	bacterial_microcompartment	proteasome_storage_granule	ribonucleoprotein_granule	nematocyst	mitochondrial_nucleoid	plastid_nucleoid	contractile_fiber	bacterial_nucleoid	dynein_axonemal_particle	protein_aggregate_center	encapsulin_nanocompartment	Remaining
0159_AA34_42423_20190503_ST	1225186	0	0	5162.5	4.75	0	5	0	9801.56666666667	2.16666666666667	0	0	795.5	0	3	0	0	0	0	8.5	0	0	0	1209403.01666667
0159_AZ03_32055_20190830_STHS	1201025	0	0	5579.91666666667	4	10.6666666666667	33.5	0	14268.7166666667	41.8333333333333	0	0	301	0	1.5	0	0.875	0	0	62	0	0.333333333333333	0	1180720.65833333
0159_AA34_42236_20181116_ST	1194742	0	0.875	3437.58333333333	11.95	0	0.5	1.75	10475.7833333333	23.0333333333334	0	7	570	0	3	0	4.25	0	0	25.875	0	0	0	1180180.4
0159_AB18_26471_20190911_ST	1192753	0	0	3617.75	1.75	2	95.5	0.5	12403.1833333333	21.75	0	0	261.5	0	0	0	1	0	0	29.125	0	0	1	1176317.94166667
0159_AN38_59050_20181119_ST	1182602	0	0	3393.16666666667	1.25	0	15.5	0	12039.75	18.3333333333333	0	0	598	0	0	0	2	0.25	0	28.25	0	0	0	1166505.5
0159_BE31_82033_20191106_ST	1174569	0	0	4372.83333333333	1.5	2	33.5	0.5	12258.5833333333	50.4166666666666	0	0	232	0	0.5	1	0.625	0	0	35.5	0	0	0	1157580.04166667
0159_AV42_66207_20190915_ST	1174448	0	0	3894.5	2	0	27.5	0	12731	75.6666666666666	0	0	832.5	0	3	0	0.75	0	0	56.25	0	0	0	1156824.83333333
0159_AB10_26098_20180626_ST	1169901	0	0	2292.41666666667	0	0	11	0	11157.3166666667	21.3333333333333	0	0	367.5	0	0	0	0.5	0	0	16	0	0	0	1156034.93333333
0159_AY44_33271_20191119_ST	1167268	0	0	5420	2	0	112.5	0.333333333333333	14627.8333333333	48	0	0	509.5	0	0	0	0.125	0	0	55.5	0	0.25	0	1146491.95833333
0159_AB18_26436_20191018_ST	1162795	0	0	5458.16666666667	0.333333333333333	0.333333333333333	2.5	0	13339.25	185.666666666666	0	0	468.5	0	0	0	0.375	0	0	63.75	0	0	0	1143276.125
0159_AJ09_750030_20190922_ST	1159288	0	0	5024.66666666667	0	1	85	0	14014.7833333333	46.0833333333333	0	0	247.5	0	0	0	0.25	1.5	0	49	0	0	0	1139818.21666667
0159_AA34_42295_20181127_ST	1156205	0	0.375	4663.66666666667	0	0	0	0.75	9422.66666666667	6	0	0	437	0	0	0	0	0	0	3.25	0	0	0	1141671.29166667
0159_AY44_33281_20191203_ST	1151585	0	0	3471.5	1	6.5	194.5	0.2	12636.1166666667	19.5	0	0	227.5	0	0	0	1	0	0	27	0	0	0	1135000.18333333
0159_AQ22_10435_20191009_ST	1150998	0	0	3444.83333333333	0	0	27	0	7856.5	13	0	0	222	0	0.5	0	0	0	0	3.75	0	0	3	1139427.41666667
0159_AB10_26721_20201210_ST	1142654	0	0	5389.33333333333	2	1	27	0.25	12593.8333333333	36.6666666666667	0	0	288.5	0	0	0	7.25	0	0	45.5	0	0	0	1124262.66666667
0159_AK37_71069_20190718_ST	1128552	0	0.75	4800.58333333333	0.85	2	28.5	1.5	13724.75	73.0833333333334	0	0	453.5	0	2.5	0	3.125	0	0	54.25	0	0	0	1109406.60833333
0159_AB18_102750_20191024_ST	1119710	0	0	3504.75	4.2	0	23.5	0	11426.7	23	0	0	503.5	0	0	0	0.75	0	0	41.625	0	0	0	1104181.975
0159_AQ29_10072_20180330_ST	1116795	0	0	4924.33333333333	0	0	55.5	0	10593.1666666667	2.33333333333333	0	0	182	0	0	0	1.01666666666667	0	0	11	0	0	0	1101025.65
0159_AA34_42492_20191121_ST	1114648	0	0	8958.66666666667	8.75	0	1.5	0	9165.66666666667	232.666666666667	0	0	1757	0	11.5	0	0	0	0	55.25	0	0	0	1094457
0159_AB10_26213_20181121_ST	1113117	0	0	3693	0.45	3	6.5	0	12012.3666666667	36.3333333333333	0	0	351	0	1	0	0	0	0	35.5	0	0	0	1096977.85
0159_AB10_26036_20180417_ST	1110092	0	0.25	4513.33333333333	0.5	0.5	162.5	0.5	13462.25	31.4166666666666	0	0	671.5	0	4	0	3.75	0	0	52	0	0	0	1091189.5
0159_AB10_26364_20190311_ST	1106363	0	0	2954.75	1	0	33.5	0	11372.5833333333	16	0	0	259	0	0	12	0.5	0.5	0	23.875	0	0	0	1091689.29166667
0159_BE31_82028_20191226_ST	1090547	0	0	3769.33333333333	3	1	90	0.333333333333333	11049.0833333333	34.75	0	0	348.5	0	3.5	0	0.625	0.25	0	27.875	0	0	0	1075218.75
0159_AY44_33026_20171014_ST	1082178	0	0	4296.75	2.6	0	41	0	12814.6666666667	22.75	0	1.5	300	0	0	3	0.5	1.5	0	46.125	0	0.25	0	1064647.35833333
0159_AB10_100722_20190318_ST	1081854	0	0	5429.75	2.95	3	64	0	13050.5	59.4166666666667	0	0	302	0	0.5	4	0.5	0	0	61.0833333333335	0	0.2	0	1062876.1
0159_AB10_26151_20180725_ST	1072273	0	0	3629.16666666667	1.4	0	54.5	0	11393.2333333333	39.3333333333333	0	0	232	0	0	1	0.625	0	0	38.5	0	0	0	1056883.24166667
0159_AQ29_10047_20180102_ST	1069681	0	0.125	2877.5	2.5	0	24.5	0.25	7755.58333333333	9	0	0	329	0	7.5	0	0	0	0	10.75	0	0	0	1058664.29166667
0159_AQ29_10093_20180612_ST	1067344	0	0	3329.66666666667	0.5	0	29	0	8850.91666666667	6.66666666666667	0	0	376.5	0	0.5	0	0	0	0	9.75	0	0	1	1054739.5
0159_AA34_42157_20180706_ST	1062387	0	0.25	3153.83333333333	1.6	0	22	0.5	10599.55	29.3333333333333	0	0	350	0	0	3	0.5	0	0	25.75	0	0	0	1048200.68333333
0159_AB10_26296_20190103_ST	1059952	0	0	3979.66666666667	3.66666666666667	1.5	65	0.9	12312.4166666667	31.9166666666667	0	0	356	0	0	0	0.5	0	0	42.75	0	0	0	1043157.68333333
0159_AB10_26080_20180706_ST	1054698	0	0	2939.25	3.5	4.5	21	0	11447.3333333333	16.75	0	0	268.5	0	4	0	8	0	0	24.625	0	0	0	1039960.54166667
0159_AB10_26064_20180516_ST	1049055	0.5	0.125	4151.66666666667	4.35	0	89.5	0.25	11971.2666666667	39.0833333333333	0	0	493.5	0	0.5	0.5	1.125	0	0	44.75	0	0	1	1032256.88333333
0159_AZ03_32054_20190917_STHS	1048185	0	0.125	4166.66666666667	3.34285714285714	1.5	90.5	0.5	11531.9	40.8333333333334	0	0	427	0	0.5	0	0.25	0	0	37.75	0	0	0	1031884.13214286
0159_AA34_42504_20191031_ST	1044715	0	0	5503.5	0	1	53	0	9756.78333333333	3.33333333333334	0	0	168	0	0	0	0	0	0	19.5	0	0	0	1029209.88333333
0159_AK37_71026_20180902_ST	1039966	0	0	3701.33333333333	5.58333333333333	0.833333333333333	31.5	1.5	10646.5	84.5	0	0	814	0	11	0	0.625	0	0	44	0	0	0	1024624.625
0159_AB10_103281_20180518_ST	1036988	0	0.458333333333333	4209.16666666667	0.2	1	43.5	0.25	11221.05	35.9166666666666	0	0	437.5	0	0.5	0	0	0	0	38.25	0	0	0	1021000.20833333
0159_AQ29_10142_20190319_ST	1035122	1.33333333333333	0.833333333333335	3971.33333333333	41.3333333333333	0	6	0	8942.65	16.6666666666667	0	0	97	0	0	0	5.25	0	0	11.75	0	0	0	1022027.85
0159_AB18_26832_20210112_ST	1023234	0	0	4210.66666666667	0.5	1.5	2.5	0	11797.1166666667	16.3333333333333	0	0	1195	0	0	1	0	0	0	57	0	0	0	1005952.38333333
0159_AQ29_10088_20180605_ST	1019757	0	0	4678.66666666667	0	0	120.5	0	9128.25	37	0	0	331.5	0	0	0	0	0	0	10.25	0	0	0	1005450.83333333
0159_AA34_42441_20190629_ST	1017772	0	0	3768.66666666667	1	1	30.5	0	8189.75	21.3333333333334	0	0	299	0	0	0	0	0	0	6.75	0	0	0	1005454
0159_AQ29_10084_20180505_ST	1009709	0	0	3239.33333333333	2.25	0	78	0	8944.41666666667	2.66666666666667	0	0	302	0	4	0	1.5	0	0	7.75	0	0	0	997127.083333333
0159_BE31_82031_20200116_ST	1002626	0	0	2382.25	1.55	0.5	0.5	0	8798.98333333333	20.3333333333333	0	0	411.5	0	1	7	2.5	0.5	0	26.125	0	0	0	990973.258333333
0159_AB10_30135_20181217_ST	1001224	4	0.171428571428572	3401.56666666667	89.6666666666667	0	34	0.783333333333333	11130.5833333333	52.6666666666667	0	0	274	0	1.16666666666667	7	0.25	0.5	0	25.625	0	0	0	986202.020238095
0159_AK37_71064_20190705_ST	989348	0	0.125	2985.16666666667	4.65	0.5	84.5	0.25	10919.8	16.3333333333333	0	0	736.5	0	2.5	1	2.5	0	0	48.75	0	0	3	974542.425
0159_AK37_71070_20190824_ST	981917	0	0	3338.66666666667	1.5	0	12.5	0	10637.4166666667	21	0	0	365	0	0.5	0	0.5	0	0	37.25	0	0	0	967502.666666666
0159_AJ09_750060_20191112_ST	981649	0	0.5	2814.66666666667	0.2	0	71.5	1	10100.9	22.5	0	0	449	0	0	0	0	0	0	27.5	0	0	0	968161.233333333
0159_AV42_66154_20190902_ST	980290	0	0.25	3517.5	0	0.5	0.5	1.16666666666667	9801.75	25	0	0	539	0	0	0	2	0	0	34.75	0	0	0	966367.583333334
0159_AB18_101695_20191018_ST	979133.000000001	0	0	3298.25	2.2	10	41	0	11147.6	24.4166666666666	0	0	303.5	0	0	0	1	0.5	0	43	0	0	0	964261.533333334
0159_AQ29_10057_20180226_ST	972935	0	0.375	3990	5	0	17	0.75	7811.41666666667	10.3333333333333	0	0	602	0	6.5	0	0	0	0	21.5	0	0	0	960470.125
0159_AP39_21037_20171123_ST	970983	0	0	2403.66666666667	1.25	0	35	0.333333333333333	8740.75	23	0	0	382	0	0	0	1.375	0	0	16.75	0	0	0	959378.875
0159_AB10_26303_20190125_ST	970690.999999999	0	0	3354	1	1	33.5	0	11019.95	31.3333333333333	0	0	202	0	0.5	0	0	0	0	40.25	0	0	0	956007.466666666
0159_AA34_42122_20180605_ST	947399	0	0	3841.83333333333	0.75	0	0	0	9831.91666666667	45	0	0	427.5	0	0.5	0	0	0	0	34.25	0	0	0	933217.25
0159_AV42_66140_20190602_ST	946294	0	0.125	3939.16666666667	3.2	0	35.5	0.25	10016.45	43.3333333333333	0	0	301	0	0.5	0	0.5	0	0	43.75	0	0	0	931910.225
0159_AP39_21099_20171122_ST	945091	0	0.5	3817.5	0.75	0	31	0.333333333333333	9359	48.6666666666667	0	0	215.5	0	0.75	0	0.125	0	0	38.75	0	0	0	931578.125
