sample_id	total	phosphate_containing_compound_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	phosphorylation	dephosphorylation	glucose_1_phosphate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	X7_8_dihydroneopterin_3__triphosphate_biosynthetic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_AZ03_32055_20190830_STHS	1203916	364.616666666667	868.166666666667	1.5	29.1111111111111	1087.33090277778	8277.26120505095	48979.4378306879	1366.2875	0	175.055555555556	85.5092163923183	775.029725447449	121.611111111111	28.9583333333333	154.648148148148	13.9097222222222	38.8166666666667	13.1527777777778	118.5	21.9444444444444	160.025925925926	67.0277777777778	12.5555555555556	23.3333333333333	3.22222222222222	0.500000000000001	0	1141128.48760113
0159_AY44_33271_20191119_ST	1202783	207.083333333333	806.444444444443	7	16.4444444444444	1145.04976851852	8974.09369170096	48772.7946428572	1370.95	0	186.326388888889	74.3684413580246	839.976000085734	131.666666666667	30.5416666666667	159.925925925926	10.8472222222222	49.95	14.6962962962963	102.444444444444	18.5277777777778	278.531481481482	73.4814814814814	11.1111111111111	22.5925925925926	1.33333333333333	2.09259259259259	0	1139474.72625178
0159_AB10_26721_20201210_ST	1199466	209.25	807	5.66666666666667	9.77777777777778	1145.87268518519	8685.85845621856	50637.5600308642	1344.34166666667	0	197.180555555556	70.7065757887517	824.548330332648	91.7777777777777	32.5	189.87037037037	20.0277777777778	36.4833333333333	6.28703703703705	90.6111111111112	17.5833333333333	166.072222222222	79.8148148148148	10.462962962963	21.6666666666667	2	0	0	1134763.07984754
0159_AB18_26436_20191018_ST	1195515	330	880	12.9444444444444	22.2222222222222	1105.11550925926	8400.20154692501	50162.6482804233	1139.99166666667	0	155.472222222222	67.2929955418381	825.763719135802	119.666666666667	20.7916666666667	161.425925925926	10.7361111111111	80.2666666666667	13.4074074074074	93.8611111111112	22.6111111111111	143.85	66.6666666666667	10.8888888888889	30.2407407407408	2.61111111111111	0	0	1131636.32331909
0159_AB18_26471_20190911_ST	1190330	211.7	789.333333333333	2	4.77777777777778	979.176967592593	7475.97904949703	55442.8702380952	941.833333333334	0	164.938888888889	60.2249657064472	704.32879372428	85.5	36	146.592592592592	8.69444444444444	23.7111111111111	21.6092592592593	162.861111111111	30.7888888888889	237.766666666667	70.2685185185185	8.22222222222222	8.7037037037037	4.25925925925926	0.259259259259259	0	1122707.59961501
0159_AA34_42504_20191031_ST	1179662	283.416666666667	1095.33333333333	0.333333333333333	20.5555555555556	1128.47202380952	9297.99161522634	40241.2992724867	1421.36666666667	0	177.777777777777	81.1087962962963	885.008326903292	123.833333333333	38	181.953703703703	11.0625	54.8333333333333	14.5	122.388888888889	25.4444444444444	228.962962962963	77.4814814814814	10.2222222222222	28.7407407407408	1.61111111111111	0.518518518518518	0	1124109.7833912
0159_AV42_66207_20190915_ST	1178818	170.283333333333	759	4.66666666666667	8.66666666666667	907.629778439154	7249.38260737148	47514.794973545	1010.02083333333	0	140.125	73.9535322359396	697.340104105428	89.5	22.0416666666667	125.555555555556	7.42361111111111	39.9	15.5509259259259	120.111111111111	15.6666666666667	170.194444444445	49.2222222222222	6.7962962962963	18.9259259259259	0.666666666666667	5.09259259259259	0	1119595.48881912
0159_AN38_59050_20181119_ST	1175637	105.75	938.333333333333	3	12.1111111111111	980.034027777778	7434.97193958619	53989.2394179894	1035.70833333333	0	142.297222222223	62.2865655006858	691.279311556927	96.8333333333333	35.7083333333333	145.731481481481	5.4375	31.15	18.7777777777778	163.638888888889	20.5277777777778	144.301851851852	71.1388888888889	10.0185185185185	14.7962962962963	0.777777777777778	0	0	1109483.15031166
0159_BE31_82033_20191106_ST	1175014	128.2	907.666666666667	2.83333333333333	11.5555555555556	1016.82361111111	7711.5720879058	51951.2497354498	1304.175	0	160.791666666667	58.6071673525377	720.068621399177	98.111111111111	30.3	167.018518518519	8.18055555555555	47.7444444444443	15.7314814814815	139.833333333333	26	143.325925925926	71.7407407407408	6.98148148148148	17.0555555555556	3.44444444444444	0	0	1110264.98896197
0159_AB10_26036_20180417_ST	1175006	115.283333333333	897.333333333333	8.33333333333333	20.1111111111111	1247.25200066137	8352.27152377686	49182.1697751323	780.666666666666	0	169.777777777777	56.2690757887516	810.905093878601	144.833333333333	28.0833333333333	153.157407407408	12.0069444444444	62.725	14.6296296296296	103.25	23.1388888888889	286.140740740741	51.8888888888889	21.7037037037037	27.6851851851852	1.88888888888889	0	0	1112434.49503076
0159_AQ29_10088_20180605_ST	1173112	206.75	978	3.33333333333333	10	1140.37579365079	9200.54944558756	39814.3891534391	987.8	0	175.394841269842	69.1542352537723	893.773461076818	125.777777777778	38.1666666666667	184.425925925926	15.6805555555556	68.8166666666667	13.5185185185185	102.361111111111	27.3333333333333	210.564814814815	90.8148148148148	14.8888888888889	22.5185185185186	4.77777777777778	0	0	1118712.83436602
0159_AJ09_750030_20190922_ST	1168566	160.533333333333	907.555555555557	2.66666666666667	8.22222222222222	1114.93657407407	8200.00413237311	49137.0137566138	1380.81666666667	0	179.669444444444	77.1049382716049	762.579801097394	115.166666666667	30.75	167.666666666667	9.5625	52.1555555555557	14.7407407407407	125.458333333333	22.0555555555556	182.751851851852	68.4074074074074	9.14814814814814	22.4444444444444	1.83333333333333	0.888888888888889	0	1105811.86681609
0159_AQ29_10093_20180612_ST	1165687	87.1666666666667	955	5.66666666666667	4.44444444444444	943.512962962963	7746.77242798354	44504.2667989418	905.575	0	145.013888888889	64.1257716049383	736.44632201646	115.611111111111	33	154.444444444444	7.56944444444444	33.1333333333333	22.2222222222222	167.888888888888	37.7222222222222	170.624074074074	77.5092592592592	6.62962962962963	9.61111111111111	4.61111111111111	0	0	1108748.43219797
0159_AK37_71069_20190718_ST	1155913	270.366666666667	773.25	12	28.5555555555556	958.937516534392	7984.25106738683	47361.3550925926	1237.09166666667	0	154.160714285714	73.8346193415638	771.410954646776	94.8333333333333	86.7291666666668	159.453703703703	10.7361111111111	45.35	16.8833333333333	105.583333333333	18.3333333333333	174.462962962963	59.9907407407408	7.03703703703703	18.3888888888889	4.83333333333333	6.75925925925926	0	1095478.41160929
0159_AY44_33281_20191203_ST	1136252	122.7	730.166666666667	2.16666666666667	7.77777777777778	1033.46574074074	7605.89920696159	50374.2298280423	947.575	0	170.301388888889	70.9664780521262	699.003947330818	115.333333333333	32.6666666666667	129.814814814814	7.30555555555555	26.3055555555556	17.9166666666667	132.055555555555	16.75	217.675925925926	58.2962962962963	5.7962962962963	12.2222222222222	2.22222222222222	0	0.166666666666667	1073713.21952109
0159_AQ29_10084_20180505_ST	1134646	69.4166666666667	889.444444444443	0.833333333333333	4.22222222222222	974.144890873016	7839.29416233915	43378.5138888889	1183.8	0	165.277777777777	60.7209300901431	751.585986796982	95.8333333333333	55.875	157.990740740741	12.8194444444444	30.4944444444444	21.9074074074074	138.083333333333	27.3888888888889	209.6	84.1111111111111	5.22222222222222	11.4074074074074	4	0	0	1078474.01236323
0159_AB10_26098_20180626_ST	1128908	45.2	843.333333333333	2.66666666666667	4.66666666666667	856.426388888889	6371.43884773662	56609.7944444444	934.041666666667	0	127.097222222222	58.289866255144	582.973507373114	80	32.1666666666667	129.925925925926	5.19444444444444	19.6166666666667	25.5648148148148	169.333333333333	31.6666666666667	116.724074074074	65.4814814814814	5.11111111111111	5.38888888888889	2.72222222222222	0	0	1061783.17509345
0159_AB18_102750_20191024_ST	1126562	184.5	672.666666666667	2.33333333333333	19.2222222222222	866.487268518518	7255.12633887746	51086.6671296296	1218.94166666667	0	148.597222222222	113.301783264746	658.13152649177	88.7222222222223	38.2291666666667	148.962962962963	10.9930555555556	34.2666666666667	20.3425925925926	126.222222222222	31.6111111111111	104.082407407407	63	8.72222222222222	20.8333333333333	12.0555555555556	0	0	1063627.98132359
0159_AQ29_10047_20180102_ST	1123443	67.1666666666667	892.333333333333	5.5	5.66666666666667	824.383746693121	6862.67504490822	41086.1468253968	954.841666666667	0	120.902777777778	58.3606456986086	656.762782921811	94.3333333333333	38.6041666666667	139.277777777778	6.89583333333333	41.1333333333333	27	184.888888888888	29.5	240.85	55.6203703703703	2.7037037037037	14.1481481481481	4.66666666666667	0	0	1071028.63762105
0159_AA34_42441_20190629_ST	1116678	99.75	903.333333333333	4.16666666666667	5	913.888888888889	7427.4582497428	37795.3018849207	1181.575	0	144.027777777777	57.6199845679012	704.639773019547	120.833333333333	26.5625	154.055555555556	9.03472222222222	36.8111111111111	19.1018518518518	145.388888888889	31.8333333333333	162.657407407407	74.8518518518519	6.37037037037037	21.2407407407408	6.61111111111111	0	0	1066625.88566331
0159_AB10_26364_20190311_ST	1101448	102.75	774.333333333333	1.66666666666667	5.11111111111111	951.106481481481	6535.48996799268	51443.4208333333	1139.04166666667	0	142.898611111111	55.3610682441701	600.721829132373	84.5	36.4375	145.111111111111	5.31944444444444	25.2277777777778	22.4814814814815	156.972222222222	25.8333333333333	134.994444444445	68.8148148148148	6.77777777777778	10.2037037037037	4.38888888888889	0	0	1038969.03593093
0159_BE31_82028_20191226_ST	1100482	109.833333333333	756.416666666667	6.5	6.44444444444444	965.994361772487	7107.32269604481	46734.8103174603	1074.25416666667	0	153.232738095238	60.5278635116598	660.937458847736	90.8333333333333	34.9583333333333	158.564814814814	7.78472222222222	39.7666666666667	19.5416666666667	130.055555555555	23	196.2	58.3703703703703	5.44444444444444	14.4814814814814	4.77777777777778	0	0	1042061.94678649
0159_AB10_100722_20190318_ST	1094546	382.616666666667	754.666666666667	5.16666666666667	21	1046.46889880952	7620.18675031844	44045.1723544974	1238.22083333333	0	155.919444444444	63.3528255437977	723.567998971193	116.166666666667	25.375	134.25	10.2708333333333	35.8788888888889	11.1064814814815	87.1666666666667	12.5555555555556	169.212962962963	59.5	11.3333333333333	19.3703703703703	2.38888888888889	0.500000000000001	0	1037794.58524593
0159_AB10_26213_20181121_ST	1089182	224.283333333333	679.666666666667	8.16666666666667	10.8888888888889	808.632060185185	6715.48220107453	46215.4417989418	1327.65	0	128.055555555556	51.9880829903978	623.301930727023	93.1666666666667	23.6458333333333	118.138888888889	7.22222222222222	15.0380952380952	17.5833333333333	127.277777777778	16.6111111111111	183.409259259259	46.8518518518519	7.03703703703703	19.462962962963	4.38888888888889	0	0	1031708.6088864
0159_AQ29_10057_20180226_ST	1088791	159.916666666667	769.666666666667	5.66666666666667	9.11111111111111	850.969163359788	7591.26733008361	34967.8985449735	969.15	0	133.680555555556	60.7266987556339	736.366353737997	104.611111111111	24.2291666666667	146.388888888889	7.66666666666667	52.488888888889	17.9537037037037	136.472222222222	30.8333333333333	212.672222222222	58.1851851851852	11.5092592592592	18.8333333333333	5.94444444444444	0	0	1041708.7918165
0159_AY44_33026_20171014_ST	1084742	257.85	787	5.16666666666667	16.8888888888889	901.689120370369	7753.89977409122	45742.9046296296	1025.3625	0	162.3125	106.749292695473	718.991193415638	119.166666666667	33.7916666666667	135.685185185186	8.63888888888889	29.35	16.9601851851852	111.75	20.8444444444444	155.916666666667	59.3148148148148	4.48148148148148	9.66666666666667	5.27777777777778	0.203703703703704	0	1026552.13728609
0159_AZ03_32054_20190917_STHS	1074438	158.066666666667	800.333333333333	6.16666666666667	8.55555555555555	977.658217592593	7140.53431625188	49285.7706349206	1288.12083333333	0	154.655555555556	68.5421688222614	658.990653659612	92	27.2916666666667	155.37962962963	11.5555555555556	52.6555555555554	11.1898148148148	94.4166666666667	25.2777777777778	150.244444444444	58.037037037037	5.96296296296297	20.3518518518519	1.27777777777778	0	0	1013184.9646569
0159_AB10_26296_20190103_ST	1070070	198.466666666667	734.333333333333	5.5	13.5185185185185	958.310416666667	6989.47305175877	46299.0406084656	1132.29583333333	0	143.763888888889	58.8369804526749	668.819520257691	100.111111111111	22.4583333333333	118.481481481481	7.60416666666667	45.2166666666667	16.7453703703704	102.777777777778	27.0833333333333	163.787037037037	56.9074074074074	8.51851851851852	15.0185185185186	2.66666666666667	1.07407407407407	0	1012179.19071869
0159_AB18_26832_20210112_ST	1070000	223.083333333333	675	4	12.8888888888889	984.02662037037	6886.29465363511	46556.8902777778	1055.48333333333	0	131.798611111111	46.0868055555555	675.430971793553	74.8333333333333	24.8958333333333	173.981481481481	14.4305555555556	99.4	13.9555555555556	102.027777777778	22.7333333333333	134.703703703704	50	19.8333333333333	41.0740740740741	4.55555555555556	0.370370370370371	0	1011972.22159679
