sample_id	total	transmembrane_transporter_activity	amine_transmembrane_transporter_activity	organic_acid_transmembrane_transporter_activity	ion_transmembrane_transporter_activity	carbohydrate_transmembrane_transporter_activity	polyamine_transmembrane_transporter_activity	nucleobase_transmembrane_transporter_activity	heme_transmembrane_transporter_activity	inorganic_molecular_entity_transmembrane_transporter_activity	siderophore_transmembrane_transporter_activity	efflux_transmembrane_transporter_activity	organophosphate_ester_transmembrane_transporter_activity	nucleobase_containing_compound_transmembrane_transporter_activity	oxidative_phosphorylation_uncoupler_activity	toxin_transmembrane_transporter_activity	passive_transmembrane_transporter_activity	active_transmembrane_transporter_activity	macromolecule_transmembrane_transporter_activity	amide_transmembrane_transporter_activity	xenobiotic_transmembrane_transporter_activity	modified_amino_acid_transmembrane_transporter_activity	auxin_transmembrane_transporter_activity	vitamin_transmembrane_transporter_activity	azole_transmembrane_transporter_activity	carbohydrate_derivative_transmembrane_transporter_activity	poly_beta_1_6_N_acetyl_D_glucosamine_transmembrane_transporter_activity	organic_hydroxy_compound_transmembrane_transporter_activity	sulfur_compound_transmembrane_transporter_activity	Remaining
0159_AB18_26646_20200815_ST	9479385	246464.633333333	347.11111111111	17069.0902777778	103736.609937169	28148.9006944444	520.583333333333	13237.4166666667	2402.25	47070.0997519842	7140	67529.9083333333	205.28587962963	2508.89791666667	0	143.333333333333	26119.1965277778	146709.750777116	9784.13888888889	11227.0944444444	35910.5111111111	371.083333333333	0	2082.49444444445	170.083333333333	3581.78101851852	336	2813.57777777778	1308.4376984127	8702446.73007606
0159_AV42_66147_20190812_ST	9477955	217272.016666667	103.111111111111	12793.1576388889	94954.275	16676.9173611111	330.625	12650	586.183333333333	44615.1196759259	5799	66321.1666666667	32.8807870370371	2648.94375	0	61.3333333333333	23206.0833333333	133676.190740741	11657.7326388889	11338.6888888889	33028.0472222222	249.125	0	1466.75833333333	115.25	3491.75509259259	106.5	1313.59444444444	1244.32083333333	8782216.22314815
0159_AY44_33005_20170925_ST	9469968	230381.116666667	109.444444444444	14581.2673611111	103171.17541336	19062.9645833333	514.944444444443	10565.3333333333	1419.16666666666	48074.0700562169	8045.66666666667	79876.6583333333	24.7280092592592	2056.88541666667	0	284.333333333333	29296.6534722223	140328.505555556	10141.7569444444	10614.5055555556	38403.125	371.388888888888	0	2028.03333333333	102.5	2963.40509259259	13.5	2036.07222222222	1607.17916666667	8713893.62003968
0159_AZ03_32076_20190429_ST	9467921	197899.328571429	183.333333333333	15178.4745833333	90809.7001851852	15038.7791666667	524	9199.33333333333	206.5	47259.3700231482	4754.16666666667	60640.5	22.7222222222222	1947	0	157	16927.0923611111	148166.15787037	9203.71666666667	8500.20555555556	40794.8888888889	206.666666666667	0	2500.48333333333	228	2701.05555555556	0	1039.5	1218.07638888889	8792614.94862765
0159_AB18_26663_20200725_ST	9411067	194002	155.666666666667	17610.30375	96447.8902314815	18532.7611111111	625.13888888889	13095.75	790.833333333333	49460.3902777778	4796.5	38760.1666666666	0.981481481481481	1118.13333333334	0	65	19591.9513888889	175222.837384259	6804.84722222222	8423.45277777778	45506.1888888889	310.013888888888	0	3189.57777777778	285.958333333333	1664.33703703704	1	1429.44444444444	1144.69583333333	8712031.17928241
0159_AP39_21213_20180420_ST_E21	9357969	183923.516666667	97.6666666666667	20949.6583333333	93437.0335648148	11032.7847222222	710.98611111111	15951.5833333333	138.166666666667	54090.3445601852	1775.16666666667	33863	13.5833333333333	997.583333333333	0	24.5	14084.4493055556	167595.333962912	5353.33867521367	6462.81111111111	44066.3277777777	208.75	0	3560.2	433.75	1445.75	0	1502.91666666667	1727.74166666667	8694522.05687576
0159_AB18_106054_20190207_ST	9355166	214636.666666667	106	16011.3701388889	94340.6203703704	14580.8055555555	542.194444444443	9277.66666666667	376	47982.7032407408	5032.33333333333	66695.6666666667	67.3125	1839.47083333333	0	150	22025.9861111111	147683.086954365	9220.81944444444	9308.96388888889	38863.6388888889	322.375	0	2288.575	214.5	2686.61666666667	0	1512.08333333333	1423.91527777778	8647976.62901786
0159_AB10_26786_20210216_ST	9351919	173413.092857143	114.333333333333	19120.1284722222	90247.2045634921	11244.0597222222	648.631944444443	14162.25	473.75	54019.2420965608	1753.66666666666	29182.6666666667	108.37037037037	1181.66666666667	0	93.5	15526.2111111111	161269.507919973	5850.90833333333	5735.36944444444	41375.3666666666	142.069444444444	0	3244.52222222222	488.791666666667	1936.20925925926	11.5	923.083333333333	1739.69583333333	8717913.20140542
0159_AA34_42470_20190830_ST	9326231	192218.25	43	18305.3777777778	94117.9659722222	16829.3263888889	404.145833333333	12726.1666666667	437.333333333333	49190.9638888889	3259.83333333333	46162.8333333333	37.6666666666667	1722.43333333333	0	73	19764.2916666667	159109.980555556	9494.49999999999	8260.05833333333	40903.5333333333	235.791666666667	0	2671.05833333333	231.75	2371.07222222222	42	1748.41666666667	1468.90555555556	8644401.34513889
0159_AA34_42406_20190430_ST	9313342	271335.366666667	109.777777777778	11969.0870833333	110159.089140212	16638.1881944444	533.618055555557	9936	1022.83333333333	48175.8526951058	5772.83333333333	100932.458333333	98.5625	3043	0	119.333333333333	30954.8659722223	126299.456200397	11346.8611111111	16712.325	32869.0833333334	709.541666666667	0	2252.10277777778	81.3333333333333	4010.09027777778	59.5	2774.15	1264.65138888889	8504162.03849206
0159_AB10_101848_20181004_ST	9187348	215556.35	122.666666666667	13166.7902777778	100033.871875	17955.2847222222	596.01388888889	11374.3333333333	506.5	45283.4769675926	4309.66666666666	70254.5	0.37037037037037	2364.475	0	124	24206.4479166667	146392.030555556	10231.875	14524.5888888889	39729.9722222222	509.666666666667	0	2828.61666666667	138.25	3324.26203703704	0	1931.25	1170.075	8460712.66527778
0159_AB18_26705_20191018_ST	9187054	221384.483333333	199.555555555556	21933.5576388889	97701.3674768518	19486.6291666667	604.67361111111	20125	798.15	54771.5346560847	4620.33333333333	25738.65	94.9236111111111	1985.41666666667	0	495.333333333333	31613.5652777778	168094.361507937	6109.5	6194.91111111112	45692.2166666667	227.194444444445	0	3546.43888888889	234.416666666667	3167.00694444444	804	1507.5	2651.21964285714	8447272.06046627
