sample_id	total	carbohydrate_derivative_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	aminoglycan_metabolic_process	amino_sugar_metabolic_process	pentose_phosphate_shunt__non_oxidative_branch	glycoprotein_metabolic_process	nucleotide_sugar_metabolic_process	deoxyribonucleotide_metabolic_process	glucose_1_phosphate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	vancomycin_metabolic_process	teichoic_acid_metabolic_process	colanic_acid_metabolic_process	enterobacterial_common_antigen_metabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	amino_disaccharide_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	protein_O_GlcNAcylation_via_threonine	carbohydrate_derivative_catabolic_process	carbohydrate_derivative_biosynthetic_process	lipooligosaccharide_metabolic_process	glycosyl_compound_metabolic_process	X6_sulfoquinovose_1___metabolic_process	liposaccharide_metabolic_process	ATP_generation_from_poly_ADP_D_ribose	amylopectin_metabolic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	Remaining
0159_AA34_42200_20180817_ST	71005	77	44.3333333333333	0.333333333333333	170.872800925926	99.9923611111111	5	4.11458333333333	98.0430555555556	15.9367283950617	0	10.2361111111111	5.71707818930041	47.4336548353909	7.66666666666667	0	4.3125	0	0.5	10.0555555555556	2.38888888888889	12.6259259259259	0	4.11111111111111	0	27.0561535493827	116.566415895062	10.0916666666667	98.9253472222222	0	16.0641589506173	0	0	0.925925925925926	0.444444444444444	70114.2521990741
0159_BD46_77007_20191005_ST	70538	170.5	50	0	185.908217592593	110.934722222222	2	3.16666666666667	83.4953703703704	14.1370241769547	0	10.0833333333333	4.46171982167352	45.0228815157751	4.33333333333333	0.0416666666666666	7.52083333333334	0	0.75	6.97222222222222	2.38888888888889	10.2333333333333	0	3.7037037037037	0	29.1750578703704	101.293698559671	5.16666666666667	59.6280864197531	0	12.5324074074074	0	0	1.66666666666667	0.277777777777778	69612.6057214506
0159_AY44_33108_20180918_ST	70344	38.6666666666667	14	1	153.314351851852	97.6756944444444	22.5	0.208333333333333	78.5	16.109503600823	0	1.16666666666667	3.81374314128944	70.5245113168724	5.5	0	79.65625	0	1.16666666666667	7.02777777777778	0.0555555555555556	5.65555555555555	0	2.51851851851852	0	30.1780092592593	115.608031121399	4.35486111111111	107.246334876543	0.0833333333333333	5.45405092592593	0	0	8.46296296296297	0.222222222222222	69473.3303990912
0159_AA34_42414_20190612_ST	70159	151	57	0	182.391451719577	78.7006944444444	2.5	0.208333333333333	93.0037037037037	10.2762345679012	0	9	3.38786008230453	52.9962362825789	9.33333333333333	0	12.3125	0	0.5	7.16666666666667	2.11111111111111	13.7518518518519	0	3.25925925925926	0	26.1642939814815	98.8495324441505	1.67222222222222	71.8613040123457	0	7.56643518518518	0	0	1.81481481481481	0.222222222222222	69261.9499387615
0159_BD46_77023_20190108_ST	69984	75.5	43	0	191.14019510582	96.5935185185186	8.25	7.375	87.6481481481482	9.51105967078189	0	7.375	2.95181755829904	36.2627949245542	4.5	0	7.125	0	1.75	9.33333333333333	1.77777777777778	8.66851851851853	0	3.37037037037037	0	30.1187307098766	101.87352292769	11.2277777777777	70.5999228395062	0	15.7668595679012	0	0	0.648148148148148	0.166666666666667	69151.4658374363
0159_AQ22_10431_20190930_ST	69849	137.833333333333	57.3333333333333	0	155.268931878307	68.0171296296296	2.5	2.45833333333333	96.4189814814815	15.6201774691358	0	10.0972222222222	4.82085905349794	46.05671510631	6.66666666666667	0	6.125	0	0.833333333333333	6.69444444444445	2.33333333333333	9.67037037037038	0	4.51851851851852	0	27.3377507716049	103.338860412992	8.36388888888889	93.6421682098766	0	11.8999228395062	0	0	1.40740740740741	0.111111111111111	68969.6322068514
0159_AN08_59043_20181017_ST	69782	82.5	41	0	178.329282407407	82.9407407407408	1	7.04166666666667	88.4976851851852	15.1921939300412	0	7.18055555555556	5.60961076817558	33.1216177983539	2.83333333333333	0	2.35416666666666	0	0.166666666666667	8.83333333333333	1.94444444444444	5.54444444444445	0	2.51851851851852	0	29.8226658950617	101.151150977366	13.0888888888889	73.5032793209876	0	16.316049382716	0	0	0.759259259259259	0.333333333333333	68980.4171124829
0159_AP39_21047_20171127_ST	69496	87	45.3333333333333	0.833333333333333	154.921147486772	92.5241898148148	3	4.3125	84.8171296296296	13.1829346707819	0	8.51388888888892	3.62195644718793	38.6313700274349	4.66666666666667	0.0833333333333334	4.0625	0	1	9.08333333333333	1.66666666666667	9.45925925925926	0	4.22222222222222	0	26.1586226851852	101.810154872134	10.6111111111111	74.5202546296296	0	14.8269675925926	0	0	0.722222222222222	0.444444444444444	68695.970457329
0159_AN38_59030_20180605_ST	69118	78.5	54	0	179.263607804233	91.4888888888889	4.5	2.1875	81.2638888888889	27.0945859053498	0	7.09722222222222	15.2482424554184	34.6259756515775	5.5	0.291666666666666	6.625	0	0	7.30555555555555	1.88888888888889	7.51296296296297	0	3.81481481481481	0	31.3857445987654	97.7913616990005	9.15277777777775	60.9591049382716	0	12.3646604938271	0	0	0.981481481481481	0.166666666666667	68296.9894016387
0159_AA34_42025_20180402_ST	69066	96	63.3333333333333	0	158.668683862434	87.4523148148148	3	0.708333333333333	92.087962962963	12.6802983539095	0	11.1388888888889	5.1016803840878	52.9459747942387	9.66666666666667	0	5.89583333333334	0	0.333333333333333	5.80555555555555	1.94444444444444	10.112962962963	0	4.55555555555556	0	26.6681327160494	99.8867155349794	4.11111111111111	92.4012345679012	0	8.92283950617283	0	0	2.44444444444444	0.166666666666667	68209.9670328728
