sample_id	total	catalytic_activity__acting_on_a_protein	peptidyl_prolyl_cis_trans_isomerase_activity	protein_disulfide_isomerase_activity	dihydrolipoyllysine_residue_succinyltransferase_activity	dolichyl_phosphate_mannose_protein_mannosyltransferase_activity	holocytochrome_c_synthase_activity	peptidylamidoglycolate_lyase_activity	polypeptide_N_acetylgalactosaminyltransferase_activity	protein_kinase_activity	protein_lysine_6_oxidase_activity	phosphoprotein_phosphatase_activity	dihydrolipoyllysine_residue_acetyltransferase_activity	peptidase_activity	protein_methyltransferase_activity	protein_prenyltransferase_activity	palmitoyl__protein__hydrolase_activity	protein_tyrosine_sulfotransferase_activity	microtubule_severing_ATPase_activity	ubiquitin_like_modifier_activating_enzyme_activity	X_acyl_carrier_protein__phosphodiesterase_activity	X_protein_PII__uridylyltransferase_activity	phosphatidylglycerol_prolipoprotein_diacylglyceryl_transferase_activity	protein_disulfide_reductase_activity	protein_N_acetylglucosaminyltransferase_activity	aminoacyltransferase_activity	lipoate_protein_ligase_activity	biotin_protein_ligase_activity	deoxyhypusine_monooxygenase_activity	protein_cysteine_S_acyltransferase_activity	ubiquitin_like_protein_transferase_activity	protein_xylosyltransferase_activity	peptidyl_proline_dioxygenase_activity	protein_lysine_deacetylase_activity	lipoyl_octanoyl__transferase_activity	protein_deglycase_activity	peptide_O_fucosyltransferase_activity	X_glutamine_synthetase__adenylyl_L_tyrosine_phosphorylase	protein_glucosylgalactosylhydroxylysine_glucosidase_activity	protein_methylesterase_activity	peptide_lysine_N_acetyltransferase_activity	microtubule_plus_end_polymerase	peptidyl_aspartic_acid_3_dioxygenase_activity	protein_glycine_ligase_activity	protein_glutamic_acid_ligase_activity	peptidyl_lysine_5_dioxygenase_activity	protein_O_GlcNAc_transferase_activity	protein_ribulosamine_3_kinase_activity	protein_methylthiotransferase_activity	catalytic_activity__acting_on_a_glycoprotein	protein_demethylase_activity	ATP_dependent_histone_chaperone_activity	NAD__protein_ADP_ribosyltransferase_activity	Remaining
0159_AQ29_10093_20180612_ST	1786091	0	2568.83333333333	0	9.25	58	0	0	0	4674.05555555556	0	1054.875	0.333333333333333	36203.0081845238	477.966666666667	0	0	1	0	514.583333333335	11.5	13.0833333333333	489.5	694.833333333333	0	457.041666666667	42.6666666666667	209.291666666666	0	0	2.5	57.75	0	56.1416666666665	91.5833333333335	3.25	0	4.975	0	64.0416666666665	0	0	0	0	0	0	0	0	137.541666666666	104.666666666667	0	0	6.91666666666665	1738081.81125992
0159_AZ03_32052_20190827_STLS	1775080	0	2550.71212121212	1.625	62.6	46.75	1.5	0	0	4661.49027777778	0	1277.72222222222	58.7333333333333	32183.4932900433	474.698611111111	0	0	0	0	420.416666666667	50.75	75	321.5	840.201388888889	0	718.958333333333	39.6666666666667	204.416666666666	0	0	3.29166666666667	59.25	0	55.8	95.9666666666665	0.25	0	12.825	0	93.125	0.333333333333333	0	1	0	0	0	0	0	101.6	28.7083333333333	0.25	0	47.3333333333333	1730590.03208874
0159_AA34_42504_20191031_ST	1760444	0	2838.75	0	4.1	156	0	0	0	4185.17777777778	0	1778.08333333333	1.9	28389.1127976191	622.483333333333	0	0	4.5	0	476.75	5.5	18.5	522	657.034722222222	0	493.333333333333	16.5	214.725	0	0	2.375	53	0	82.2	69.25	11.25	0	9.1	0	57.4166666666665	0	0	0	0	0	0	0	0	178.558333333334	41.875	0	0	49.5	1719505.02470238
0159_AQ29_10088_20180605_ST	1756709	0	2938.33333333333	0	19	39	0	0	0	4379.6875	0	1571.58333333333	0	29971.6433035714	608.599999999998	0	0	1	0	638.666666666665	9	9.25	466.25	664.729166666667	0	371.125	39.6666666666667	237.375	0	0	10.5	20.25	0	62.6083333333335	71	0	0	6.4	0	49.2916666666667	0	0	0	0	0	0	0	0	163.166666666666	117.833333333333	0	0	2.75	1714240.29002976
0159_AB18_26471_20190911_ST	1753120	0	2634.21212121212	0.125	4.25	55.5	1.5	0	0	4668.53333333334	0	1198.66666666667	11.3333333333333	34357.0984983766	414.025	0	0	2	0	492.041666666667	20.5	50.5833333333335	392	800.104166666667	0	834.041666666667	19.7333333333333	214.25	0	0	9	93.75	0	51.9666666666665	109.166666666667	0.5	0	6.825	0	78.7916666666665	0	0	0	0	0	0	0	10	130.458333333334	48.5833333333333	0	0	57.75	1706352.71021375
0159_AV42_66207_20190915_ST	1744233	0	2159.83333333333	0	14.2	80	1.25	0	0	4227.40694444445	0	1507.5	10.6666666666667	28218.6733630952	416.755555555555	0	0	3	0	435.583333333333	4.5	9.08333333333335	392	727.399305555555	0	520.291666666667	39.1666666666667	146.125	0	0	6.75	42.5	0	48.55	60.3333333333335	1.875	0	0.6	0	42.2916666666667	0.5	0	0	0	0	0	0	0	125.791666666667	467.333333333333	0	0	50.5	1704472.53983135
0159_AY44_33271_20191119_ST	1742573	0	2721.66666666667	0	1	155	0	0	0	4095.40138888889	0	1811.875	6.33333333333333	28702.1438988095	544.094444444444	0	0	1.5	0	526.25	9	4	464	756.083333333333	0	608.125	27	232.1	0	0	3.375	22.5	0	75.7178571428571	82.6666666666665	0	0	0.65	0	54.8333333333335	0	0	0	0	0	0	0	0	159.025	35.0833333333333	0	0	19.8333333333333	1701453.74241071
0159_AZ03_32055_20190830_STHS	1739011	0	2556.5	0	5.125	76.25	1	0	0	4055.77817460317	0	1849.875	8	31757.930952381	604.79097222222	0	0	0	0	473.083333333333	19.5	13.9166666666667	497.5	749.9375	0	532.291666666667	34.8333333333333	198.916666666666	0	0	6.54166666666667	33.75	0	71.075	59.9333333333335	2.625	0	1.89166666666667	0	48.5833333333333	0	0	0	0	0	0	0	0	159.041666666666	72.375	0	0	55.4166666666665	1695064.53740079
0159_AQ29_10047_20180102_ST	1736663	0	2724.08333333333	0	16.6	51.5	3	0	0	5155.56388888889	0	1104.54166666667	13.0666666666667	33963.8550595238	505.249305555556	0	0	0	0	561.583333333335	17	26.25	381.5	721.375	0	425.25	51	233.125	0	0	0.125	60	0	46.9083333333334	102.083333333333	1.5	0	3.1	0	79.5833333333335	0	0	0	0	0	0	0	0.5	104	27.875	0	0	77.75	1690205.03174603
0159_AN38_59050_20181119_ST	1735888	0	3185.58333333333	0	7	49.5	0	0.25	0	4553.21666666666	0	1069.29166666667	2	35553.8455357143	564.423611111109	6	0	0	0	416	0	7.58333333333335	380	714.895833333333	0	313.708333333333	14.1666666666667	199.375	0	0	3.625	30.9166666666667	1	45.3	93.5833333333335	0	0	5.35	0	75.375	0	0	0	0	0	0	0	0	116.125	109.041666666667	0	0	131	1688239.84335318
