sample_id	total	incipient_cellular_bud_site	ubiquitin_ligase_complex	proteasome_complex	mRNA_cap_binding_complex	nuclear_cap_binding_complex	cAMP_dependent_protein_kinase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_kinase_CK2_complex	magnesium_dependent_protein_serine_threonine_phosphatase_complex	exodeoxyribonuclease_VII_complex	sulfite_reductase_complex__NADPH_	exodeoxyribonuclease_V_complex	ethanolamine_ammonia_lyase_complex	enterobactin_synthetase_complex	ferredoxin_hydrogenase_complex	nitrogenase_complex	protein_N_acetylglucosaminyltransferase_complex	TRAPP_complex	CCR4_NOT_complex	RNA_polymerase_complex	glutamyl_tRNA_Gln__amidotransferase_complex	protein_acetyltransferase_complex	ubiquitin_conjugating_enzyme_complex	Dbf4_dependent_protein_kinase_complex	mannosyltransferase_complex	nucleotide_activated_protein_kinase_complex	guanyl_nucleotide_exchange_factor_complex	ribonuclease_H2_complex	elongator_holoenzyme_complex	GID_complex	aryl_hydrocarbon_receptor_complex	Hedgehog_signaling_complex	TOR_complex	DNA_polymerase_complex	methionine_adenosyltransferase_complex	tRNA_specific_adenosine_34_deaminase_complex	nonhomologous_end_joining_complex	tRNA_splicing_ligase_complex	ubiquitin_activating_enzyme_complex	endonuclease_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	RPB4_RPB7_complex	Remaining
0159_AP39_21371_20180409_ST_E21	14791542	0.916666666666667	6.6875	1531	0	2	0	0	2	0.333333333333333	4155.66666666667	31	113.5	67.75	54.5	204.25	1	16.8333333333333	0.791666666666665	0	63443.0416666665	4189.16666666667	3.5	0	0	0.25	0.5	0	0	0	0	0	0	2	16275.5833333334	0	0	0	0	0	0	0	0.25	0.25	0	0	14701439.2291667
0159_AK37_71066_20190709_ST	14439076	0.333333333333333	3.25	3198.25	0	0	0.2	0	1	0	4205.41666666667	1477.25	241.25	186	134	763.5	11	63.5833333333335	0.166666666666666	0	63440.1666666665	7695.16666666667	27	0	0	0	0	0	0	0	0	0	0	7	19360.6666666666	0	0	0	0	0	0	0	0	0	0	0	14338260.8
0159_AV42_66160_20190805_ST	14417839	0	1	1812.75	0	0	0	0	1	0	3956.58333333333	22	91	89.75	17.5	160.25	5	127.333333333333	0.833333333333335	0	61105.5833333335	6595.66666666667	48.25	0	0	0	0.5	0	0	0.333333333333333	0	0	0	0	18198	0	0	0	2	0	0	0	0	0	0	0	14325603.6666667
0159_AQ11_10126_20181116_ST	14334084	0	0.916666666666667	840.5	0	0	0	0	0	0	3360.75	10	252.25	49	369	177.75	0	5.16666666666665	0	0	60727.125	3658.66666666667	3	0	0	0	0	0	0	0	0	0	0	1	15372.25	0	0	0	0	0	0	0	0	0	0	0	14249256.625
0159_AQ11_10150_20181221_ST	14250223	0	8.01388888888887	1609.41666666666	0	0	0	0	1	3.5	4521.16666666667	98	216.5	39.25	6	111.25	1.5	39.0833333333333	0.833333333333335	1	73626.6041666665	5636.58333333333	10.65625	0	0	0	12	0.5	0	0.583333333333333	0	0	0	11.3333333333333	21265.125	0.25	0	0	3	0	0	0	0	0	0	0	14142999.8506944
0159_AP39_21086_20180503_ST	14100539	0.333333333333333	0.166666666666666	1536.75	0	0	0	0	3	0	3464.25	4	20.5	117.5	183	121.5	2	113.083333333333	0	0	54015.5	3323	0.5	0	0	0	0	0	0	0	0	0	0	0.5	13631.75	0	0	0	0	0	0	0	0	0	0	0	14024001.6666667
0159_AZ03_32033_20180922_ST	14086507	0	1	2248	0	0	0	0	0	0	4564.41666666667	2044.75	3700.5	177.25	900.166666666667	1443.08333333334	4	20.75	0	0	56091.25	3230.5	10.75	0	0	0	0	1	0	0	0	0	0	2	14805.5	0	0	0	0	0	0	0	0	0	0	0	13997262.0833333
0159_AV42_66184_20190930_ST	14030786	0.25	1	1168.5	0	2	0	0	0	19.5	4095	8	407	32.75	726	218.25	0	3.58333333333333	0	0	54862.0833333335	4504.33333333333	0.25	0	0	0	0.5	0	0	0	0	0	0	0	16361.625	0	0	0	0	0	0	0	0	0	0	0	13948375.375
0159_AP39_21231_20180727_ST_E21	13979772	0	1.75	2809.16666666667	0	0	0	0	0	0	3962.58333333333	104	209.5	69.5	195	209.25	0.5	83.5833333333335	0.166666666666666	0	65489.9583333335	5744.16666666667	8.5625	0	0	0	1	0	0	0.333333333333333	0	0	0	7	17330.25	0	0	0	0	0	0	0	0	0	0	0	13883545.7291667
0159_AB10_26288_20181210_ST	13975869	0	2.33333333333333	1803.75	0	0.5	0	0	0	0	4168.33333333333	1239.5	2394.5	107.5	544.5	966.25	1	133.833333333334	0.333333333333333	1	58559.25	4659.66666666667	6.5	0	0	0	16	0	0	0.333333333333333	0	0	0	0.5	16720.75	0	0	0	0.5	0	0	0	0	0	0	0	13884542.1666667
0159_AK37_71057_20190430_ST	13743463	5	2.1875	2910.25	0	0	0	0	0	0.833333333333335	4242.75	1890.75	2744	380	398	860.25	0	77.4166666666665	0	0	56296.4166666665	4147.5	0.0625	0	0	0	0	0	0	0	0	0	0	5	15362.9166666666	0	0	0	0	0	0	0	0	0	0	0	13654139.6666667
0159_AP39_21056_20180125_ST	13645650	0.333333333333333	3.69583333333334	354.25	0	0	0	0	4	0	3285.75	64.25	588	37.5	27.5	261.25	0.5	38.6666666666667	0.833333333333335	0	62807.2916666665	2208.41666666667	0.25	0	0	0	2.5	0	0.75	0	0	0	0	0	13667.8333333334	0	0	0.0357142857142857	0	0	0	0	0	0	0	0	13562296.3934524
0159_AZ03_32051_20190819_ST	13638199	0.25	3.35416666666667	1748	0	0	0	0	1	5.66666666666667	3972.16666666667	332.25	602	105	91.5	310.25	2	65.9166666666665	0.125	0	60525.375	5778.83333333333	15	0	0	0	0.5	4	0	0	1	0	0	2	16949.25	0	0	0	6	0	0	0	0	0	0	0	13547677.5625
0159_AY44_33022_20170915_ST	13491486	1	0.1875	1985.35	0	0	0	0	3	0.5	3843	0	377.5	73.25	335.5	245.5	0	2.66666666666667	0	0	57126.3916666665	3586.83333333333	1.5	0	0	0	0	0	0	0	0	0	0	3	15830.25	0	0	0	0.5	0	0	0	0	0	0	0	13408070.0708333
0159_AP39_21325_20180920_ST_E21	13458241	1.72619047619048	9.62916666666667	2361.91666666667	0	0	0	0.25	7	0	3255.75	160	72	68	47	116	0	52.8333333333335	0	20	58796.3833333335	5228.91666666667	1.95833333333333	0	0	0	0	0	0.25	0.333333333333333	0	0	0	4	14842.4166666666	0	0	0	0	0	0	0	0	0	0	0	13373194.6363095
0159_AP39_21216_20180227_ST_E21	13409268	0	2.625	1479.5	0	0.5	0	0	0	0	3653.5	71.75	216	34.5	103.5	214.75	0	3.08333333333333	0	0	58637.4166666665	5273.33333333333	0.833333333333333	0	0	0	2.5	0	0	0	0	0	0	7.5	15856.1666666666	0	0	0	0.5	0	0	0	0	0	0	0	13323710.0416667
0159_AP39_21284_20190102_ST_E21	13368780	0	0	1017.5	0	0.5	0	0	0	0	3885.5	5	404.5	29.25	12	125	0	13.4166666666667	0	0	66039.375	3590.16666666667	0	0	0	0	1.5	0	1	0	0	0	0	8	15822.9166666666	0	0	0	0	0	0	0	0	0	0	0	13277824.375
0159_AP39_21215_20180801_ST_E21	13363042	0	1.70833333333333	1349.25	0	0.5	0	0	0	0	3718.75	913.75	1519	220	228	178	12	84.25	0.5	1	56116.3333333335	4352.33333333333	0.5	0	0	0	0.25	0	0	0.25	0	0	0	0	16557.25	0.25	0	0	0	0	0	0	0	0	0	0	13277788.125
0159_BC12_41015_20171213_ST	13064425	0	1.04166666666667	3234.5	0	0.5	0	0	1	0	4098.25	176	177.5	38	43	208.75	2	1.41666666666666	0	0	57451.4166666665	6164.66666666667	2.25	0	0	0	1	0	1	0	0	0	0	0.5	17039.5	0	0	0	0.5	0	0	0	0	0	0	0	12975782.2083333
0159_AP39_21310_20180719_ST_E21	13052885	3.22738095238095	5.11111111111111	1925	0	0	0	0	0.25	1.5	3743	20.25	94	53.25	4	144	0.5	103.75	1.09166666666667	0	58760.875	4255.83333333333	3.04166666666667	0	0	0.777777777777777	0.666666666666665	0.25	1	0.333333333333333	0.5	0	0	2.5	15018.0416666667	0.25	0	0	0	1	0.5	0	0.25	0.25	0	0	12968740.0003968
