sample_id	total	organophosphate_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	glucose_1_phosphate_metabolic_process	organic_phosphonate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	organophosphate_catabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	organophosphate_biosynthetic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_AQ29_10050_20180111_ST	8995301	663.666666666667	6266.33333333333	41.8333333333333	168.555555555556	7820.56527777778	62526.3607666242	0	3037.66666666667	1254.375	595.293487899275	5949.35561440574	897.777777777777	1212.32777777778	132.865740740741	393.794444444445	120.106481481482	3417.9442644033	761.236111111112	144.705555555556	1445.71666666667	466.5	79.2037037037037	15241.1988000318	158.351851851852	21.5555555555556	8.88888888888889	0	8882474.82067775
0159_AP39_21323_20180726_ST_E21	8948822	823.5	6162.77777777777	27.5	65.4444444444444	7667.16331018518	61583.2047737033	0	1975.16666666667	1305.01666666667	647.530907064472	5806.6014037086	779.833333333333	1322.33333333333	87.1180555555555	364.4	116.455555555556	3222.35563271605	937.416666666667	166.296825396825	1186.08425925926	534.421296296297	73.5	15130.7791994293	159.962962962963	32.2222222222222	0.666666666666667	0	8838644.24804039
0159_AK37_71010_20180324_ST	8937985	610	6246.66666666667	13	50.1111111111111	7429.1787037037	51078.7385398703	0	1767.27777777778	1020.46944444444	360.340963648834	4754.97523227758	615.166666666667	1161.46296296297	70.4027777777778	295.011111111111	149.064814814815	3028.55964506173	1075.27777777778	262.444444444444	766.927777777777	489.666666666667	68.7407407407408	13655.2051740398	116.592592592592	28.5	0	0	8842871.21840806
0159_AB18_26752_20200508_ST	8913845	494.5	6600.1388888889	24.5	61.6666666666667	7385.82037037037	57211.6340958341	0	2621.66666666667	1138.24444444444	460.480358367627	5319.36569211738	775.5	1082.68518518519	62.4375	314.122222222222	134.009259259259	3445.82741769548	959.347222222222	193.361111111111	1294.99537037037	457.444444444444	56.3148148148148	13897.9309756516	131.611111111111	20.3888888888889	0	0	8809701.00729367
0159_AP39_21387_20180503_ST_E21	8911008	833.166666666667	6178.72222222223	17.8333333333333	95.3333333333333	7602.26974757496	56973.7483062251	0	2057.66666666667	1178.64166666667	545.280968302959	5286.59659030227	648.833333333333	1196.56481481481	96.2291666666667	247.561111111111	113.751851851852	3348.45099206349	976.666666666667	189.083333333333	1299.87685185185	519.587962962963	57.0185185185185	13952.1952264599	113.796296296297	35	0.444444444444444	0	8807443.67992833
0159_AP39_21377_20180525_ST_E21	8904612	1220.33333333333	6688.33333333333	20.1666666666667	53.5555555555556	7104.71789021164	52668.1944020266	0	2948.08333333333	1022.50138888889	497.759044924554	4924.6357589694	631.666666666667	1073.5	46.9398148148148	170.311111111111	161.171296296296	3701.84696502057	1267.19444444444	178.683333333333	1469.11111111111	505.888888888889	37.2962962962963	12586.6717606371	68.3703703703703	53.3333333333333	0	0	8805511.73390043
0159_AQ29_10058_20180228_ST	8899684	559	6513.33333333333	40.7777777777777	69.1111111111111	7741.9957010582	62339.5248856065	0	1225.66666666667	1222.98650793651	834.857026504017	5681.52564028921	774.722222222223	1271.2962962963	88.5648148148147	470.674999999999	107.210185185185	3075.11199294533	894.777777777778	199.95	1323.13148148148	487.092592592592	71.9074074074074	15450.439337767	178.333333333333	42.6666666666667	0	0	8789019.34224122
0159_AQ11_10065_20180315_ST	8889359	717	5531.16666666667	48.9444444444443	76.7777777777778	8662.196875	64327.3121577585	0	661.75	1380.18472222222	583.026963305899	6179.48156452087	740.61111111111	1365.50925925926	166.284722222222	378.016666666667	55.0833333333333	2965.05552983539	630.444444444445	133.538888888889	1331.12685185185	542.296296296297	46.8518518518519	15936.9530049726	185.537037037037	29.5	1.03703703703704	0	8776683.3127935
0159_AP39_21093_20180310_ST	8878321	1389.16666666667	5137.54761904763	73.1666666666667	208.888888888889	7181.44262566137	61476.1846943791	0	5996.08333333333	1038.81944444444	473.901827356457	5916.10819211738	712	1260.22222222222	109.541666666667	532.388095238097	118.620370370371	4219.22182539683	880.527777777778	210.994444444444	1943.97685185185	411.990740740741	98.462962962963	15092.7540530693	313.055555555556	12.5	0	0	8763513.43347514
0159_AB18_26664_20200731_ST	8763293	643.666666666667	6112.94444444443	47.5	77	7053.78009259259	58986.0738831733	0	3098.75	1146.89166666667	482.171669851068	5605.96223863414	803.61111111111	1135.82407407408	69.2152777777778	388.008333333333	156.189814814815	3673.00189226926	1061.51388888889	160.688888888889	1471.06481481482	486.259259259259	68.3518518518519	14236.8351357351	129.981481481481	15.9444444444444	6.24074074074074	0	8656175.52832849
