sample_id	total	mannan_polymerase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	ESCRT_I_complex	ESCRT_II_complex	ESCRT_III_complex	ER_ubiquitin_ligase_complex	signal_recognition_particle_receptor_complex	signal_peptidase_complex	phosphatidylinositol_3_kinase_complex	oligosaccharyltransferase_complex	photosystem	photosystem_I_reaction_center	photosystem_II_reaction_center	photosystem_II_oxygen_evolving_complex	photosystem_I_antenna_complex	proton_transporting_two_sector_ATPase_complex	phycobilisome	membrane_coat	AP_type_membrane_coat_adaptor_complex	HOPS_complex	retromer_complex	retromer__tubulation_complex	retromer__cargo_selective_complex	NADH_dehydrogenase_complex	SNARE_complex	Sec62_Sec63_complex	endoplasmic_reticulum_palmitoyltransferase_complex	dolichyl_phosphate_mannose_protein_mannosyltransferase_complex	SREBP_SCAP_complex	proton_transporting_two_sector_ATPase_complex__proton_transporting_domain	proton_transporting_two_sector_ATPase_complex__catalytic_domain	VCP_NPL4_UFD1_AAA_ATPase_complex	GPI_anchor_transamidase_complex	MHC_class_I_peptide_loading_complex	TAP_complex	UDP_N_acetylglucosamine_transferase_complex	Dsc_E3_ubiquitin_ligase_complex	proton_transporting_ATP_synthase__stator_stalk	proton_transporting_ATP_synthase__catalytic_core	proton_transporting_ATP_synthase__central_stalk	pore_complex	cargo_receptor_complex	translocon_complex	clathrin_complex	Nem1_Spo7_phosphatase_complex	Ragulator_complex	EMC_complex	Asi_complex	plasma_membrane_protein_complex	outer_mitochondrial_membrane_protein_complex	inner_mitochondrial_membrane_protein_complex	respiratory_chain_complex	nuclear_membrane_protein_complex	COPII_vesicles_tethering_complex	transmembrane_transporter_complex	Ire1_complex	IRE1_TRAF2_ASK1_complex	ESCRT_IV_complex	nuclear_membrane_complex_Bqt3_Bqt4	Remaining
0159_AY44_33087_20171115_ST	1946747	0	0.166666666666667	0.25	0	0	0	0	0	0.0833333333333335	0	13	0	0	0	0	910.333333333333	1.25	43	0	0	0	0	0	18.5833333333333	0	0	0.166666666666667	0.222222222222222	0	1123	2635	0	0	0	0	0	0	0	0	0	950	0	0	0	0	0	0	0	5287.75	0	3	4.95833333333333	0	0	2540.35416666667	0	0	0	0	1933215.88194445
0159_AQ22_10417_20190329_ST	1945801	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	1482.16666666667	0.75	66	1	0	0	0	0	96.6666666666668	0	0	0	0	0	1377.41666666667	3440.91666666667	0	0	0	0	0	0	0	0	0	1363.5	0	0	0	0	0	0	0	6627.00000000002	0.25	1	100.666666666667	0	0	3223.79166666668	0	0	0	0	1927974.875
0159_AZ03_32079_20190619_ST	1941596	0	0	0.25	0	0	0	0	0	0	0	38.8333333333333	0	0	0	0	1222.83333333333	0	25.5	0	0	0	0	0	49.5	0	0	0	0	0	1392.33333333333	3123.5	0	0	0	0	0	0	0	0	0	927	0	0	0	0	0	0	0	5459.5	0	1	19.75	0	0	2586	0	0	0	0	1926750
0159_AY44_33308_20200110_ST	1936726	0	0	0	0	0	0	0	0	0	0	35	0	0	0.5	0	2226.5	0	87.375	0	0	0	0	0	60.8333333333332	0	0	0	0	0	1848.25	3802.08333333333	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0	0	5976.54166666667	0	2.25	21.5833333333333	0	0	2786.375	0	0	0	0	1918964.70833333
0159_AS41_40099_20191031_ST	1934908	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1153.33333333333	2	58.1666666666667	0	0	0	0	0	49.75	0	0	0	0	0	1269.33333333333	3376	0.166666666666666	0	0	0	0	0	0	0	0	739.5	0	0	0	0	0	0	0	4933.08333333333	0.25	3.25	3.16666666666667	0	0	2328.04166666667	0	0	0	0	1920968.95833333
0159_AQ29_10083_20180506_ST	1928048	0	0	0	0	0	0	0	0	0.111111111111111	0.0833333333333333	27.6666666666667	0	0	0	0	800	2	59.8333333333333	0	0	0	0	0	2.33333333333333	0	0	0	0	0	1074.66666666667	3998.5	1.33333333333334	0	0	0.5	0	0	0	0	0	740	0	0	0	0	0	0	0	5109	0	4.75	3.91666666666667	0	0	2411.83333333333	0	0	0	0	1913811.47222222
0159_AA34_42114_20180813_ST	1920082	0	0	0	0	0	0	0	0	0	0	15.5	0	0	0	0	1932.5	1.75	52.5	2	0	0	0	0	106.75	0	0	0	0	0	1632.16666666667	3187.83333333333	0	0	0	0	0	0	0	0	0	182.5	0	0	0	0	0	0	0	5188.58333333333	0	5	58.7083333333333	0	0	2466.72916666667	0	0	0	0	1905249.47916666
0159_AZ03_32012_20180518_ST	1919305	0	0	0	0	0	0	0	0	0	0	5.5	0	0	2.5	0	2298.5	0.5	33.8333333333333	0	0	0	0	0	36.75	0	0	0	0	0	1744.41666666667	2879.91666666667	0	0	0	0	0	0	0	0	0	196.333333333333	0	0	0	0	0	0	0	6155.70833333333	0	9.5	7.875	0	0	2888.52083333333	0	0	0	0	1903045.14583333
0159_AV42_66168_20190824_ST	1916155	0	0	0	0	0	0	0	0	0	0	38.3333333333333	0	0	0.5	0	1922.91666666667	0.5	125	0.5	0	0	0	0	35.75	0	0	0	0	0	1786.25	4505.75	0	0	0	0	0	0	0	0	0	568.5	0	0	0	0	0	0	0	6570.41666666665	0	1.875	13.8333333333333	0	0	3140.37499999999	0	0	0	0	1897444.5
0159_AB18_26547_20190821_ST	1915230	0	0	0	0	0	0	0	0	0	0.0833333333333333	9	0	0	1.75	0	2008.83333333333	8	64.5	1	0	0	0	0	57.5	0	0	0	0	0	1767	3056	0	0.333333333333333	0	0	0	0	0	0	0	547.5	0	0	0	0	0	0	0	6281.66666666665	0.25	2.41666666666667	73.5416666666667	0	0	2917.31249999999	0	0	0	0	1898433.3125
0159_AJ09_750050_20190815_ST	1914955	0	0	0	0	0	0	0	0	0	0	37.8333333333333	0	0	0.25	0	1532.33333333333	3	68.1666666666667	0	0	0	0	0	7.58333333333333	0	0	0	0	0	1476.08333333333	4200.91666666667	0	0.333333333333333	0	0.5	0	0	0	0	0	432	0	0	0	0	0	0	0	5369.13888888889	0	0.75	6.41666666666667	0	0	2592.79166666667	0	0	0	0	1899226.90277777
0159_AQ22_10420_20190823_ST	1904200	0	0	0	0	0	0	0	0	0	0	22	0	0	9	0	1776.33333333333	1	62.375	0	0	0	0	0	53.6666666666665	0	0	0.333333333333333	0	0	1734.83333333333	4101.33333333333	0	0	0	0	0	0	0	0	0	319.5	0	0	0	0	0	0	0	5628.54166666667	0.25	2.25	3.75	0	0	2673.83333333333	0	0	0	0	1887811
0159_AA34_42448_20190731_ST	1899632	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	723.5	0	109	0	0	0	0	0	121.25	0	0	0	0	0	752.833333333333	2737.75	0	0	0	0	0	0	0	0	0	4675.5	0	0	0	0	0	0	0	11475.2777777778	0	0	260	0	0	5697.01388888888	0	0	0	0	1873079.54166667
0159_AY44_33037_20171009_ST	1884361	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	1097.66666666667	1.5	132.666666666667	0	0	0	0	0	84.3333333333332	0	0	0	0	0	1408	3295.33333333333	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	0	0	5473.41666666667	0	3.5	4.33333333333333	0	0	2570.125	0	0	0	0	1869190.125
0159_AA34_42151_20180907_ST	1870458	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	1917.5	6.5	24.1666666666667	0	0	0	0	0	25.3333333333333	0	0	0	0	0	1468.66666666667	3172.5	0.666666666666665	0	0	0	0	0	0	0	0	324.5	0	0	0	0	0	0	0	5277.75	0	2.25	1.16666666666667	0	0	2491.70833333333	0	0	0	0	1855694.29166667
0159_AB10_26175_20181010_ST	1855703	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1450.66666666667	1	200.333333333333	0	0	0	0	0	82.8333333333332	0	0	0.333333333333333	0	0	1491.33333333333	2799.5	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	4660.25	0	2.5	1.58333333333333	0	0	2101.41666666667	0	0	0	0	1842212.25
