sample_id	total	organic_substance_metabolic_process	carbohydrate_metabolic_process	cellular_aldehyde_metabolic_process	organic_acid_metabolic_process	lipid_metabolic_process	flavonoid_metabolic_process	carbon_fixation	ether_metabolic_process	organometal_metabolic_process	cyanide_metabolic_process	organophosphate_metabolic_process	alkanesulfonate_metabolic_process	choline_metabolic_process	polyketide_metabolic_process	thioester_metabolic_process	cellular_ketone_metabolic_process	macromolecule_metabolic_process	S_adenosylmethionine_metabolic_process	hydrocarbon_metabolic_process	olefinic_compound_metabolic_process	acetate_ester_metabolic_process	carbohydrate_derivative_metabolic_process	organic_cyclic_compound_metabolic_process	poly_hydroxyalkanoate__metabolic_process	organonitrogen_compound_metabolic_process	fatty_acid_derivative_metabolic_process	organic_substance_catabolic_process	organic_substance_biosynthetic_process	organic_hydroxy_compound_metabolic_process	Remaining
0159_AA34_42014_20180323_ST	68881	143.333333333333	5319.25317460317	17.0763888888889	924.787553553057	327.815544165197	0	4	0	0	0	423.510587062757	0	0.5	1	7.82222222222223	27.8645833333333	8606.83103780864	4.08333333333333	0.104166666666667	0	0	893.839099855477	1231.77782658485	0	1959.54567377646	0.8	654.196457047325	689.68863825507	105.649884259259	47537.520495251
0159_AQ22_10468_20200128_ST	68843	170.166666666667	3725.6025297619	17.0972222222222	989.732708149618	337.08497207525	0	7.66666666666667	0	0	0	502.142791566644	0	0	0	10.0638888888889	24.0729166666667	9221.1058614418	6.41666666666667	0.3125	0	0	916.808618704684	1377.33170638187	0	2137.81001423795	2.2	457.56858281893	758.231394308495	108.591782407407	48072.9925103677
0159_AP39_21197_20180825_ST	68496	171.333333333333	5275.89770171958	15.7256944444444	896.18560841968	325.809395208701	0	6.33333333333333	0	0	0	419.707019461591	0	0	0	7.32870370370371	47.0659722222221	8392.80337852734	6.58333333333333	0.222222222222222	0.222222222222222	0	873.856279394474	1183.55458859984	0	1985.10228275647	1.8	614.982034465021	682.268415201536	111.081597222222	47478.1368842087
0159_AF13_79003_20181213_ST	67839	352.5	4225.57883597884	13.7847222222222	879.614681207746	323.941236772487	0	3.83333333333333	0	0	0	390.312452846365	0	1.875	0.0462962962962963	6.70740740740741	46.6388888888889	8523.84105213844	5.83333333333333	0.416666666666667	0	0	925.3331808495	1077.05804068685	0	2049.07383230453	2.2	528.40368441358	679.577298303388	109.556712962963	47692.8733433872
0159_BE31_82030_20191202_ST	67678	172.166666666667	3698.34573412698	18.1423611111111	863.728780037478	349.330807245738	0	2.75	0	0	0	425.669900262917	0	0.75	0.0555555555555555	9.87222222222223	39.1493055555556	8958.82595623898	8.5	0.520833333333333	0	0	806.508452135998	1252.00226171288	0	1995.19509029615	1	453.289414866255	691.210731968327	94.8371527777778	47836.1487738861
0159_AP39_21002_20171217_ST	67298	160.333333333333	3836.01164021164	15.0069444444445	844.05309138007	328.760021678425	0	3.5	0	0	0	405.396498628258	0	0	0.666666666666667	6.69175925925926	24.4930555555556	9425.70664406967	7.41666666666667	1.31944444444444	0	0	766.329833982461	1241.39751589751	0	1902.87148737875	1.4	471.428414994856	667.16545497134	93.3634259259259	47094.6881005107
0159_AA34_42070_20180503_ST	66855	283.333333333333	4632.15014880952	18.3194444444444	956.781310672031	343.863942166373	0	4	0	0	0	423.744346207705	0	0.25	0	5.86574074074074	33.7916666666667	8592.74467592592	7.33333333333333	0.416666666666667	0	0	920.450203005585	1193.03934633222	0	2019.99142949	2.6	565.892065329217	673.324961672362	112.620833333333	46064.4865518705
0159_AN38_59044_20181004_ST	65688	155.5	4078.16774140212	9.76041666666666	729.708445353836	302.782216343327	0	5.5	0	0	0	344.200381515775	0	0.5	3	6.08611111111111	16.2291666666667	9325.98798225308	5.33333333333333	0.138888888888889	0	0	778.9806063835	1250.86861656134	0	1640.26805711714	3.6	469.842049254115	604.991705821024	77.6770833333332	45878.8771979947
0159_AA34_42202_20180814_ST	65238	130.5	2908.53736772487	36.7048611111111	878.930438942166	285.981704695767	0	25.5833333333333	0.0833333333333333	0	0	439.768743212734	0.5	3.125	3.5	10.3361111111111	20.0451388888889	7734.93058586861	7	0	0.291666666666667	0	1020.44975627082	1212.47224900385	0	1964.10669165197	1.4	420.900968364197	721.058585184266	118.349537037037	47293.4439275993
0159_AF13_79004_20181217_ST	65226	147.166666666667	4557.07622354497	12.1111111111111	747.330734264771	303.001225382128	0	4	0	0	0	348.08117391118	0	1.25	1	6.70462962962963	26.9895833333333	8762.59604828042	5.08333333333333	0.416666666666667	0	0	791.416705859298	1129.59119329316	0	1740.22448945473	2.8	535.383272247943	627.695918324698	96.4466435185184	45379.6343811774
0159_BE31_82025_20191211_ST	65156	167.166666666667	4316.85425760582	16.5729166666667	815.556000091858	312.315691137566	0	1.25	0	0	0	349.431882644604	0	0	0.5	5.99074074074074	26.4956018518518	8744.84631558642	6.83333333333333	1.66666666666667	0	0	755.888613621889	1171.97167103093	0.375	1793.47749312904	5.6	540.007886766975	641.002867247208	86.2777777777777	45395.918617434
0159_AP39_21705_20181119_ST	64252	196.166666666667	4449.66968419312	11.9722222222222	777.197647799089	340.885317460318	0	2	0	0	0	379.501493912894	0	1.75	2.09259259259259	4.10555555555556	29.2256944444444	8304.77756558642	4.91666666666667	0.3125	0	0	811.2895765971	1068.36881444738	0	1963.94440365961	2.2	548.260923996913	611.64910094246	90.8255787037036	44650.8879945528
0159_AA34_42425_20190602_ST	64021	124	3013.40813492064	20.3229166666667	883.410518261317	308.306501690182	0	27.6666666666667	0	0	0	337.895990996922	2	12.25	0.740740740740741	11.9164351851852	83.0763888888887	7167.00393668831	3.33333333333333	0	0	0	934.258424272486	1009.593963001	0	1655.85764880952	9.2	407.687857326573	761.519393738977	174.927083333333	47072.6240654792
0159_AA34_42011_20180315_ST	63005	107.5	4125.79437830688	19.2604166666667	955.501610633451	314.915814226925	0	3	0	0	0	449.502699188386	0	0	0.5	11.1537037037037	16.1631944444444	7570.70306712963	8.16666666666667	0.208333333333333	0	0	835.630828985401	1220.20744332582	0	1849.98043439521	2	543.321179269547	660.137609126984	110.282175925926	44201.070444671
0159_AN08_59054_20190320_ST	59708	185	3481.26832010582	17.3888888888889	741.337456597222	300.793430335097	0	0.666666666666667	0	0	0	356.208129000914	0	0.5	0.0611111111111112	6.32685185185185	30.0381944444444	8191.3596257716	6.83333333333333	0.555555555555556	0	0	695.475093388693	1109.19864932801	0	1689.37051118827	0.6	413.555478395062	628.420519570289	81.0888888888889	41771.9532955783
0159_AA34_42223_201800920_ST	58117	103.833333333333	4630.12911706349	12.7048611111111	690.691837384259	242.121917254556	0	3.5	0	0	0	441.439796596365	0	2.125	1	7.34583333333333	23.0590277777778	7556.73620756173	4.5	0.78125	0	0	834.38810962914	974.757145490398	0	1981.51496830908	2	448.54157343107	502.680031208664	101.394675925926	39551.7553145898
0159_AN08_59028_20180410_ST	58104	79.5	4267.08422619048	8.72222222222222	634.259779633304	253.997084435626	0	0	0	0	0	283.766634516461	0	0.75	0	5.30185185185185	29.0902777777778	8253.28744488536	4.16666666666667	1.04166666666667	0	0	661.107601227219	996.812460684891	0	1586.01565531305	1.6	504.865181327161	495.887429499192	70.1693287037036	39966.5744883984
0159_BE31_82032_20191215_ST	57757	182.666666666667	3489.8583994709	15.1770833333333	760.714783353542	294.764342666079	0	0.333333333333333	0	0	0	371.32457133059	0	0	0.0416666666666667	7.29444444444445	23.0069444444444	7253.16309799383	6.5	0.277777777777778	0	0	754.198918222124	1018.88100100431	1.125	1718.92128775353	0.6	421.500295781893	593.615004523993	89.9305555555556	40753.104825677
0159_AP39_21186_20180211_ST	56757	118.666666666667	3117.32194113757	12.90625	794.961710988022	291.63282260435	0	2.33333333333333	0	0	0	383.342557227366	0	0.75	1.5462962962963	7.0662037037037	29.4479166666667	7815.18886959877	6	0.538194444444444	0	0	699.349552959044	1079.35104536547	0	1661.23232951205	0.6	392.29639531893	589.527091393849	97.2934027777778	39655.6474200057
0159_AY44_33142_20190301_ST	56571	132.833333333333	2219.51390542328	16.6597222222222	803.450534290491	265.139474941211	0	20.5	0	0	0	346.723112680858	1	5.75	0.597222222222222	10.7578703703704	56.5833333333334	6481.81047729277	5.16666666666667	0.645833333333333	0.0833333333333333	0	759.649247378993	1011.00833145127	0	1600.83177570179	2.2	279.940539113022	608.347786573156	143.727232142857	41798.0802681955
