sample_id	total	negative_regulation_of_snRNA_transcription_by_RNA_polymerase_II	Remaining
0159_AA34_42409_20190428_ST	7242592	0	7242592
0159_AZ03_32032_20180919_ST	7228392	0	7228392
0159_AB18_26665_20200817_ST	7224859	0	7224859
0159_AB10_26745_20201112_ST	7213883	0	7213883
0159_AP39_21113_20190110_ST	7132876	0	7132876
0159_AB18_26714_20201224_ST	7107080	0	7107080
0159_AB18_26396_20190529_ST	7055365	0	7055365
0159_AZ03_32077_20190530_ST	7037930	0	7037930
0159_AZ03_32037_20201020_ST	7027428	0	7027428
0159_AB18_26444_20190227_ST	7022972	0	7022972
0159_AB18_30835_20201101_ST	7018801	0	7018801
0159_AZ03_32055_20190830_STLS	6998497	0	6998497
0159_AB18_26410_20190215_ST	6975847	0	6975847
0159_AY44_33043_20170926_ST	6960325	0	6960325
0159_AB18_30941_20200915_ST	6931568	0	6931568
0159_AY44_33148_20190508_ST	6921942	0	6921942
0159_AB18_26743_20201030_ST	6882835	0	6882835
0159_AB10_26748_20201110_ST	6862187	0	6862187
0159_AS41_40058_20180625_ST	6853058	0	6853058
0159_AP39_21290_20181113_ST_E21	6835711	0	6835711
0159_AV42_66212_20191007_ST	6824579	0	6824579
0159_AA34_42092_20180525_ST	6784942	0	6784942
0159_AP39_21685_20190116_ST	6761773	0	6761773
0159_AB18_26712_20200926_ST	6752152	0	6752152
0159_AV42_66200_20191011_ST	6743838	0	6743838
0159_AB18_26784_20201230_ST	6711465	0	6711465
0159_AB18_102958_20200826_ST	6670284	0	6670284
0159_AB10_26768_20200809_ST	6661063	0	6661063
0159_AB18_26755_20201020_ST	6648111	0	6648111
0159_AZ03_32028_20180808_ST	6637809	0	6637809
0159_AV42_66196_20191011_ST	6616783	0	6616783
0159_AB18_26691_20200831_ST	6613950	0	6613950
0159_AQ29_10078_20180508_ST	6588236	0	6588236
0159_AP39_21361_20180308_ST_E21	6576511	0	6576511
0159_AB18_26718_20200909_ST	6573484	0	6573484
0159_AQ29_10060_20180211_ST	6559255	0	6559255
0159_AA34_42150_20180907_ST	6553448	0	6553448
0159_AV42_66147_20190812_ST	6544535	0	6544535
0159_AZ03_32076_20190429_ST	6525038	0	6525038
0159_AA34_42438_20190621_ST	6523274	0	6523274
0159_AP39_21364_20180504_ST_E21	6496729	0	6496729
0159_AB10_26786_20210216_ST	6481692	0	6481692
0159_AB18_26705_20191018_ST	6477810	0	6477810
0159_AB18_26663_20200725_ST	6467539	0	6467539
0159_AB18_26646_20200815_ST	6433829	0	6433829
0159_AA34_42415_20190506_ST	6433335	0	6433335
0159_AY44_33005_20170925_ST	6406448	0	6406448
0159_AB18_106054_20190207_ST	6376971	0	6376971
0159_AA34_42406_20190430_ST	6374144	0	6374144
0159_AB18_26463_20190528_ST	6356777	0	6356777
0159_AA34_42470_20190830_ST	6353936	0	6353936
0159_AB18_26642_20200320_ST	6317657	0	6317657
0159_AP39_21213_20180420_ST_E21	6227192	0	6227192
0159_AB10_101848_20181004_ST	6221866	0	6221866
0159_AP39_21392_20180504_ST_E21	6205667	0	6205667
0159_AP39_21372_20180327_ST_E21	6165827	0	6165827
0159_AB18_26716_20200820_ST	6159350	0	6159350
0159_AQ29_10011_20170731_ST	6158665	0	6158665
0159_AY44_33007_20170914_ST	6143471	0	6143471
0159_AP39_21101_20171111_ST	6110832	0	6110832
0159_AZ03_32059_20190918_ST	6092992	0	6092992
0159_AB18_26741_20201114_ST	6089249	0	6089249
0159_AZ03_32060_20190920_ST	6065548	0	6065548
0159_AA34_42453_20190809_ST	6048678	0	6048678
0159_AB18_26560_20191009_ST	6045382	0	6045382
0159_AA34_42388_20190405_ST	6022336	0	6022336
0159_AP39_21359_20180323_ST_E21	5957553	0	5957553
0159_AB18_26723_20201110_ST	5941611	0	5941611
0159_AH05_15000_20171130_ST	5935905	0	5935905
0159_AB18_26497_20190718_ST	5914305	0	5914305
0159_AA34_42084_20180509_ST	5817981	0	5817981
0159_AB18_26776_20210113_ST	5817041	0	5817041
0159_AZ03_32024_20180718_ST	5814987	0	5814987
0159_AA34_42282_20181025_ST	5789756	0	5789756
0159_AQ29_10041_20171121_ST	5771373	0	5771373
0159_AP39_21083_20180113_ST	5763055	0	5763055
0159_AP39_21222_20180322_ST_E21	5762275	0	5762275
0159_AB18_26720_20210217_ST	5698173	0	5698173
0159_AP39_21221_20180301_ST_E21	5681670	0	5681670
0159_AK37_71056_20190611_ST	5664896	0	5664896
0159_AZ03_32083_20190809_ST	5664592	0	5664592
0159_AB18_26645_20200422_ST	5656360	0	5656360
0159_AV42_66213_20191004_ST	5620699	0	5620699
0159_AV42_66129_20190414_ST	5618983	0	5618983
0159_AB18_26415_20190218_ST	5588994	0	5588994
0159_AB10_26756_20201027_ST	5583926	0	5583926
0159_AB18_26425_20190206_ST	5565517	0	5565517
0159_AA34_42333_20190117_ST	5555108	0	5555108
0159_AP39_21261_20180629_ST_E21	5554571	0	5554571
0159_AP39_21021_20171021_ST	5547707	0	5547707
0159_AP39_21064_20171222_ST	5532252	0	5532252
0159_AB10_26739_20201029_ST	5519767	0	5519767
0159_AY44_33033_20171003_ST	5476593	0	5476593
0159_AA34_42437_20190622_ST	5469163	0	5469163
0159_AA34_42113_20180615_ST	5463640	0	5463640
0159_AP39_21413_20180813_ST_E21	5423996	0	5423996
0159_AB18_26520_20200917_ST	5410077	0	5410077
0159_AB18_26722_20201204_ST	5391450	0	5391450
0159_AB18_26715_20210225_ST	5349302	0	5349302
0159_AB10_26088_20180508_ST	5347155	0	5347155
0159_AB18_26453_20190218_ST	5336450	0	5336450
0159_AA34_42376_20190318_ST	5332664	0	5332664
0159_AA34_42477_20190918_ST	5329233	0	5329233
0159_AA34_42452_20190801_ST	5321390	0	5321390
0159_AB18_106720_20190226_ST	5302352	0	5302352
0159_AA34_42087_20180523_ST	5295957	0	5295957
0159_AQ29_10023_20170921_ST	5273010	0	5273010
0159_AY44_33013_20170917_ST	5269933	0	5269933
0159_AZ03_32040_20181023_ST	5216769	0	5216769
0159_AB18_26227_20190319_ST	5216159	0	5216159
0159_AB18_106508_20190812_ST	5202117	0	5202117
0159_AB18_26750_20201118_ST	5198255	0	5198255
0159_AB18_26686_20201114_ST	5157483	0	5157483
0159_AS41_40057_20180522_ST	5140748	0	5140748
0159_AP39_21123_20171120_ST	5086062	0	5086062
0159_AQ29_10012_20170725_ST	5083568	0	5083568
0159_AZ03_32047_20190415_ST	5080306	0	5080306
0159_AQ11_10068_20180330_ST	5076833	0	5076833
0159_AA34_42456_20190803_ST	5069580	0	5069580
0159_AZ03_32095_20191213_ST	5062044	0	5062044
0159_AB18_26327_20190627_ST	5043655	0	5043655
0159_AA34_42088_20180515_ST	5026084	0	5026084
0159_AB10_103255_20180917_ST	5023952	0	5023952
0159_AA34_42329_20190116_ST	5015562	0	5015562
0159_AP39_21260_20180615_ST_E21	5007872	0	5007872
0159_BA21_18000_20170917_ST	5007823	0	5007823
0159_AB18_26696_20200819_ST	5005451	0	5005451
0159_AB18_26728_20201124_ST	4996913	0	4996913
0159_AP39_21140_20180130_ST	4985591	0	4985591
0159_AA34_42242_20181111_ST	4972547	0	4972547
0159_AB18_26680_20200909_ST	4942722	0	4942722
0159_AP39_21383_20180515_ST_E21	4934022	0	4934022
0159_AB18_26767_20200812_ST	4931872	0	4931872
0159_AB18_26733_20210131_ST	4916230	0	4916230
0159_AP39_21053_20180126_ST	4898805	0	4898805
0159_AY44_33254_20191029_ST	4884735	0	4884735
0159_AA34_42239_20181129_ST	4880030	0	4880030
0159_AQ11_10121_20180922_ST	4863299	0	4863299
0159_AB10_26103_20180911_ST	4860763	0	4860763
0159_AA34_42485_20190917_ST	4854551	0	4854551
0159_AS41_40073_20190706_ST	4851274	0	4851274
0159_AB10_26735_20210107_ST	4844473	0	4844473
0159_AK37_71011_20180526_ST	4834417	0	4834417
0159_AZ03_32025_20200904_ST	4801909	0	4801909
0159_AQ29_10096_20180613_ST	4795690	0	4795690
0159_AQ11_10127_20181014_ST	4793814	0	4793814
0159_AA34_42106_20180813_ST	4790297	0	4790297
0159_AB10_101629_20180823_ST	4780202	0	4780202
0159_AK37_71053_20190325_ST	4773427	0	4773427
0159_AP39_21367_20180508_ST_E21	4760118	0	4760118
0159_AP39_21219_20180306_ST_E21	4759665	0	4759665
0159_AB18_100826_20190405_ST	4746207	0	4746207
0159_AB18_26825_20210211_ST	4716233	0	4716233
0159_AA34_42443_20190710_ST	4709859	0	4709859
0159_AP39_21055_20180607_ST	4705695	0	4705695
0159_AB18_26332_20190211_ST	4701494	0	4701494
0159_AZ03_32043_20181121_ST	4693831	0	4693831
0159_AP39_21174_20171212_ST	4682435	0	4682435
0159_AB18_26688_20201108_ST	4658757	0	4658757
0159_AY44_33193_20190808_ST	4632616	0	4632616
0159_AA34_42249_20181203_ST	4631601	0	4631601
