sample_id	total	selenium_compound_metabolic_process	cellular_aldehyde_metabolic_process	organic_acid_metabolic_process	generation_of_precursor_metabolites_and_energy	translational_initiation	cellular_modified_amino_acid_metabolic_process	cellular_aromatic_compound_metabolic_process	one_carbon_metabolic_process	sulfur_compound_metabolic_process	phosphorus_metabolic_process	xenobiotic_metabolic_process	bioluminescence	toxin_metabolic_process	auxin_metabolic_process	mucilage_metabolic_process	photosynthesis	organometal_metabolic_process	cellular_nitrogen_compound_metabolic_process	cellular_hormone_metabolic_process	neurotransmitter_metabolic_process	cellular_ketone_metabolic_process	cellular_metabolic_compound_salvage	cellular_alkane_metabolic_process	cellular_alkene_metabolic_process	cellular_alcohol_metabolic_process	cellular_catabolic_process	cellular_biosynthetic_process	cellular_lipid_metabolic_process	cellular_macromolecule_metabolic_process	cellular_carbohydrate_metabolic_process	heterocycle_metabolic_process	cellular_ketone_body_metabolic_process	reactive_oxygen_species_metabolic_process	cellular_organohalogen_metabolic_process	cellular_senescence	replicative_senescence	prenylation	metabolite_repair	Remaining
0159_AA34_42398_20190408_ST	8998854	0	2139.07916666667	115484.307719007	108605.95734127	18	6166.56705357143	135953.15759514	7903.47916666667	37026.9622916667	534678.657953226	1781.04027777778	1311	1108.22222222222	118.916666666667	0	695	6.33333333333333	85041.2954343829	137.395833333333	0.388888888888889	5627.29332561727	5030.83078703703	50.5833333333333	1.33333333333333	0.0888888888888889	12243.778217565	64466.392412827	29021.1172343474	291195.589897487	17287.8564429012	138377.83849112	387.6	3835.75	0	0	0	1.25	92	7393058.93669172
0159_AQ29_10050_20180111_ST	8995301	0	2630.78460648148	117277.689337657	87925.0177008177	18.95	4894.30392526455	149723.972578909	9572.13888888888	37336.4871957672	522343.229501396	1346.39102564103	1626	771.666666666667	91.0833333333335	0	509	3	93474.0999250366	84.8270833333333	3.06944444444444	3508.87804783951	5974.04818121693	144.666666666667	45.3333333333333	0.0444444444444444	10909.8724466674	69144.7143327281	28752.8614337759	298393.83733649	24768.083626777	154382.631344231	175.7	4439.08333333333	0	0	0	11.1666666666667	55.6666666666667	7364962.70092553
0159_AP39_21323_20180726_ST_E21	8948822	0	2585.45922619048	108888.25005077	80471.0319444444	21	4689.71394510582	140695.957597141	8478.81250000001	36077.6253571429	547023.768768647	866.25	878	1011.36111111111	75	0	570.333333333333	3.33333333333333	89774.7669576035	148.833333333333	0.25	2990.05335648148	5920.91527777778	27.5833333333333	0	0.0888888888888889	10325.8874332378	67040.5142940963	27901.0364427175	304852.227871473	21413.4262345679	148285.573533814	155.4	3373.25	0	0	0	1	58	7334217.29587546
0159_AK37_71010_20180324_ST	8937985	0	1967.50902777778	101482.733255071	71646.9569444444	3	4107.50921130953	124945.719594164	7980.15833333334	32644.878396164	572936.303071447	715.961111111111	1729	1124.875	37.5	0	592	0.166666666666667	81532.1305097145	132.229166666667	1	2930.27777777778	4547.35833333333	83.875	0	0	10363.2508036174	61049.158448477	26491.4173629483	275800.99864418	19671.5965792181	131020.407396744	71.7	2852	0	0	0	0	208.666666666667	7399314.66269917
0159_AB18_26752_20200508_ST	8913845	0	2247.59097222222	108184.660825981	78601.7303932178	14	4251.89554232804	137267.719281601	8822.10416666665	32618.2149107143	535503.628748163	1196.33888888889	1749	971.055555555556	49.5	0	561	1.33333333333333	87084.1700210915	112.083333333333	3.31944444444444	4026.02430555556	4381.6412037037	73.7361111111112	0	0	11389.9047789569	64488.2547782491	27697.8610292742	304931.528841323	22107.2602272727	144043.083329771	116.2	3339	0	0	0	1	63.3333333333333	7327946.82664391
0159_AP39_21387_20180503_ST_E21	8911008	0	2031.79074074074	110511.217664331	85393.8944624819	15	4888.89864583333	134638.754837616	8462.14583333332	34690.1879431217	563687.336865172	994.322222222222	682	1135.27777777778	65.5	0	319.333333333333	4.83333333333333	86747.2299525333	148.863888888889	1.95833333333333	4248.27650462962	5017.26342592593	60.3611111111112	8.33333333333333	0	10764.9407117155	65514.6228042101	28747.6353093045	291143.313066679	19106.4044853295	140194.579843403	103.6	3587	0	0	0	5	149.333333333333	7307938.79023698
0159_AP39_21377_20180525_ST_E21	8904612	0	1939.83055555556	108816.121130484	86592.2267857143	20	5026.88180720899	130128.949254987	8512.68749999997	34290.8796858466	577702.330688244	1279.83888888889	716	1401.25	61.5	0	281.166666666667	3.16666666666667	83267.3812182856	166.695833333333	0	4327.48229166666	4561.30532407407	72.1111111111112	16	0	11793.0918961181	63625.3810674557	27249.8751396238	285031.555430629	15753.0371141975	134027.616592215	98.5833333333333	3092.08333333333	0	0	0	4.5	172.333333333333	7314580.13735103
0159_AQ29_10058_20180228_ST	8899684	0	2261.49672619048	110911.897906632	76001.1853595478	8	4391.60396494708	139395.324810847	8527.67499999999	35297.8979695767	534937.593552598	892.072222222223	928	810.416666666667	90.25	0	644	0.833333333333333	88441.6724185589	128.958333333333	2	3168.84976851852	5347.78935185185	35.7777777777778	0	0	10130.4843530744	66993.9572271408	28056.2877321496	295669.898766768	22958.8381406659	147787.842479865	107.8	3429.5	0	0	0	1.5	96.6666666666667	7312227.92947107
0159_AQ11_10065_20180315_ST	8889359	0	1981.31111111111	121999.310444729	86249.4583333333	10.4	5612.31978174603	139100.54193158	8837.5	35201.9816269841	583492.287288176	601.01111111111	642	1011.52777777778	93.6666666666665	0	289.5	1.5	91150.329620993	131.791666666667	2.09722222222222	4161.55034722223	6111.05324074074	31.9305555555556	0	0	8889.99141975309	71331.2125221607	31653.9758992872	278086.934663433	19200.1389917695	145428.147414936	179.5	3958	0	0	0	0	41.6666666666667	7243876.36369538
0159_AP39_21093_20180310_ST	8878321	0	3348.22371031746	125367.125319647	102946.908333333	3.33333333333333	6616.52213624339	140105.547261003	7488.01666666668	43134.4171164021	490229.132559615	2067.01666666667	806	1002.63888888889	91.4895833333335	0	990	7.5	85977.4700381296	42.4616071428571	1.81944444444444	5165.78287037037	6890.10555555556	14.7916666666667	67.6666666666667	0.0666666666666667	12512.7022101092	65073.2293460439	29019.7346867039	262721.391768997	28282.5047453704	143011.196603486	484	4341.81	0	0	0	0.5	0	7310509.8945482
0159_AB18_26664_20200731_ST	8763293	0	2519.95972222222	112834.720395535	83084.3561507937	7.41666666666667	4648.99256779101	136415.137592101	9216.42916666668	34203.3647255291	538536.678878738	1236.99743589744	2224	1090.54166666667	55.5	0	392	2.83333333333333	86249.4800328228	121.541666666667	2.59722222222222	3538.49814814815	4969.9210978836	178.583333333333	2.33333333333333	0.0444444444444444	10502.3278780221	65144.5455958352	26154.4682100179	286347.024797984	19817.202662037	143194.957093864	156.8	3972	0	0	0	4.5	154.333333333333	7186312.91284811
0159_AV42_66149_20190809_ST	8761743	0	2043.62152777778	106276.033738674	78571.8847222222	5.5	4684.73526785714	139885.221990212	8383.91666666666	34488.4222585979	527515.477863986	784.877777777777	490	978.444444444444	50.4999999999998	0	428	0.333333333333333	89868.1286355565	134.6875	1.84722222222222	3995.89016203704	5380.88101851852	28.9583333333333	0	0	9420.88154038065	65051.2292662175	28892.6139228763	299409.909716711	19466.8169624486	147500.104134539	53.6	3919.25	0	0	0	0	90.6666666666667	7183940.56532694
0159_AB10_26071_20180518_ST	8746727	0	1718.53402777778	107616.73954186	76939.6777777777	4	4581.73695767196	127882.833937084	8587.30833333333	33996.287880291	560183.49632661	705.533333333333	644	1087.27777777778	77.5	0	396.5	1.33333333333333	83353.5918836652	137.5625	0.5	3739.71527777778	4952.73240740741	64.2222222222222	0	0	9752.540944818	65916.8507449432	27056.9504461224	259267.421593915	19967.8788580247	135206.026096475	61.4	2850.25	0	0	0	0	120.666666666667	7209855.93113111
0159_AB18_100031_2019062_ST	8655325	0	2852.95009920635	114932.252613398	82699.5402777777	16.4166666666667	4885.03251157407	137940.054752562	8415.95833333332	36199.2208333333	520058.578111313	655.277777777778	834	914.416666666667	102	0	620	4.66666666666667	88311.8666471969	123.854166666667	3.38888888888889	2623.31076388889	6264.66388888889	76.9305555555555	0	0	9240.47401203949	68851.3062380539	28359.768085195	269692.354541164	21766.3001671811	145752.491615878	178	3808.5	0	0	0	1.5	14.6666666666667	7099125.25845246
0159_AP39_21082_20180405_ST	8572328	0	2362.46875	126991.68534928	60897.0722222222	14	6566.46001984127	128987.19114003	8784.47916666666	36666.3975595238	552844.833748714	654.475	3921	835.916666666667	61.6666666666667	0	403.125	0.333333333333333	83367.6382270917	122.3125	9.26736111111111	3933.15792824074	6199.10300925925	6.41666666666667	1.66666666666667	0	9112.1496567644	68627.3351283712	26443.8287978579	239525.111153825	20085.1108796296	136244.589352662	32.9	3939.3125	0	0	0	0	1	7044685.99554891
0159_AP39_21264_20180816_ST_E21	8553833	0	2384.26597222222	106210.038021155	78817.4388888889	6.33333333333333	4318.26198412698	130267.262037764	8428.02083333332	33823.2539880952	506900.828624798	816.222222222222	471	1087.56944444444	94	0	538	2.66666666666667	85070.1585938378	131.625	4.70833333333333	3181.2517361111	5219.57731481482	41.7777777777777	0	0	9762.28477944959	62924.3557348848	26189.8546176881	279447.187207892	20657.2128343621	137766.980757451	137.6	3342.5	0	0	0	0	163.666666666667	7045627.09662868
0159_AA34_42416_20190508_ST	8510918	0	2168.55902777778	133043.784454935	93925.0041666667	6	10208.4640376984	122396.00804609	6125.84999999999	43909.9886044974	514869.297646283	1434.15	14	3818.30555555556	25.25	0	1093	0.0833333333333333	84324.940626881	151.791666666667	0	8599.84849537036	8273.75810185185	0.333333333333333	2.66666666666667	0	12518.2423644364	62891.1497694371	28004.2869396678	208889.144951499	32507.4696759259	131721.504023273	407.4	4108	0	0	0	0	0	6995479.71851216
0159_AZ03_32035_20181025_ST	8489016	0	1835.13576388889	105726.103767315	74607.806547619	5.7	4359.06247354497	129982.509519974	8567.9375	33763.7575628307	519846.844544983	993.383333333333	1605	863.902777777778	34	0.25	642.5	1.5	83436.3776049127	116.958333333333	1.31944444444444	4037.81751543211	4759.02916666666	24.9027777777778	0	0.0444444444444444	10096.5559459509	63836.6581112443	27507.5382679306	269558.688640873	20043.9811085391	137172.307758878	88.4	3668	0	0	0	2	71	6981759.02708831
0159_AV42_66190_20190924_ST	8488107	0	1933.72222222222	104517.654774811	81264.3430555555	44	5117.84843253968	120503.152002323	7985.66666666667	33893.8101752645	527446.010526161	1075.75	1953	964.055555555556	142.75	0	711.5	27.8333333333333	78829.5144607073	141.891666666667	0.416666666666667	3062.12519290123	5009.72592592593	30.4583333333333	0	0	9032.23307578096	60275.5967641047	26292.3534713037	245829.188126303	12866.5372685185	124593.736132063	147.6	3276.25	0	0	0	0	299.333333333333	7030838.94283796
0159_AZ03_32001_20171108_ST	8443810	0	2700.14345238095	109395.031887655	87390.7072450697	19.5	4068.77776785714	126450.28337619	8824.8861111111	30892.5217228836	489578.760735138	1342.10959595959	2648.33333333333	837.138888888889	77.5	0	224.833333333333	0.166666666666667	80817.0009880657	75.1888888888889	1.77777777777778	3157.21593364198	4848.66759259259	153.458333333333	0.333333333333333	0.133333333333333	10262.1433804658	60814.9769465831	25201.8054744563	255229.687992942	20694.5618476431	132721.111003358	126.25	3663.41666666667	0	0	0	3	31	6981557.57639045
0159_AB18_26823_20210214_ST	8439580	0	2284.5578125	109006.681489841	82276.436111111	4	5220.91571428571	129606.455290728	6969.33333333332	33799.0538128307	509077.824005916	1139.63333333333	1155	1010.09722222222	48	0	755	5.33333333333333	79721.6577677184	107.875	0.25	5262.11631944444	4895.41064814815	55.5277777777778	113	0	12248.4915464249	60845.4333717758	26296.9997675999	254616.963679453	21163.058127572	128905.489462355	151.9	3619.5	0	0	0	0	153.333333333333	6959064.67173896
0159_AP39_21069_20181105_ST	8426347	0	2004.22986111111	100214.445882927	78520.1136904762	20	4336.36451719577	122692.948928494	8512.58333333335	31179.150598545	527439.730969007	718.516666666667	2800	717.055555555556	72.5	0	368.833333333333	4.16666666666667	78685.9262168925	130.168055555556	0	4528.2837962963	3765.97222222222	47.6527777777779	0.333333333333333	0	9945.30306119562	57761.1930938832	25909.5094319518	264890.504993387	14342.9665509259	129132.683322784	246.25	3627.91666666667	0	0	0	0.5	240.666666666667	6953490.52980715
0159_AZ03_32044_20181207_ST	8425076	0	2204.04097222222	103196.077964864	78439.9117063492	11	4181.75816137566	135153.572503299	7896.62499999999	31962.6861574074	501279.803062904	978.122222222223	1561	963.291666666667	64	0	359.333333333333	1.16666666666667	85486.7893390337	119.855555555556	1	3551.51612654321	4440.1537037037	53.8055555555555	0	0	10892.72518107	60455.6949875303	26445.2434073707	308004.891181658	19622.6435828189	141705.930267573	61.8333333333333	3608.75	0	0	0	0	59.6666666666667	6892313.11169428
0159_AB18_26644_20200419_ST	8424109	0	2256.79229497354	106572.850093453	86449.1491161616	8.58333333333333	4942.35863425926	132472.253436183	8069.72916666667	32557.8735416667	522915.806570721	1406.31666666667	1743	781.791666666667	66.0833333333332	0	489	5.33333333333333	83948.6324771121	113.158333333333	0.5	4513.74131944444	5020.11666666667	115.833333333333	4	0	11391.0774818498	62478.3863507721	28527.9928872054	273571.703163079	19602.5135521885	137608.467111411	223.15	3456.5	0	0	0	2	55	6892739.30613619
0159_AP39_21351_20180313_ST_E21	8417150	0	2279.81686507936	106108.236594696	76915.8666666667	4.5	4542.80335317461	126114.604148171	7358.22083333334	31061.0677910053	533481.415721221	674.82638888889	947	936.777777777778	46.1666666666667	0	459.333333333333	0.333333333333333	81977.8790281748	136.391666666667	11.1388888888889	4287.81597222222	5199.92407407407	18.9305555555556	5	0.0444444444444444	9394.22380180776	62590.8748163994	28645.4808540932	273025.541922031	22330.8392618313	132636.634273281	100.2	3803.5	0	0	0	0.5	38.6666666666667	6902015.44430052
0159_AZ03_32014_20180605_ST	8390596	0	2164.40277777778	102956.07755539	71528.0744047619	7	4608.66708333333	126953.786086612	7531.49583333333	32192.1512698413	534803.61739317	805.116666666667	1027	1819.47222222222	131.75	0	378.5	5.16666666666667	81302.5282331758	174.645833333333	0	4013.77083333334	4982.77777777778	47.75	0	0	10380.7206802984	61064.725238876	25936.5019528954	286931.430704365	16499.006095679	132259.287870121	48	3366.25	0	0	0	0	39.3333333333333	6876636.99348704
0159_AB18_26737_20200831_ST	8367500	0	1871.68541666667	98673.0983475621	70183.0902777777	2	4329.36178902116	124754.950847308	7399.95833333332	30727.8376951058	520824.895076334	961.733333333333	1073	1015.63888888889	60	0	399.333333333333	0.5	79156.2091601509	106.325	3.08333333333333	3382.92905092592	4398.46805555556	66.7916666666667	0	0	10112.546828373	57923.1922426836	24259.0075093695	283088.638679453	18687.0689814815	130556.338070081	115.8	3042.75	0	0	0	0.5	119	6890204.26808326
0159_AZ03_32004_20171027_ST	8360874	0	2227.16990740741	111890.585506265	84700.275	3	4280.29395502646	130542.280819975	9160.95833333335	33798.291167328	482835.672223967	1107.18472222222	1737	708.875	40.75	0	401.5	1.16666666666667	83746.0914474288	99.2847222222222	2.31944444444444	2817.66072530864	5135.74212962963	111.472222222222	0	0	10122.9743131246	63740.8739863959	27117.6753986626	264436.671169533	23926.1345679012	138213.511184099	172.3	3321	0	0	0	1.5	20	6874453.78538684
0159_AB18_26754_20201209_ST	8357912	0	2166.74166666667	107818.256658438	86745.3611111111	5	5225.50047619047	126146.147724459	7534.1861111111	33674.4887003968	497333.208411229	1006.81590909091	1465	1022	52.6666666666665	0	702	0	81417.4238347643	97.5916666666667	0.388888888888889	4603.93055555556	5276.26828703704	22.8611111111111	0.333333333333333	0	10281.4846174126	61934.4972685185	28203.1632631707	257327.630571088	21240.6003986625	133125.004678457	259.75	3314	0	0	0	0.5	30.3333333333333	6879878.86475664
0159_AB18_26552_20201105_ST	8316932	0	1817.54861111111	97312.9673978266	71245.2125	6.66666666666667	3832.63506944445	112527.05587858	7448.50000000001	29513.6292085538	527426.573756338	1072.2	672.333333333333	1194.13888888889	63.25	0	452.833333333333	0.666666666666667	74277.2264393453	117.375	0.777777777777778	3850.98834876542	3806.44305555556	78.4166666666667	0	0	9059.59638734568	55657.6087350042	25665.1429095018	244222.543953924	15022.4518389918	117375.946079749	177.4	3171.5	0	0	0	0	302.666666666667	6909559.70482996
0159_AY44_33008_20170913_ST	8307873	0	2251.28125	105225.261301137	81884.6527777778	21.8333333333333	4049.25545138889	136063.580465153	8230.35416666666	33785.541630291	487563.271374743	657.679166666667	2461	753.916666666667	48.25	0	308.833333333333	0.166666666666667	85328.4226435665	111.920833333333	2.06944444444444	3302.56589506174	5213.76574074074	57.0972222222222	1	0	9774.93932435883	62480.9878584519	27488.2008317717	284830.086017416	18696.0241383745	143690.394543085	76.3333333333333	3146.75	0	0	0	1	33.6666666666667	6800332.89792335
0159_AA34_42464_20191002_ST	8295044	0	4125.08333333333	125224.765804949	165320.15	0	11639.4785416667	112112.950392192	3029.94583333334	39993.6372685185	437048.030193177	5493.06666666667	16	346.472222222222	42.5	0	2335.5	0.166666666666667	69054.5419183364	7.16666666666667	0	10515.3721064815	7236.85416666667	2	0.333333333333333	0	17756.6553148883	53186.2347698505	34344.5854598398	165324.683002645	28007.3744598765	106151.44754203	300.4	5558.58333333333	0	1.4	0	0	22	6890846.62100333
0159_AP39_21352_20180307_ST_E21	8291988	0	2332.38194444445	103370.603380226	76668.7166666667	5	4694.91954034392	121361.142417136	8662.92916666668	33115.421005291	537187.799848619	880.95202020202	4046	1364.47222222222	74.5	0	347.5	3.25	78165.3777749261	155.943055555556	0.5	4968.43580246914	4306.66111111111	64.875	0	0	9542.38188550852	61020.7423639128	25420.3377799991	260320.923634911	14726.7312885802	125777.883237242	118.333333333333	3155.5	0	0	0	0	350.333333333333	6809777.4521873
0159_AB18_26792_20210219_ST	8291944	0	2086.11375661376	108604.643478199	75261.1005050505	10	4419.51791170635	126986.698397691	8171.05	33264.0632308201	524063.307250423	873.75	1496	819.777777777778	41.3333333333333	0	284	2.16666666666667	83108.5767371501	98.875	1.31944444444444	3910.2086419753	5135.28912037037	45.0555555555556	1	0	9159.34879010592	64787.5179162345	28911.1914027845	254128.519032421	22546.7370218387	134030.477092025	118.7	3127.75	0	0	0	1	21.3333333333333	6796427.57860348
0159_AZ03_32020_20180611_ST	8270590	0	1874.859375	99934.7955772214	83721.1677669553	8	4525.46260582011	126064.966715606	7730.64583333333	32512.186731702	506262.103787616	821.727777777778	1301.33333333333	1242.02777777778	50.5	0	428	1.16666666666667	80812.0322276776	130.020833333333	0.75	4253.07395833332	4346.04212962963	101.930555555556	0	0	10488.0587670772	59373.0379396583	26180.8955722069	274610.615949675	15207.5493932379	131613.565781964	191.7	3384.125	0	0	0	0.75	134	6793282.90794284
0159_AB18_26703_20200728_ST	8260271	0	2798.00486111111	108380.396750551	85626.1958333333	6.5	4355.07592592592	137187.849045022	9103.09166666666	33394.8088095238	472794.447184561	1153.41111111111	2189	751.444444444444	130.75	0	473	0.333333333333333	86704.6120949315	91.8291666666667	2.13888888888889	3125.18356481482	4985.83194444444	37.125	1	0.0444444444444444	9556.2763953373	64862.7836927576	29233.128635729	283754.012901168	24931.9380787037	144767.450590326	114	3916.75	0	0	0	0	24.3333333333333	6745818.25230287
0159_AB10_26032_20180430_ST	8236714	0	1990.05902777778	103819.935517894	89668.7291666667	0.166666666666667	5472.70639880953	110062.428914417	6244.27916666667	34686.2951190476	528049.070231114	1594.2	169	1182.25	43.8333333333333	0	624.5	0	72421.5851935402	143.104166666667	0.25	5656.78472222221	4887.79907407407	45.4166666666667	0	0	10817.3856632128	58635.2986939668	26593.7806419018	224657.290331055	18546.2044753086	112384.760993893	108.5	3098.16666666667	0	0	0	0	0	6815110.21916843
0159_AP39_21318_20180613_ST_E21	8158511	0	2006.23402777778	97465.4214749985	75945.4277777778	16	4077.06827380952	122641.320644302	7890.20277777777	28056.288042328	519083.784430022	614.718686868687	2352	799.138888888889	89	0	313.833333333333	1.33333333333333	79278.8079284306	96.6104166666667	1.75	4012.94560185184	3978.59097222222	50.5	0	0.0444444444444444	9898.91228937022	57255.9420166905	26200.5215441452	267413.782185947	17264.0412808642	128906.980494758	119.95	3037.5	0	0	0	0.666666666666667	118.333333333333	6699523.34913339
0159_AB18_26407_20190125_ST	8136697	0	1606.06597222222	95905.0734168014	73803.1793650793	4	4144.05906746032	119740.04721006	7817.26388888889	30716.2452050264	493378.822729276	1305.43333333333	1092	1101.16666666667	67	0	264	3.66666666666667	76134.096947733	147.207638888889	0	3867.38541666667	3728.88009259259	92.7222222222222	0	0	11850.1077656526	55691.3262618497	24144.4567515432	268768.139360119	14624.8579475309	124123.982458627	151.433333333333	2670.76666666667	0	0	0	0	247	6719506.61361509
0159_AY44_33214_20190806_ST	8134329	0	2236.24930555556	101395.265724549	70228.9345238095	3	4417.97354166667	125724.109751323	7964.29861111111	35518.9308531746	507736.050086806	888.266666666667	838	956.25	59	0	637.5	2.83333333333333	80479.2939320987	84.75	3.19444444444444	2780.56041666667	4845.25787037037	18.6527777777778	0	0	9231.91969265015	62317.0277254188	25071.3134485842	258082.689762456	19390.1480709876	132754.967411155	108.65	3242.52857142857	0	0	0	0.5	106.666666666667	6677204.2168113
