sample_id	total	organonitrogen_compound_biosynthetic_process	urea_cycle	sulfur_amino_acid_biosynthetic_process	aminoglycan_biosynthetic_process	phosphatidylcholine_biosynthetic_process	Mo_molybdopterin_cofactor_biosynthetic_process	cellular_amino_acid_biosynthetic_process	aromatic_amino_acid_family_biosynthetic_process	branched_chain_amino_acid_biosynthetic_process	glycoprotein_biosynthetic_process	biotin_biosynthetic_process	nucleoside_biosynthetic_process	amine_biosynthetic_process	alkaloid_biosynthetic_process	pyrroloquinoline_quinone_biosynthetic_process	allantoin_biosynthetic_process	ectoine_biosynthetic_process	glucosinolate_biosynthetic_process	sphingolipid_biosynthetic_process	holo__acyl_carrier_protein__biosynthetic_process	wybutosine_biosynthetic_process	molybdopterin_cofactor_biosynthetic_process	tetrapyrrole_biosynthetic_process	kynurenic_acid_biosynthetic_process	lipoprotein_biosynthetic_process	cellular_modified_amino_acid_biosynthetic_process	taurine_biosynthetic_process	indole_containing_compound_biosynthetic_process	hemoglobin_biosynthetic_process	pteridine_containing_compound_biosynthetic_process	flavin_containing_compound_biosynthetic_process	peptide_biosynthetic_process	nucleobase_biosynthetic_process	N_acetylneuraminate_biosynthetic_process	thiazole_biosynthetic_process	L_pipecolic_acid_biosynthetic_process	purine_containing_compound_biosynthetic_process	pyridine_containing_compound_biosynthetic_process	pyrimidine_containing_compound_biosynthetic_process	primary_amino_compound_biosynthetic_process	Remaining
0159_AJ09_760030_20190822_ST	2183948	532.766666666667	13.8333333333333	311.051388888889	409.792658730159	0	318.6	4487.768369709	802.890476190477	1698.98888888889	60.9375	314.1875	334.935956790123	164.148148148148	0	1.83333333333333	0	0	0	0	0	0	47.2	801.41412037037	0.166666666666667	612.333333333333	539.855515873016	0	38.9120370370371	0	83.6499537037037	329.816865079365	3272.98333333333	341.544444444444	0	3.75	0	578.672898295121	272.356481481481	445.0769664903	0.0833333333333333	2167128.44982988
0159_AB10_26154_20181106_ST	2171037	394.066666666667	15	351.055555555555	387.309226190476	0	274.133333333334	4853.65849867725	922.523333333334	1730.97314814815	91.0625	353.4375	417.118827160494	228.902314814815	0	0.833333333333333	0	0.8	0	0.037037037037037	0	0	57.2	934.667592592592	0	568.666666666667	522.962896825397	0	34.8842592592593	0	101.311342592593	292.679166666667	3500.06296296296	359.246527777778	0	1.15277777777778	0	672.587724132863	352.59462962963	489.896437389771	0	2153128.17574148
0159_AA34_42212_201800907_ST	2170221	489.583333333333	7.16666666666667	382.418055555556	474.09375	0	414.5	4915.84986772487	912.380000000001	2032.2962962963	60.15625	275	347.711033950617	210.525462962963	0	0.0833333333333333	0	0	0	0	0	0	85.6	976.995370370371	0	523.333333333333	455.441388888889	0	33.949074074074	0	80.9387962962963	311.052777777778	3329.24351851851	348.734424603175	0	1.08333333333333	0	680.26789388595	327.610462962963	439.316975308642	0	2152105.66860082
0159_AB10_26131_20180920_ST	2133068	608.633333333333	11.1666666666667	362.044444444445	419.751884920633	0.333333333333333	361.966666666666	4852.79546957672	993.614166666667	1845.85185185185	52.375	263.09375	362.519483024691	189.38125	0.666666666666667	0	0	9.6	0	0	0	0	73	811.639583333333	0	556	443.672142857143	0	31.8715277777778	0	73.3230555555556	333.075833333333	3983.69907407407	374.190972222223	0.5	5.34722222222222	0	689.184927983539	328.262407407407	482.818333333334	0	2114547.62095275
0159_AY44_33255_20191018_ST	2131253	517.066666666667	6.5	386.477083333333	533.529315476192	0.166666666666667	393.066666666666	5186.6927744709	1116.51793650794	1648.21666666667	48.8125	108.40625	379.53688271605	170.703703703704	0.5	0	0	27.8	0	0.222222222222222	0	0	105.966666666667	826.929993386243	0	935.444444444443	391.790185185185	0	19.7592592592593	0	63.2328395061728	241.89257936508	5176.56018518518	365.172222222222	0	1.69444444444445	0	762.535956790123	332.749444444445	524.724312169313	0	2110980.33213183
0159_AJ09_750014_20191031_ST	2121964	538.083333333333	3.25	303.8875	418.015972222221	0	602.433333333334	4626.47531415344	979.671666666667	1973.54444444444	22.90625	237.8125	283.411265432099	174.990740740741	0	0	0	4.4	0	0	0	0	121.9	911.030555555555	0	467.333333333333	406.260833333333	0	29.3171296296296	0	70.1105555555555	249.9375	3125.38055555555	347.486111111111	0	0.277777777777778	0	663.493912894376	304.559722222222	450.182345679013	0	2104647.84734703
0159_AV42_66141_20190731_ST	2121350	558.333333333333	4.5	315.984722222222	360.88373015873	0	285.8	4435.32923280423	834.58	1665.65555555556	91.25	336.3125	345.284722222222	210.157407407407	0.166666666666667	0.166666666666667	0	0.6	0	0.703703703703703	0	0	56.5	807.624537037037	0	434	513.026944444444	0	31.9907407407407	0	92.8638425925926	328.311111111111	3357.69166666667	314.850694444444	0	1.11111111111111	0	583.860596707819	302.823611111111	442.459197530864	0	2104637.17770576
0159_AA34_42108_20180523_ST	2112356	830.316666666667	5.25	339.643055555556	447.914285714287	0	387.9	4578.86261574074	874.198888888889	1869.18888888889	58.25	343.6875	345.137345679012	191.316666666667	0.333333333333333	0	0	0	0	0.537037037037037	0	0	87.2	926.180555555556	0	479.666666666667	471.476666666666	0	38	0	78.0505555555554	310.551388888889	3502.84166666666	330.694444444444	0	1.88888888888888	0	664.847736625514	304.256111111111	427.126913580247	0	2094460.68212118
0159_AK37_71030_20181005_ST	2071982	575.75	28.3333333333333	362.635416666667	404.067361111111	0	398.1	4465.691005291	917.075000000001	1673.98888888889	37.78125	271.3125	319.252469135802	155.618055555556	0.833333333333333	17.5	0	1.8	0	0.555555555555555	0	0	73.3	785.01574074074	1	468	550.338095238096	0	30.2013888888889	0	89.1229166666667	274.73253968254	3326.30648148148	349.699305555556	0	12.2638888888889	0	624.959068195179	293.364444444444	456.475299823634	0	2055016.92666152
0159_AA34_42258_20181005_ST	2070438	724.166666666667	2.83333333333333	245.419444444444	348.884623015873	0	183	4183.83614417989	798.723333333333	1818.42222222222	18.875	273.21875	357.157600308642	151.30324074074	0	0.166666666666667	0	10.6	0	0	0	0	41.9	574.702777777778	0	331	422.767777777778	0	26.4212962962962	0	93.6475925925926	300.9875	2827.21203703704	297.590277777777	0	7.94444444444445	0	587.73945473251	308.116111111111	356.99	0	2055144.37370554
0159_AV42_66166_20190824_ST	2064627	1015.98333333333	7.44444444444443	399.548611111111	480.456746031746	0	274.4	5831.65319113757	1106.4244047619	2150.73148148148	11.375	168.5	328.936921296296	202.739583333333	0.333333333333333	0.166666666666667	0	13.4	0	0	0	0	64.5	908.124768518518	0	650.333333333333	332.467373737374	0	41.6006944444444	0	57.9465740740741	254.8125	4474.46759259259	407.149305555555	0	0.388888888888888	0	768.575874485597	371.052777777778	511.803024691358	0	2043791.68357497
0159_AN08_59000_20171012_ST	2058705	351.35	10.6666666666667	387.272222222222	468.870337301588	0	268.9	4755.45099206349	989.483333333334	1751.07592592593	32.65625	253.3125	406.128086419753	224.858796296296	0.666666666666667	0.166666666666667	0	46.2	0	0.0740740740740741	0	0	61.2	866.092989417989	0	684.777777777777	471.505277777778	0	35.0879629629629	0	79.0850925925926	334.531944444445	4209.07870370371	374.475198412699	0.1	10.3888888888889	0	684.512088477366	336.675	494.565485008818	0	2040115.7910729
0159_AN08_59001_20171018_ST	2055007	384.166666666667	4.52777777777777	367.926388888889	427.539186507938	0	350.9	4968.99125330688	916.103333333333	1897.1537037037	59.5	272.875	279.996141975309	171.770833333333	0.333333333333333	0	0	3.2	0	0	0	0	71.3	876.143055555555	0	399.666666666667	423.401388888889	0	40.25	0	66.2594907407407	226.194444444444	3580.75925925926	357.635416666667	0	0.0416666666666667	0	709.164425338037	317.194444444444	463.002354497355	0	2037371.003768
0159_AP39_21147_20180112_ST	2049573	408.783333333333	6.75	316.517361111111	416.742857142858	0	621.083333333334	4734.01488095238	970.527380952381	1952.02314814815	42.125	267.125	294.22337962963	208.203703703704	0	0	0	5.8	0	0.037037037037037	0	0	124	951.547685185185	0	537.083333333333	394.659166666667	0	31.5578703703704	0	56.5120833333334	287.970833333333	3401.6537037037	321.208333333334	0	0.777777777777778	0	684.571759259259	288.823611111111	452.559012345679	0	2031796.1184149
