sample_id	total	septum_digestion_after_cytokinesis	cell_activation	cell_killing	plasmid_maintenance	protein_folding	vesicle_targeting	movement_of_cell_or_subcellular_component	syncytium_formation	microtubule_based_process	cell_cycle	chromosome_segregation	cell_communication	cell_adhesion	establishment_or_maintenance_of_cell_polarity	signal_transduction	ensheathment_of_neurons	cell_recognition	cell_death	cell_population_proliferation	horizontal_gene_transfer	stomatal_movement	intercellular_transport	light_absorption	cell_growth	cellular_homeostasis	cytolysis	cell_cycle_process	membrane_docking	cellular_process_involved_in_reproduction_in_multicellular_organism	actin_filament_based_process	transposition	RNA_folding	phenotypic_switching	protein_unfolding	cellular_metabolic_process	intermediate_filament_based_process	cellular_developmental_process	cell_division	cellular_localization	maintenance_of_location_in_cell	cellular_response_to_stimulus	transmembrane_transport	microtubule_organizing_center_localization	process_utilizing_autophagic_mechanism	cell_wall_organization_or_biogenesis	cellular_component_organization_or_biogenesis	DNA_clamp_unloading	cell_aggregation	exocytic_process	cell_cell_fusion	export_from_cell	cellular_detoxification	Remaining
0159_BB02_45014_20190625_ST	159288	0	0	5.5	135.5	831.233333333333	0	193.583333333333	0	0.291666666666667	211.509523809524	172.516666666667	79.1407738095238	1832.5	0	1053.32142857143	0	0	0.666666666666667	2.5	110	0	0	0	0	117.62890625	199.1	202.058333333333	0	0.583333333333333	0	1736.70833333334	0	0	10.4	13426.931314923	0	3.5	1534.30952380952	43.1736111111111	0	531.211309523809	4521.06517857143	0	0	418.290476190476	5141.81904761904	0	0.25	0	0	223.770833333333	16.75	126532.186405811
0159_BD46_77001_20190606_ST	158658	0	0	1.5	174	686.5	0	115.904761904762	0	2	367.55	80.5166666666667	114.504166666667	323.5	0	1500.25476190476	0	0.25	0	0	143	0	0	0	0	80.5787760416667	100.1	177.083333333333	0	0	0	1135.46666666667	0	0	1.5	13890.1474925008	0.5	126.5	1848.38333333333	48.7482638888889	0	694.001041666667	2359.38229166666	0	1.5	377.416666666667	3928.43958333333	0	5.25	0	0	88.1458333333334	23.75	130261.626360426
0159_BE31_82025_20191107_ST	158379	0	0	0	96.5	636.916666666667	0	92.3767361111113	0	9.09548611111111	402.914285714286	61.4	204.941666666667	199.5	0	1478.59722222222	0	0	0	0	116	0	0	0	0	79.0764756944444	84.4166666666667	193.371527777778	0	0	0	1642.875	0	0	0	14110.3849701927	0	210.055555555555	1752.66428571429	59.3674768518518	0.0277777777777777	751.848958333333	2144.353125	0	1.83333333333333	402.407142857143	4037.15089285714	0	4.58333333333333	0	0	54.1152777777778	31.6875	129520.538636785
0159_AP39_21059_20171128_ST	158088	0	0	0	8.16666666666667	673.25	0	58.875	0	1	477.116666666667	95.3333333333333	154.527083333333	172	0	1673.83333333333	0	0	0	0	94	0	0	0	0	120.362413194444	84.5833333333333	166.333333333333	0	0	0	1911.20833333333	0	0	2	13772.3078323387	0	141.666666666667	2005.36666666667	53.0052083333333	0.375	663.953125	4245.33583333333	0	0	358.283333333333	3575.55208333334	0	2.75	0	0	35.9131944444444	48.125	127492.776560022
0159_AS41_40091_20190918_ST	155504	0	0	0	260	606.733333333333	0	31.4166666666667	0	1.58333333333333	324.969047619048	73.7666666666667	157.610416666667	121.333333333333	0	1282.84166666667	0	0	0	0	92.5	0	0	0	0	107.3671875	89.9166666666667	155.125	0	0	0	2251.16666666667	0	0	0.5	13946.3917635753	0.5	115.388888888889	1682.46904761905	45.5052083333333	0	710.888541666667	1827.41031746032	0	0	328.201190476191	3465.46785714286	0	4.25	0	0	62.2916666666667	18.5625	127739.843033052
0159_AP39_21026_20171017_ST	152822	0	0	2.25	23	643.9	0	135.291666666667	0	0.25	341.511904761905	98.15	131.510714285714	712	0	1682.39166666667	0	0	0	0	95	0	0	0	0	101.401041666667	234.505555555556	188.1	0	0	0	1695.875	0	0	4.9	13234.0354229143	0	116.875	1782.7619047619	44.6701388888889	0.125	576.298313492063	3842.59076884921	0	1	364.652380952381	4153.42738095238	0	2.91666666666667	0	0	85.0347222222223	30.25	122497.324750697
0159_AQ22_10427_20190802_ST	151088	0	0	0	32	656.916666666667	0	30.5833333333333	0	0	433.202380952381	81.5	140.633333333333	100.5	0	1233.625	0	0	0	0	146	0	0	0	0	72.04296875	77.25	173.916666666667	0	0	0	1721.33333333334	0	0	5	13747.3992842203	0	154.111111111111	1401.45238095238	53.0416666666667	0	729.71875	1904.88541666666	0	0	359.184523809524	3786.49077380952	0	4.75	0	0	39.5659722222222	25	123977.896437506
0159_AP39_21600_20181107_ST	150297	0	0	0	347.5	633.583333333334	0	75.4166666666665	0	3.25	360.811904761905	53.9	142.391666666667	130.666666666667	0	1574.16666666667	0	0	0	0	100	0	0	0	0	61.1048177083333	66.9166666666667	174.291666666667	0	0	0	1481.725	0	0	8	13161.5871840145	0.5	155.611111111111	1661.0619047619	49.1614583333333	0	639.208333333332	2317.53819444444	0	0	357.789285714285	3661.21428571428	0	7.66666666666665	0	0	40.9583333333333	22.0625	123008.915686769
0159_BE31_82024_20191122_ST	149706	0	0	0	61.5	650.6	0	37.875	0	2	363.9	54.5333333333333	134.958333333333	101.75	0	1179.3921957672	0	0	0	0	113	0	0	0	0.00595238095238095	105.358072916667	78.4166666666667	162.738425925926	0	0.0535714285714286	0	805.266666666667	0	0	3.5	13158.8671651773	0	102.613492063492	1523.48333333333	47.8196304563492	0	679.397916666667	1655.09578373016	0	0.5	376.175	3609.40625	0	4.25	0	0	69.7291666666667	21.75	124602.064043487
0159_AA34_42217_201800907_ST	146998	0	0	0	83	468.833333333333	0	60.9583333333335	0	1.25	277.309523809524	53.3333333333333	90.8791666666667	90	0	1099.79166666667	0	0	0	0	103	0	0	0	0	119.228515625	80.45	110.208333333333	0	0	0	2818.20833333333	0	0	4	12661.3849163469	0	53.2083333333333	1082.89285714286	46.8177083333333	0	564.65625	1904.13020833333	0	0	348.813095238095	3303.71309523809	0	2.16666666666667	0	0	58.5243055555556	22	121489.242024377
0159_BC25_41007_20171117_ST	144866	0	0	0	61	695.816666666667	0	55.25	0	0	411.242857142857	67.15	156.1875	106	0	1267.09166666666	0	0	0	0	139.333333333333	0	0	0	0	57.6546223958333	76	192.458333333334	0	0	0	1045.25	0	0	4	13136.6735288936	0	162.472222222222	1780.90952380952	51.1927083333333	0.0625	715.481597222222	2121.15486111111	0	0	378.604761904762	3781.00267857143	0	7.91666666666665	0	0	49.4791666666667	30	118316.61480506
0159_AQ22_10443_20191029_ST	144735	0	0	0	9.5	663.366666666666	0	42.5416666666667	0	2.5	439.280952380952	84.3333333333333	168.675	60	0.125	1190	0	0	0	0	116	0	0	0	0	53.5690104166667	58.8333333333333	176.083333333333	0	0	0	1063.58333333333	0	0	5.5	12900.8399587929	0	160.388888888889	1441.69761904762	56.8715277777778	0	724.541666666666	2043.97916666667	0	0	385.440476190476	3701.38839285714	0	4.5	0	0	33.5451388888889	20.75	119127.165534759
0159_AA34_42031_20180409_ST	143108	0	0	0	179.5	566.5	0	62.5	0	0	339.685714285714	65.0666666666667	130.783333333333	136.666666666667	0	1392.33333333334	0	0	0	0	112	0	0	0	0	71.2154947916666	64	164.791666666667	0	0	0	1252.83333333334	0	0	1.5	12385.9987015578	0	129.013888888889	1276.18571428571	45.5364583333333	0	623.96875	1862.63715277778	0	0	362.167857142857	3512.25744047619	0	3.25	0	0	37.9166666666667	14.25	118315.441160793
0159_BD46_77038_20191111_ST	142575	1	0	0	61.8333333333333	574.833333333333	0	25.9166666666667	0	7	287.802380952381	47.7666666666667	114.29375	133.833333333333	0	1135.54166666667	0	0	0	0	93	0	0	0	0	86.28125	94.75	138.25	0	0	0	1807.80833333333	0	0	4.5	12819.1940281388	0	76.0416666666667	1443.71904761905	45.484375	0	599.526041666667	1571.66666666667	0	0	263.467857142857	3471.89910714286	0	3	0	0	71.9722222222222	23	117571.618273448
0159_BD46_77004_20190215_ST	142537	0	0	0	333	509.7	0	42.3333333333333	0	4.5	259.221428571429	42.5666666666667	94.5895833333333	121.333333333333	0	1423.33333333333	0	0	0	0	93	0	0	0	0	92.5546874999999	74.25	124.375	0	0	0	1078.76666666667	0	0	0.5	12366.3891066006	0.5	87.7361111111111	1330.17142857143	41.4322916666666	0	555.994791666666	1499.52034722222	0	0	349.819047619048	3153.10863095238	0	1.66666666666666	0	0	65.6111111111111	19.75	118771.276434074
0159_BD46_77037_20190607_ST	139396	0	0	0.75	157.666666666667	562.533333333334	0	29.2083333333333	0	0	291.622619047619	58.65	105.51875	137	0	1204.08333333333	0	0.25	0	0	124	0	0	0	0	86.9231770833333	69.5	123.208333333333	0	0	0	1666.35833333333	0	0	1.5	12415.3927103963	0.5	77.0833333333333	1465.53928571429	44.2552083333333	0	582.119791666667	1501.52486111111	0	0	338.369642857143	3233.01964285714	0	6.75	0	0	69.3888888888889	17	115026.283755378
0159_AP39_21043_20171031_ST	137398	0	0	0	177.5	589.083333333333	0	62.0833333333335	0	1	304.728571428571	41.5333333333333	106.485416666667	135.5	0	1396.79166666667	0	0	0	0	126	0	0	0	0	53.9062499999999	65.3333333333333	139.5	0	0	0	901.975	0	0	0.5	12364.5537713174	0	126	1569.22857142857	40.6614583333333	0	569.796875	1681.85199652778	0	14.25	329.947619047619	3084.31636904762	0	2.91666666666667	0	0	52.1770833333333	24.5	113435.879351203
0159_AQ22_10436_20191029_ST	136508	0	0	0	67.5	601.116666666667	0	38.3333333333333	0	1	373.861904761905	46.9333333333333	144.602083333333	94	0	1365.79166666667	0	0	0	0	108	0	0	0	0	53.3541666666667	57.1666666666667	164.166666666667	0	0	0	1422.875	0	0	0.2	11931.96842971	0	160.972222222222	1301.6119047619	46.5989583333333	0	714.461458333333	2012.40625	0	0	340.014285714286	3573.03095238095	0	7.08333333333335	0	0	35.2951388888889	13.5	111832.155578227
0159_BE31_82032_20200109_ST	134997	0	0	0	5.5	680.65	0	45.75	0	1.25	381.573809523809	63.7833333333333	131.177083333333	109.5	0	1115.20833333333	0	0	0	0	146	0	0	0	0	57.064453125	54.1666666666667	178.333333333333	0	0	0	884.125	0	0	1	11948.9992159407	0.5	136.180555555555	1693.07380952381	51.5885416666667	0	683.682291666667	1833.99296875	0	0.5	389.570238095238	3583.19246031746	0	0.25	0	0	50.4548611111111	22.4375	110747.495544724
0159_BE31_82022_20191219_ST	133621	0	0	0	3	685.483333333333	0	34.4583333333333	0	3.25	384.245238095238	89.5833333333333	155.172916666667	85	0	882.958333333335	0	0	0	0	138.5	0	0	0	0	62.6801215277778	59.9166666666667	178.166666666667	0	0	0	938.708333333333	0	0	9	12089.1727420196	0	225.805555555555	1357.6619047619	61.3135416666666	0	738.567708333334	1916.74166666667	0	0	389.722619047619	3849.24761904762	0	8	0	0	49.1875	27.375	109198.080866611
0159_AQ22_10421_20190914_ST	133244	0	0	0	588	499.5	0	46.4166666666667	0	0	314.423809523809	40.2	121.816666666667	88	0	1452.20833333333	0	0	0	0	84	0	0	0	0	65.8515625000001	59.75	125.625	0	0	0	1418.45833333333	0	0	0	11543.2928985771	0	119.597222222222	1157.50714285714	40.2517361111111	0	563.041666666667	1989.95138888889	0	0	320.045238095238	3196.2744047619	0	3	0	0	33.6111111111111	19.5	109353.676818685
0159_AA34_42195_20180809_ST	132697	0	0	0	80.5	496.416666666667	0	5.25	0	0.75	315.461904761905	57.9166666666667	175.178472222222	29.5	0	925.125	0	0	0	0	72	0	0	0	0	79.4609375	75.3333333333333	134.416666666667	0	0	0	1466.29166666667	0	0	0.5	12276.5027248192	0	137.708333333333	1102.29523809524	38.375	0	720.623263888888	2313.234375	0	0	228.764285714286	3106.08720238095	0	1.91666666666666	0	0	17.1805555555556	21.0625	108819.148540062
0159_AS41_40005_20171202_ST	132018	0	0	0	69	525.666666666667	0	47.25	0	1	320.807142857143	39.25	120.752083333333	108.5	0	1216.58333333333	0	0.25	0	0	89	0	0	0	0	80.8242187500001	68.25	120.333333333333	0	0	0	1547.33333333333	0	0	4	11682.3942024555	1	129.236111111111	1523.72380952381	40.4913194444444	0	608.265625	2103.59083333334	0	0	267.411904761905	2994.9556547619	0	7	0	0	45.5763888888889	18.125	108237.429039112
0159_AQ22_10446_20191111_ST	131045	0	0	0.25	143.5	489.083333333333	0	31.3083333333333	0	0	323.52380952381	53.5333333333333	115.74375	187	0	1114.29166666666	0	0	0	0	113	0	0	0	0	57.637890625	100.861111111111	133.125	0	0	0	1211.625	0	0	0	11446.8757150104	0	129.902777777778	1206.85714285714	39.5989583333334	0	581.635069444444	1862.58854166667	0	0	341.303571428572	3081.98134920635	0	6.5	0	0	28.1180555555556	17.875	108227.280590793
