sample_id	total	carboxy_lyase_activity	aminocarboxymuconate_semialdehyde_decarboxylase_activity	adenosylmethionine_decarboxylase_activity	aromatic_L_amino_acid_decarboxylase_activity	aspartate_1_decarboxylase_activity	diphosphomevalonate_decarboxylase_activity	glutamate_decarboxylase_activity	histidine_decarboxylase_activity	indole_3_glycerol_phosphate_synthase_activity	ornithine_decarboxylase_activity	orotidine_5__phosphate_decarboxylase_activity	phosphatidylserine_decarboxylase_activity	phosphoenolpyruvate_carboxykinase_activity	phosphopantothenoylcysteine_decarboxylase_activity	phosphoribosylaminoimidazole_carboxylase_activity	pyruvate_decarboxylase_activity	tyrosine_decarboxylase_activity	uroporphyrinogen_decarboxylase_activity	gamma_glutamyl_carboxylase_activity	X2_oxoglutarate_decarboxylase_activity	X3_octaprenyl_4_hydroxybenzoate_carboxy_lyase_activity	arginine_decarboxylase_activity	diaminopimelate_decarboxylase_activity	lysine_decarboxylase_activity	oxaloacetate_decarboxylase_activity	oxalyl_CoA_decarboxylase_activity	tartronate_semialdehyde_synthase_activity	ribulose_bisphosphate_carboxylase_activity	X4_5_dihydroxyphthalate_decarboxylase_activity	gallate_decarboxylase_activity	X4_hydroxybenzoate_decarboxylase_activity	X5_oxopent_3_ene_1_2_5_tricarboxylate_decarboxylase_activity	glutaconyl_CoA_decarboxylase_activity	X2_4_dihydroxyhept_2_ene_1_7_dioate_aldolase_activity	phosphonopyruvate_decarboxylase_activity	X3_dehydro_L_gulonate_6_phosphate_decarboxylase_activity	diaminobutyrate_decarboxylase_activity	X4_hydroxyphenylacetate_decarboxylase_activity	X5_amino_4_imidazole_carboxylate_lyase_activity	oxalate_decarboxylase_activity	X2_2_dialkylglycine_decarboxylase__pyruvate__activity	branched_chain_2_oxoacid_decarboxylase_activity	indolepyruvate_decarboxylase_activity	X5_guanidino_2_oxopentanoate_decarboxylase_activity	arylmalonate_decarboxylase_activity	X4_oxalocrotonate_decarboxylase_activity	X4_carboxymuconolactone_decarboxylase_activity	acetoacetate_decarboxylase_activity	acetolactate_decarboxylase_activity	aspartate_4_decarboxylase_activity	UDP_glucuronate_decarboxylase_activity	threonine_phosphate_decarboxylase_activity	malonyl_CoA_decarboxylase_activity	o_pyrocatechuate_decarboxylase_activity	phenylalanine_decarboxylase_activity	phenylpyruvate_decarboxylase_activity	tartrate_decarboxylase_activity	UDP_galacturonate_decarboxylase_activity	X3_oxolaurate_decarboxylase_activity	sulfopyruvate_decarboxylase_activity	benzoylformate_decarboxylase_activity	X2_oxo_4_hydroxy_4_carboxy_5_ureidoimidazoline_decarboxylase_activity	X3_oxo_myristate_decarboxylase_activity	X3_oxo_palmitate_decarboxylase_activity	phenylacetaldehyde_synthase_activity	Remaining
0159_AB10_26199_20181001_ST	3527026	2092.33333333333	1	71.5	0	292	12	425	102	735.833333333333	43	1195	529	846.833333333334	338.333333333333	82.8833333333333	0	0	798.5	0	0	0	1432.33333333333	1418	42.5	447.183333333333	14.1666666666667	0	14.8333333333333	1	0	1	4.66666666666667	525.5	2	23.25	3.5	6.5	373.666666666667	13.5333333333333	40	0	0	4.66666666666667	0	0	1.5	50.5	2	70	77.8333333333333	326.166666666667	472.833333333333	1	0	0	0	0.866666666666667	0	0	0	0.333333333333333	0	0	0	0	3514089.45
0159_AB10_30154_20181102_ST	3505909	2416.9	0	107.5	0	381	0.666666666666667	280.5	80	879.5	40	1259	710	782.416666666667	364.75	38.0833333333333	0	0	409.25	0	0	0	1684.16666666667	1167	7	496.116666666667	0	0.583333333333333	2.33333333333333	0	0	0	0	312.5	0	28.0833333333333	0	0.5	114.5	7.33333333333333	19	0.333333333333333	0	0	0	1	0	24.5	6	11	44.5	455.166666666667	327.666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	3493450.15
0159_AJ09_750012_20190215_ST	3490121	1693.33333333333	0	114	0	368	9.5	33.5	2	981.833333333333	103.5	1515.16666666667	727.5	1001.33333333333	359.583333333333	27.9166666666667	0	0.583333333333333	286.5	0	0	0	1523.16666666667	1492.33333333333	45	300.016666666667	0	0.25	34.7	0	0	0	9.83333333333333	548	0	36.6666666666667	0	0.583333333333333	154.666666666667	3.66666666666667	34	0.333333333333333	0	0	0	1	0	57	1	53	3.66666666666667	349.166666666667	462.833333333333	0	0	0.25	0	0	0	0	0	0	0	0	0	0	3477785.61666667
0159_AQ29_10021_20170912_ST	3485656	2131.66666666667	0	88	0	229.333333333333	0.333333333333333	236.5	129.5	516.4	26.3333333333333	1362.91666666667	426.5	805.083333333333	258.166666666667	38.0833333333333	0	1.33333333333333	847.25	0	0	1	1045.83333333333	1090.5	51.3333333333333	308.533333333333	0.333333333333333	3.66666666666667	14.1	0	0	1	0	780.5	0	57.3333333333333	0	1	470.833333333333	4.5	28.5	0.333333333333333	0	0	0	1	0	108.5	2	80	20.5	283.5	587	0	0	0	0	0	0	0	1.83333333333333	0	0	0	0	0	3473614.96666667
0159_AJ09_750049_20191008_ST	3482706	2526.33333333333	0	319	0	486.333333333333	5.66666666666667	779	233	1507.36666666667	81	1114	865	788.166666666666	593.083333333333	38.2833333333333	0	3.5	604.5	0	0	2	1006.66666666667	1016.5	9	658.05	1.66666666666667	4.75	22.2333333333333	0	0	22	1.5	152.5	0	27.3333333333333	6.5	4.5	813.5	7.08333333333333	9	0	0	0.833333333333333	0	11	0	15	0	35	38	582.333333333333	616	0	0	2.5	0	0	0	0	0	0	0	0	0	0	3467696.31666667
0159_AA34_42433_20190617_ST	3478049	1997.66666666667	0	166	0	185.166666666667	4	339.5	16	637.333333333333	17	1197.25	429	739.166666666667	200.583333333333	34.1166666666667	0	19.1666666666667	1250.5	0	0	0	702.333333333333	1234.5	28	278.983333333333	4.91666666666667	3	33.1666666666667	0	0	33	0	395.5	0	27.5	0.333333333333333	0.5	387.5	1.91666666666667	32	0.666666666666667	0	0	0	0	0	93	0	8	36.8333333333333	264.5	304	0	0	0	0	0	0	0	24.6666666666667	1	0	0	0	0	3466920.73333333
0159_AB18_100724_20190318_ST	3454698	1714.86666666667	1	35	0	295	1	531	124	761.333333333333	73	1020.33333333333	609	630.75	342.583333333333	2.48333333333333	0	0	633.333333333333	0	0	0	1083.16666666667	1128.5	59	593.9	0	4.83333333333333	18.5333333333333	5	0	2	3.66666666666667	283	2.66666666666667	101.75	3.83333333333333	3	393	0.333333333333333	34	1	0	6.16666666666667	0	8	0	14.5	25	9	181.5	297	432.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	3443228.63333333
0159_AB10_26133_20180725_ST	3453008	2016.5	0	98	0	365	0.333333333333333	332.5	142	697.5	58.5	1156.33333333333	474	651.083333333333	341.25	34.3333333333333	0	0	1095.16666666667	0	0	0	1445.83333333333	1370.83333333333	22.5	521.233333333333	0	0.25	25.6666666666667	0	0	1	0.5	465	0	74.1666666666667	1.5	9.5	758.166666666667	5.83333333333333	87	1	0	0	0	3	0	15	13	2	73.5	247.166666666667	570.5	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	3439831.01666667
0159_AQ29_10103_20180714_ST	3429215	2208.06666666667	0	191	0	257	0.333333333333333	256	230	675.7	63	1327	444	665.2	378.916666666667	12.4166666666667	0	0	1099.41666666667	0	0	0	1874.33333333333	1394	40.5	521.266666666667	2.83333333333333	4.08333333333333	29.6666666666667	4	0	1	0	712	0	70.0833333333333	0	7.5	860.666666666667	3.16666666666667	69	4.66666666666667	0	0	0	5	0	25.5	10	2	16.3333333333333	220.666666666667	710.333333333333	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	3414818.01666667
0159_AA34_42139_201900301_ST	3426723	2174.33333333333	0	45	0	349	0	375	51	573.833333333333	106.5	1098.83333333333	700	754.916666666666	333.25	19.0666666666667	0	0	514	0	0	0	1873	1448	82.5	413.833333333333	2.5	10.5833333333333	3.5	0	0	0	0	395	0	51.6666666666667	7.83333333333333	1	722.833333333333	5.16666666666667	54	0	0	0	0	0	0	11.5	4	21	133.833333333333	369.333333333333	532.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3413484.68333333
