sample_id	total	organic_cyclic_compound_metabolic_process	allantoin_metabolic_process	nucleobase_containing_compound_metabolic_process	biotin_metabolic_process	steroid_metabolic_process	aromatic_amino_acid_family_metabolic_process	lipoate_metabolic_process	phenylpropanoid_metabolic_process	phenol_containing_compound_metabolic_process	s_triazine_compound_metabolic_process	nicotianamine_metabolic_process	beta_lactam_antibiotic_metabolic_process	tetrapyrrole_metabolic_process	isoquinoline_alkaloid_metabolic_process	furaldehyde_metabolic_process	kynurenic_acid_metabolic_process	vitamin_E_metabolic_process	ectoine_metabolic_process	indole_containing_compound_metabolic_process	benzene_containing_compound_metabolic_process	pteridine_containing_compound_metabolic_process	flavin_containing_compound_metabolic_process	molybdopterin_cofactor_metabolic_process	daunorubicin_metabolic_process	doxorubicin_metabolic_process	ommochrome_metabolic_process	X3__3_hydroxy_phenylpropionate_metabolic_process	creatinine_metabolic_process	F420_0_metabolic_process	thiazole_metabolic_process	pyrrolysine_metabolic_process	purine_containing_compound_metabolic_process	pyridine_containing_compound_metabolic_process	pyrimidine_containing_compound_metabolic_process	epoxide_metabolic_process	lactone_metabolic_process	organic_cyclic_compound_catabolic_process	organic_cyclic_compound_biosynthetic_process	organic_heteropentacyclic_compound_metabolic_process	methanofuran_metabolic_process	Remaining
0159_AA34_42337_20190123_ST	24401	0	0	314.943286751257	0.410714285714286	19.0833333333333	8.61555555555556	0	0	0.191666666666667	0	0	0.516666666666665	11.8140046296296	0	0	0	0	0	0.386944444444444	3.35	5.81770833333333	3.2625	0.583333333333333	0	0	0	0	0	0	0.0111111111111111	0	13.510691872428	14.003125	10.9738387345679	0	0	7.74541666666666	57.5124875685871	0	0	23928.2676150467
0159_AA34_42073_20180514_ST	23303	0	0.075	262.121727537723	0.651785714285714	21.25	8.43444444444444	0	0	0.519675925925926	0	0	0.65	16.5901620370371	0	0	0	0	0	0.517222222222222	3.10555555555556	9.50810185185185	3.26666666666666	1.03333333333333	0	0	0	0.025	0	0	0	0	14.8824151234568	13.5244791666667	10.5283757716049	0	0.116666666666667	8.29462962962963	55.9261213991769	0	0	22871.9786369538
0159_AP39_21185_20180121_ST	23195	0	0.075	250.217438414495	0.660714285714286	24.0833333333333	6.96777777777778	0	0	0.444444444444444	0	0	0.25	14.0758101851852	0	0	0	0	0.2	0.688333333333333	2.89444444444444	8.09837962962963	3.1625	0.833333333333333	0	0	0	0	0.166666666666667	0	0	0	13.5424459876543	13.6279513888889	10.2609066358025	0	0.10462962962963	6.4512037037037	57.2841310871056	0	0	22780.9105557189
0159_AP39_21232_20180924_ST	23173	0.166666666666667	0.025	257.766939744699	0.464285714285714	25.7194444444444	5.77925925925926	0	0	0.0717592592592592	0	0	0.45	19.4049768518519	0	0	0	0	0	0.568425925925925	1.95	9.63946759259258	2.99166666666667	0.616666666666667	0	0	0	0	0.125	0	0	0	14.7477906378601	12.01875	11.294162808642	0	0.10462962962963	6.1246164021164	53.7266843426484	0	0	22749.2438073868
0159_BD46_77028_20180919_ST	23158	0	0.233333333333333	217.406632373114	0.821428571428571	10.5833333333333	7.80777777777777	0	0	1.52083333333333	0	0	0.516666666666665	23.5225694444444	0	0	0	0	0	0.855555555555556	3.47777777777778	11.6779513888889	4.20277777777778	1.56666666666667	0	0	0	0.3	0	0	0.0416666666666667	0	14.2426877572016	8.74409722222222	10.3000270061728	0	0.308796296296296	9.90042438271605	56.4877655606996	0	0	22773.4812311079
0159_BE31_82030_20200116_ST	23158	0	0.1	259.932385545267	0.303571428571429	38.5	7.81111111111111	0	0	0.0479166666666667	0	0	0.266666666666667	14.9927083333333	0	0	0	0	0	0.260555555555556	1.80833333333333	10.0686177248677	3.06666666666667	1.38333333333333	0	0	0	0	0	0	0.00833333333333333	0	14.1588605967078	11.4184027777778	11.8935532407407	0	0.116666666666667	6.83114197530864	57.1201234567901	0	0	22717.9110515873
0159_AA34_42444_20190706_ST	22821	0	0.1	243.508213795806	0.3125	25.5833333333333	5.21222222222222	0	0	0	0	0	0.591666666666665	9.74768518518518	0	0	0	0	0	0.532777777777778	3.48333333333333	8.90393518518519	3.54166666666667	0.916666666666667	0	0	0	0	0.166666666666667	0	0	0	9.84659979423868	8.44461805555556	6.9405362654321	0	0	8.86694444444444	44.973420781893	0	0	22439.3272131589
0159_AA34_42021_20181004_ST	22501	0	0.075	237.867765603567	0.580357142857143	11.25	7.08111111111111	0	0	0.0798611111111111	0	0	0.391666666666667	16.5377314814815	0	0	0	0	0	0.493888888888889	3.475	9.85011574074074	3.33333333333333	0.816666666666667	0	0	0	0	0	0	0.0222222222222222	0	12.3471424897119	11.6743055555556	7.52494984567901	0	0.116666666666667	8.19726851851852	52.2494431584362	0	0	22117.0355037968
0159_AP39_21196_20171219_ST	22486	0	0.1	240.461051926155	0.4375	30.4166666666667	8.16555555555555	0	0	0.159722222222222	0	0	0.425	17.0663194444444	0	0	0	0	0	0.624166666666667	3.11666666666667	8.08449074074074	2.99027777777778	0.6	0	0	0	0	0	0	0	0	11.4386908436214	9.73784722222222	12.5791242283951	0	0	7.11708333333333	51.2794371570645	0	0	22081.2003995485
0159_BE31_82034_20200109_ST	22339	0	0.1	254.017985396662	0.321428571428571	33.75	8.48981481481481	0	0	0.334953703703704	0	0	0.175	14.0511574074074	0	0	0	0	0.2	0.645555555555556	2.34166666666667	8.35243055555556	2.35694444444444	1.21111111111111	0	0	0	0	0	0	0	0	16.0316152263375	12.7791666666667	11.6785725308642	0	0.221296296296296	6.84851851851852	58.1658581961591	0	0	21906.9269243378
