sample_id	total	oxidoreductase_complex	glycine_cleavage_complex	ribonucleoside_diphosphate_reductase_complex	nitrate_reductase_complex	formate_dehydrogenase_complex	glycerol_3_phosphate_dehydrogenase_complex	glycolate_oxidase_complex	ferredoxin_hydrogenase_complex	photosystem_II_oxygen_evolving_complex	procollagen_proline_4_dioxygenase_complex	nitrogenase_complex	glycine_reductase_complex	NADH_dehydrogenase_complex	sarcosine_oxidase_complex	dihydrolipoyl_dehydrogenase_complex	isocitrate_dehydrogenase_complex__NAD__	electron_transfer_flavoprotein_complex	pyruvate_dehydrogenase_complex	respiratory_chain_complex_III	succinate_dehydrogenase_complex	catalase_complex	GMP_reductase_complex	superoxide_dismutase_complex	ferroxidase_complex	Remaining
0159_AA34_42167_20190116_ST	3303725	0	534.5	15	57	328.166666666667	3133.66666666667	10	55.75	0.25	0	0	231	86.3333333333333	0	1.125	0.5	0	175.75	0.375	0.75	0	37	0	10.6666666666667	3299047.16666667
0159_AY44_33038_20170923_ST	3295228	0	483	13	67.1666666666667	131.5	3314.33333333333	2	30.25	14.75	0	0	38	73.1666666666665	0	7.5	0	0	141.5	0.125	0	0	26	0	19	3290866.70833334
0159_AB18_26387_20190207_ST	3291701	0	644.5	51.5	92.6666666666667	134.333333333333	2852.5	9	89	0	0	0	793	97.8333333333335	0	7.5	0.5	0	67	0.75	0	0	25	0	50.3333333333333	3286785.58333333
0159_AP39_21366_20180409_ST_E21	3278685	0	378	55	163.833333333333	443.583333333333	3180.16666666667	7	141.75	1.25	0	1	348	135.916666666667	0	25.75	0.25	0	343.5	0	1	0	13	0	24.3333333333333	3273421.66666666
0159_AY44_33014_20171028_ST	3254499	0	377	52	35.3333333333333	199.166666666667	4152.66666666667	7	133.75	0	0	0	125	58.8333333333333	0	1.125	0.5	0	112	0.25	0	0	54	0	5	3249185.375
0159_AB18_103908_20190628_ST	3253813	0	445.5	166	475.666666666667	342.166666666667	3147	0	148.25	0	0	0	304	149.666666666667	0	1.25	0	0	106.5	0	0.25	0	17	0	24	3248485.75
0159_AQ22_10403_20170906_ST	3252325	0	500.75	1397.5	4304.83333333333	4034.5	4173.16666666667	186	640.75	0	0	0	29	210.416666666667	0	226.4375	0	0	1385.875	0.25	41.25	0	958	0	575.333333333333	3233660.9375
0159_AB18_26819_20210307_ST	3232306	1	537.25	14	138.666666666667	302	2713.66666666667	0	131.25	1.5	0	0	446	94.25	0	40.75	0	0	422.5	0.625	0	0	8	0	3.66666666666667	3227450.875
0159_AB18_100901_20190301_ST	3222286	0	304	77	140.833333333333	216.166666666667	2287.66666666667	1	21.5	0	0	0	136	65.5833333333333	0	12	0.25	0	81.25	0	0	0	68	0	26.6666666666667	3218848.08333334
0159_AQ29_10145_20190623_ST	3206108	2	365.75	73	110.333333333333	277.666666666667	4724.5	5	49.5	0	0	0	312	14.4166666666667	0	14.625	1	0	500.75	0.125	0	0	7	0	8.66666666666667	3199641.66666666
0159_AY44_33310_20200114_ST	3195577	0	417.25	75	85.8333333333333	304	3079.33333333333	4	24.75	1.25	0	0	164	60.1666666666667	0	4.4375	0.625	0	238.375	0.25	0.25	0	26	0	39	3191052.47916667
