sample_id	total	organonitrogen_compound_metabolic_process	sulfur_amino_acid_metabolic_process	allantoin_metabolic_process	aminoglycan_metabolic_process	N_acetylneuraminate_metabolic_process	peptide_metabolic_process	cellular_amino_acid_metabolic_process	cellular_modified_amino_acid_metabolic_process	sphingolipid_metabolic_process	biotin_metabolic_process	nucleobase_metabolic_process	nucleoside_metabolic_process	amine_metabolic_process	cyanate_metabolic_process	alkaloid_metabolic_process	s_triazine_compound_metabolic_process	taurine_metabolic_process	protein_metabolic_process	urea_metabolic_process	glucosinolate_metabolic_process	wybutosine_metabolic_process	tetrapyrrole_metabolic_process	kynurenic_acid_metabolic_process	ectoine_metabolic_process	indole_containing_compound_metabolic_process	pteridine_containing_compound_metabolic_process	flavin_containing_compound_metabolic_process	achromobactin_metabolic_process	molybdopterin_cofactor_metabolic_process	formamide_metabolic_process	creatinine_metabolic_process	phosphatidylcholine_metabolic_process	F420_0_metabolic_process	thiazole_metabolic_process	N_acylphosphatidylethanolamine_metabolic_process	purine_containing_compound_metabolic_process	pyridine_containing_compound_metabolic_process	pyrimidine_containing_compound_metabolic_process	primary_amino_compound_metabolic_process	organonitrogen_compound_catabolic_process	organonitrogen_compound_biosynthetic_process	Remaining
0159_AZ03_32062_20191002_ST	2843207	1131.48333333333	1456.42523148148	4.08333333333333	7190.86513447972	51.0739583333333	5132.83078703704	50223.6402404468	1384.44178571429	473.717592592593	32.625	1454.07514880952	2980.61631944444	2480.01324074074	1.66666666666667	1.66666666666667	0.0428571428571429	0.85	64888.7092261903	22.8125	0	0	1454.9275462963	0	0.45	51.7574259259259	1102.72255566578	349.187222222222	0	123.583333333333	287.222222222222	0.208333333333333	0	3.4	0.9	0	1703.84073705418	1486.04760416667	1372.17855268959	24.0416666666667	2978.26687529394	12706.0578329537	2680650.56906976
0159_AA34_42436_20190628_ST	2840418	1396.2	1731.0775462963	13.1833333333333	7434.65145502646	68.1354166666667	3590.87523148148	47932.3436203704	1104.10778769841	70.9074074074074	58.4196428571429	1738.26770833333	1904.81658950617	4071.18416666666	0.666666666666667	11.3333333333333	0.128571428571429	0	51849.4939814815	139.9375	0	0	2420.27025462963	0	0.65	94.9983888888889	1078.16633597884	338.402777777778	0	275.366666666667	14.3611111111111	0.291666666666667	0	0	0.0333333333333333	0	1932.81362294239	1589.35677083333	1268.91668209877	11.4375	2607.60008134921	13983.7408364565	2691685.86401271
0159_AP39_21447_20180809_ST_E21	2825100	2347.25	1380.17106481481	21.7416666666667	7247.13184523809	79.7656250000001	4682.34675925926	46178.4280141094	1992.10665178571	579.372427983539	70.4642857142857	1494.45535714286	2956.96149691358	3167.44481481481	29.3333333333333	0	0.0428571428571429	0	61738.0697751324	25.6875	0	0	1882.81226851852	0.1	0	68.3445462962964	1013.88370535714	422.311111111111	0	120.222222222222	390.361111111112	0.5	28.8333333333333	0	1.93888888888889	0	1550.1474938639	1296.37332175926	1112.66674823633	131.229166666667	3485.04531025867	11887.3895197678	2667717.06777756
0159_AA34_42143_20180613_ST	2821354	1511.86666666667	1412.95902777778	5.73333333333334	6914.17762896825	37.828125	4822.91157407407	49004.9571825397	1479.6778125	643.336419753086	52.4598214285714	1237.94508928571	2932.92916666667	2742.64108796296	6	3.33333333333333	0	0	67071.0121362433	15.09375	0	0	1591.09189814815	0	1.5	64.4180092592592	1132.47888558201	421.260416666666	0	109.461111111111	335.722222222222	0.625	5.91666666666665	0	1.91666666666667	0	1547.95683862434	1451.17324074074	1196.47426642416	63.1875	3016.33989583333	12118.6884656085	2658400.92676091
0159_AY44_33244_20191018_ST	2819365	1523.68333333333	1299.91805555556	3.075	6452.15042989418	38.0729166666667	5023.03564814815	46975.9372932099	1234.6231547619	1110.99845679012	45.3839285714286	1350.05625	2893.18441358025	2478.77918981482	0.666666666666667	2	0.0428571428571429	0	65219.5529320988	39.2916666666667	0	0	1693.59791666666	0	0.85	51.1598240740741	1013.27823247355	353.012222222222	0	128.511111111111	356.486111111112	0.333333333333333	0	0.2	2.70833333333333	0	1563.99556169165	1415.99224537037	1227.20861496914	26.25	2900.75978483245	12021.9081218768	2660918.29639403
0159_AQ29_10111_20180816_ST	2815018	783.916666666667	1669.09722222222	4.65833333333333	7174.98330026454	44.61875	5675.35925925926	50208.8008333333	1538.46635912698	431.723765432099	19.2946428571429	1264.859375	3302.07619598765	3110.89583333333	1.33333333333333	2	0	0.2	71469.7888117283	4.625	0	0	1331.42372685185	0	0.55	61.7558333333333	1167.58386243386	367.266666666667	0	110.494444444444	266.472222222222	0.916666666666667	0	0	1.5	0	1701.49727829218	1440.21319444444	1225.8524691358	17.875	2944.03433256173	12402.4200084509	2645271.44661262
0159_AK37_71067_20190831_ST	2795794	1118.78333333333	1303.40277777778	7.37499999999998	6774.99538690476	135.96875	4766.3162037037	45425.4234991182	1311.51119047619	381.91975308642	57.2232142857143	1207.01041666667	3001.89575617284	2915.01136574074	0	0	0.342857142857143	0	66208.1008597882	13.8125	0	0	1467.90486111111	0	1.1	55.9269537037036	942.35765542328	448.428472222222	0	86.2484126984126	408.083333333333	1	0	0	1.63333333333333	0	1535.59689686214	1272.49641203704	1142.0690162037	17.7291666666667	3106.91755875221	11408.2231507202	2639269.19191274
0159_AK37_71028_20180917_ST	2795635	1450.06666666667	1392.85925925926	12.575	7595.32491732803	32.546875	5169.49722222222	46044.8168716931	1603.77751488095	820.507716049383	70.5357142857143	1177.63958333333	2838.33703703704	3104.48182870371	0	1.33333333333333	0.0428571428571429	0	68049.4948743385	25.4791666666667	0	0	1790.81655092593	0	0.65	75.3112962962964	1131.26720403439	387.193055555556	0	92.6722222222223	334.694444444445	0.625	6.41666666666665	0	1.92777777777778	0	1404.78575999412	1399.171875	1051.3022944224	133.458333333333	3222.6813640873	11794.31379648	2633418.39592082
0159_AY44_33309_20200130_ST	2791577	1852.15	1618.42222222222	4.19166666666667	6939.90532407406	37.2239583333334	4655.03842592593	49306.0671741623	1349.99213293651	701.948302469136	38.3035714285714	1350.24702380952	2577.63796296296	2668.15048611111	8.33333333333333	0.666666666666667	0	0	59514.6542438273	44.6041666666667	0	0	1784.79652777778	0	5.2	80.5699166666667	1108.70442294973	362.174305555556	0	104.338888888889	248.833333333333	0.333333333333333	0.25	0.8	0.4	0	1660.9079840535	1527.1853125	1249.74181272046	18.7708333333333	2630.87166975308	12876.20410255	2635249.38089499
0159_AB10_103179_20180717_ST	2789959	845.983333333333	1397.07569444444	2.89166666666667	7347.84446097884	36.6197916666667	5381.40648148148	46843.1993253968	1410.40903273809	623.90329218107	53.5178571428571	1212.92708333333	2830.0131558642	2708.08472222222	0.666666666666667	2	0	0	64367.2875771605	16.6041666666667	0	0	1461.32134589947	0	1.5	67.0288888888889	1108.20330687831	411.090277777778	0	99.2833333333333	290.083333333333	0.0833333333333333	0	0	1.22222222222222	0	1582.67625180041	1430.93929398148	1128.23294753086	13.0625	2997.94133616255	12165.1148532113	2632120.7824677
0159_AB18_26423_20190311_ST	2785379	2148.76666666667	1465.22361111111	12.725	7528.11008597883	59.0052083333333	4396.80591931217	45382.4887522046	1931.63005952381	688.530864197531	80.6741071428571	1526.540625	2858.82461419753	3493.00324074074	53	0	0.385714285714286	0	57472.287180335	16.1041666666667	0	0	2084.74016203704	0.0333333333333333	0	68.3323148148148	1058.51351686508	423.692361111111	0	123.6	414.111111111112	0.625	0.75	0	2.55277777777778	0	1459.26442511758	1221.76732638889	1046.13718022487	127.770833333333	3552.94188932981	12248.1752452234	2632431.88670764
0159_AV42_66185_20190913_ST	2783152	1552.76666666667	1251.54768518519	14.5166666666667	7042.8085813492	45.4947916666667	5869.66689814815	43853.6015718695	1751.02935515873	667.220679012346	57.4017857142857	1360.21666666667	2837.00162037037	2512.34560185185	0.333333333333333	0	0.0428571428571429	0	64287.0362103176	19	0	0	1529.34828042328	0	4.05	54.2662037037036	1038.14644510582	433.169444444444	0	115.986111111111	372.027777777778	1.45833333333333	20.25	0	2.39444444444444	0	1389.06897582305	1198.80946759259	1100.85908950617	101.479166666667	3312.42862378748	11193.6918079439	2628162.53485722
0159_AY44_33242_20191007_ST	2780786	747.366666666667	1636.95208333333	3.76666666666667	7022.03174603173	37.2291666666667	5563.9099537037	50992.0154325397	1464.15956349206	342.424382716049	29.8303571428571	1309.328125	3093.46219135802	2882.79840277778	0.333333333333333	2.33333333333333	0.0428571428571429	0	68123.1643518517	11.0694444444444	0	0	1756.63854166667	0	0.3	65.0765833333333	1106.29694940476	449.8	0	114.6	202.361111111112	1.04166666666667	0	0	0.36388888888889	0	1690.83846527778	1445.71131944444	1236.78894290123	15.9583333333333	2858.95059501764	12802.5780406746	2613776.47750408
0159_AA34_42111_20180531_ST	2774020	1446	1557.69930555556	10.8083333333333	7725.13998015872	43.6979166666667	5751.73634259259	51282.2341402117	1809.11071097883	709.655864197531	73.0803571428571	1111.22395833333	2983.35285493827	2520.87766203704	0.333333333333333	0	0.0857142857142857	0	61329.4972222223	6.70833333333333	0	0	1498.67175925926	0	0.3	93.7336574074075	1158.11821814374	435.097222222222	0	63.388888888889	553.861111111112	0.791666666666667	0.25	0	0.127777777777778	0	1631.06281584362	1281.9859375	1121.38129243827	11.5625	3196.76805886243	12990.8605713551	2611620.7964932
0159_AB10_26504_20190520_ST	2771561	1521.83333333333	1322.92986111111	3.975	7466.23277116402	44.0052083333333	5182.04722222222	47466.0397905644	1646.68260912698	504.66512345679	75.5267857142857	1094.72514880952	3285.7399691358	2806.73796296296	0	0	0	0	68163.7972222221	19.625	0	0	1593.40104166667	0	0.2	69.5906481481481	1148.11505456349	429.525	0	68.4222222222223	575.277777777778	1.08333333333333	0.666666666666665	0	1.65555555555556	0	1512.76888168724	1385.70520833333	989.786002535273	16.2291666666667	3355.39888888889	11674.0746496546	2608134.53689414
0159_AA34_42250_20180920_ST	2758467	483.233333333333	1085.65347222222	25.125	5162.12247023809	101.260416666667	4081.28611111111	43927.9754938272	1898.60733134921	5.67901234567901	97.4285714285714	2044.13229166667	4008.94945987654	1483.47673611111	4	0	0	0	52969.1409722221	97.2291666666667	0	0	2215.99733796296	0	0	21.2119444444444	1396.04934689153	422.249166666667	0	190.25	199.416666666667	0.416666666666667	2.5	0	0.291666666666667	0	1986.50797483098	1196.74503472222	1274.54493551587	16.2291666666667	2961.83789076279	11476.5701914315	2617630.88217104
0159_AY44_33001_20170915_ST	2756823	1378.06666666667	1573.27037037037	7.275	7002.6947089947	50.2499999999999	4630.17199074074	50347.7152976191	1702.975	236.986111111111	69.4508928571428	1156.13348214286	3216.9236882716	3120.66018518518	3.66666666666667	0	0.0428571428571429	0	65339.6075727512	11.3541666666667	0	0	1813.16979166667	0	9.2	76.7248148148147	1229.78034060847	440.652777777778	0	79.2277777777777	488.833333333333	1.08333333333333	7.83333333333333	0	0.594444444444443	0	1543.73207317999	1455.97989583333	1205.21371491035	79.2916666666667	3286.87044973545	12555.728631047	2592701.83896435
0159_BA21_18028_20180102_ST	2753628	504.916666666667	1676.38888888889	2.73333333333333	7507.81815476192	47.1927083333333	5443.90925925926	49315.783558201	1556.45838789683	363.39737654321	14.5089285714286	1172.73139880952	3287.25115740741	2968.81296296296	0	1.33333333333333	0	0	72891.1976080246	7.02083333333333	0	0	1149.81030092593	0	7.1	67.7473148148147	1212.82914186508	363.856111111111	0	73.1277777777777	194.138888888888	0.0833333333333333	0.166666666666667	0	2.08888888888889	0	1613.07700128601	1425.93246527778	1193.20526565256	9.47916666666667	2835.71260802469	11856.0929923574	2584862.09752013
0159_AB10_26205_20181105_ST	2752625	1013.91666666667	1337.9662037037	8.35	6798.0199570106	45.2229166666667	4805.33842592593	43471.6804938272	1274.28260912698	1121.49228395062	58.1875	1012.34479166667	2406.92361111111	2644.51296296296	0	2	0	0	61714.0971450617	24.9166666666667	0	0	1447.13900462963	0	0	70.4950925925925	1039.5302744709	366.363888888889	0	116.394444444444	367.638888888888	3.625	0	0	0.377777777777777	0	1394.84495781893	1271.60208333333	975.93386574074	5.25	2850.40211805556	11167.3240788507	2603808.82629016
0159_AZ03_32087_20191111_STLS	2739361	1294.95476190476	1376.97268518519	9.85000000000002	6975.78123346562	51.8072916666666	4338.94467592592	49198.0106053792	1344.75802579365	257.920524691358	32.875	1509.55208333333	2704.56581790123	2215.06731481482	0.333333333333333	1.33333333333333	0.385714285714286	0	62023.9966329967	60.0416666666667	0	0	1772.42208994709	0	1.75	66.9120185185186	1166.60324900794	318.505972222222	0	126.275	272.083333333333	1.29166666666667	2	7.1	1.86666666666667	0	1708.43774322702	1449.66868055556	1291.20827289095	33.1875	3079.27328031305	12757.6277407285	2581907.63608525
0159_AJ09_750054_20191020_ST	2734195	1298.1	1340.4025462963	6.41666666666668	6893.58326719575	77.546875	4656.91898148148	47334.8777865961	1366.99747023809	613.791666666665	40.9285714285714	1270.7125	2610.6987654321	2683.54317129629	1.66666666666667	4	0.128571428571429	0	60186.4557208995	28.3125	0	0	1589.25500992063	0	9.25	63.7516203703703	1125.45407572751	367.113888888889	0	103.466666666667	311.25	1.95833333333333	0.166666666666667	0	1	0	1529.42933634627	1379.24126157407	1156.32630180776	44.5416666666667	2818.27959656085	11996.0846385148	2581283.34920966
0159_AB18_26428_20190409_ST	2732287	1580.16666666667	1516.73819444444	7.98333333333333	7057.76979166667	87.578125	4225.83091931217	47517.0995194004	1417.38596891534	226.000514403292	58.3080357142857	1340.07916666667	2593.34147376543	2836.57835648148	1.66666666666667	0.666666666666667	0.0857142857142857	0	58981.0265652558	44.8333333333333	0	0	1973.5119212963	2.36666666666667	0.55	68.5624074074075	1068.57986662257	388.934027777778	0	173.283333333333	286.083333333333	1.54166666666667	0.75	0	0.93888888888889	0	1604.75659847149	1276.41875	1197.52004905203	130.708333333333	3087.81384883892	12755.1445528366	2578776.3967435
0159_AA34_42455_20190812_ST	2718597	1234.73333333333	1757.95046296296	23.3166666666666	8244.96676587301	54.390625	4437.68402777778	53234.4875462963	2053.19609126984	203.816358024691	52.8125	1718.8587797619	2902.28032407407	2615.23217592593	12.3333333333333	0	0	0	58416.3200416868	20.1666666666667	0	0	2219.19513888889	0	0	105.450462962963	978.189360119047	284.678472222222	0	180.983333333333	88.6944444444445	9.625	7.58333333333335	0	1.73055555555556	0	1988.17990012003	1263.81211805556	1445.64051660788	43.7083333333333	2749.07225278579	15073.1824059989	2555174.72867359
0159_AA34_42097_20180525_ST	2699752	2384.08333333333	1699.47777777778	6.225	6584.66208664022	41.1145833333333	3944.55300925926	52271.3200440917	1212.09816468254	555.027777777778	30.2767857142857	1474.39583333333	2393.76350308642	2893.92453703704	5	0.666666666666667	0	0	55444.6974537038	98.9583333333333	0	0	1899.93564814815	0	0	79.7546296296297	973.536871693123	341.181944444445	0	152.861111111111	125.055555555556	0.416666666666667	0	0	0.508333333333333	0	1758.14281018518	1468.29461805556	1352.08974537037	7.41666666666667	2546.31371527778	13255.9872762346	2544750.25951786
0159_AP39_21389_20180425_ST_E21	2690211	1352.65	1141.24166666667	4.675	7065.64732142856	132.098958333333	5065.97314814815	41652.8265679012	1283.04598710318	635.486111111111	51.8005952380952	1036.765625	2787.6268132716	2614.65615740741	0	2.66666666666667	0	0	62073.5123787477	35.1527777777778	0	0	1371.71122685185	0	0.05	52.2407037037036	969.158258928573	406.646527777778	0	56.2055555555554	447.222222222222	2.79166666666667	0	0	0.558333333333333	0	1363.62001484421	1156.06267361111	937.053653916814	52.6666666666667	3252.35667416226	10001.5376339286	2543205.29241303
0159_AB18_100660_20190502_ST	2688229	1194.31666666667	1244.7912037037	5.73333333333334	6896.29841820987	31.2864583333333	5107.01689814815	43582.7464697237	1395.38596230159	1083.36574074074	53.0535714285714	1066.31458333333	2837.20733024691	2569.5443287037	0	1.66666666666667	0.128571428571429	0.25	64062.642361111	28.3958333333333	0	0	1517.33935185185	0	0.15	59.0806018518519	1093.79600694445	417.828888888889	0	80.9499999999999	376.75	1.04166666666667	1.66666666666667	0.2	1.27777777777778	0	1373.61171041544	1308.58048611111	1013.89171369782	61.3958333333333	3009.06145998677	10834.6528419557	2535917.58059644
0159_BE31_82027_20191115_ST	2686570	1152.23333333333	1356.60046296296	5.65833333333333	6472.51674933863	80.6666666666667	5324.98773148148	45563.6328597884	1298.08190476191	798.62962962963	48.0089285714286	1106.53854166667	2541.40169753086	2488.38509259259	0.666666666666667	0.666666666666667	0.0428571428571429	0	59873.6165013227	24.4479166666667	0	0	1563.47179232804	0	0.2	67.1244074074075	997.017700066138	342.250694444444	0	117.166666666667	304.25	0.791666666666667	0	0.2	0.705555555555557	0	1468.9755462963	1255.41336805555	1023.70511959877	13.3958333333333	2772.85886276455	11745.2759722222	2536760.41427447
0159_AB10_26204_20180827_ST	2671910	1068.9	1283.2875	4.6	6745.03695436509	38.2916666666667	4608.39513888889	44181.4211463845	1297.83096230159	631.263888888889	52.7053571428571	1243.97708333333	2718.67947530864	2464.40138888889	0	0.666666666666667	0.0857142857142857	0	59139.9823412697	15.1666666666667	0	0	1330.02581018518	0	2.2	62.9661111111111	1014.39055059524	453.235416666667	0	80.4333333333333	179.555555555555	0.583333333333333	1	0	0.3	0	1572.41282355967	1409.57100694444	1089.19394290123	27.5	2794.89205191799	11324.4340358613	2525072.61407698
0159_AA34_42083_20180504_ST	2671740	1403.5	1394.93564814815	11.7083333333333	6849.24135802468	31.96875	4078.40231481481	49962.9351760729	1353.01824074074	485.541666666667	63.375	1121.48883928572	2772.68325617284	2550.49053240741	1	2	0.0857142857142857	0	57606.841898148	13	0	0	1651.65347222222	0	0.75	63.870287037037	1037.9466242284	371.322222222222	0	92.9222222222223	407.5	1.08333333333333	0	0	0.263888888888889	0	1483.99490483539	1283.41388888889	1103.52990244709	25.3333333333333	3054.09641843034	11997.1026131687	2519463.00016064
0159_AB10_26010_20180604_ST	2669930	1079.38333333333	1346.54305555556	2.975	6611.74148478836	37.7604166666666	4547.42638888889	45614.9926455027	1392.63608134921	508.109567901235	42.8660714285714	1116.85	2720.31574074074	2350.86574074074	12	1.66666666666667	0	0.1	59995.5297839505	22.2458333333333	0	0	1434.21481481481	0	4.45	59.8825925925925	1101.66852678571	366.438888888889	0	84.9833333333333	339.805555555555	0.541666666666667	0	0	0.211111111111111	0	1462.72736702675	1385.76496527778	1121.77127700617	24.2291666666667	2739.54980324074	11763.0911625514	2520636.66195764
0159_AY44_33047_20170930_ST	2626485	2441.03333333333	1230.34166666667	20.0166666666667	6518.8958994709	46.4270833333334	4996.77060185185	43835.2507385361	2198.48368055556	578.784979423868	63.9732142857143	1526.72083333333	2685.63233024691	3275.13553240741	39.3333333333333	0.666666666666667	0	0	59169.8805555555	12.9791666666667	0	0	1730.08981481481	0	0	58.1492592592592	998.631737764551	476.770138888889	0	123.661111111111	403.75	0.541666666666667	42.5833333333333	0	2.87777777777778	0	1432.45595091123	1150.19711805556	1085.57138227513	200.958333333333	3576.29618533216	10920.7216437022	2475641.41826444
0159_AY44_33295_20200114_ST	2619570	1025.18333333333	1497.97152777778	6.25	6859.23935185185	30.1041666666667	4566.64384920635	50445.7378783069	1396.75424272487	308.310185185185	29.1160714285714	1525.10416666667	2900.24189814815	2687.20412037037	20.3333333333333	1.66666666666667	0	0.35	59581.2094356262	22.7916666666667	0	0	1636.57271825397	0	12.3	69.4581296296297	1062.60757826279	329.540694444445	0	88.3444444444443	290.833333333333	1.08333333333333	0.25	0	1.71666666666667	0	1769.80455426955	1517.46724537037	1304.29231095679	28.4375	2779.58905357143	12813.7573365266	2462959.73320698
0159_AB18_105395_20190806_ST	2618929	3068.83333333333	1306.35486111111	27.2166666666667	6111.97227182541	78.8020833333333	4025.64652777778	42096.2957495591	2356.63867063492	324.973765432099	68.4419642857143	1734.11979166667	2595.94822530864	3516.17777777778	62	0.666666666666667	0	0	55919.7766203704	21.0416666666667	0	0	1786.75821759259	0.433333333333333	0.25	64.14	893.061036706348	382.993055555556	0	151.602777777778	229.861111111112	0.166666666666667	63.25	0	2.61111111111111	0	1427.8399305923	1073.34141203704	1112.39508983686	256.458333333333	3483.94375385803	11067.5808348031	2473617.40669327
