sample_id	total	transferase_complex	X1_3_beta_D_glucan_synthase_complex	ubiquitin_ligase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	palmitoyltransferase_complex	alpha_alpha_trehalose_phosphate_synthase_complex__UDP_forming_	acetolactate_synthase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_farnesyltransferase_complex	Rab_protein_geranylgeranyltransferase_complex	serine_pyruvate_aminotransferase_complex	oligosaccharyltransferase_complex	aspartate_carbamoyltransferase_complex	riboflavin_synthase_complex	cellulose_synthase_complex	protein_N_acetylglucosaminyltransferase_complex	ubiquitin_conjugating_enzyme_complex	mannosyltransferase_complex	decaprenyl_diphosphate_synthase_complex	Atg12_Atg5_Atg16_complex	methyltransferase_complex	oxoglutarate_dehydrogenase_complex	methionine_adenosyltransferase_complex	transferase_complex__transferring_phosphorus_containing_groups	inositol_phosphoceramide_synthase_complex	SUMO_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_II_complex	acetyltransferase_complex	dehydrodolichyl_diphosphate_synthase_complex	Bre1_Rad6_ubiquitin_ligase_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_I_complex	Remaining
0159_AB10_26008_20180410_ST	1651008	0	0	0.5	0	0.333333333333333	0	19	0	0	0	0	0	417	429	0	23.5	0	0	0	0	5	2.5	0	10600.9166666667	0	17	0	0.125	0	0	0	0	0	0	0	1639493.125
0159_AP39_21699_20180811_ST	1646577	0	0	65.9749999999999	0	0	0	23	0	0	0	0	0	203	550	0	63.5	0	0	0	0	240	246.666666666666	0	13390.3714285714	0	0	0	0.5	0	0	0	0	0	0	0	1631793.98690476
0159_AB10_26254_20181210_ST	1644450	0	0	2.625	0	0	0	1	0	0	0	0	0	380	418	0	1.5	0	0	0	0	10	0	0	10650.5833333334	0	4	0	0	0	0	0	0	0	0	0	1632982.29166667
0159_AB10_26269_20181101_ST	1635025	0	0	0.5	0	0	1	56	0	0	0	0	0	254.4	509.5	0	0.166666666666666	0	0	0	0	29	3.75	0	12691.75	0	1	0	0.75	0	0	0	0	0	0	0	1621477.18333333
0159_AY44_33280_20191213_ST	1634008	0	0	1.66666666666667	0	0	0	23	0	0	0	0	0	356	421	0	1.75	0	0	0	0	25	4.5	0	11064	0	0	0	1.75	0	0	0	0	0	0	0	1622109.33333333
0159_AB10_26406_20190116_ST	1632519	0	0	1	0	0.333333333333333	7	9	0	0	0	0	0	350	462.5	0	1.33333333333334	0	0	0	0	40	7.25	0	11843.4583333333	0	5	0	0.25	0	0	0	0	0	0	0	1619791.875
0159_AN38_59010_20180102_ST	1630677	0	0	0	0	1	1	12	0	0	0	0	0	354.8	453	0	42.9166666666667	0	0	0	0	20	62.25	0	10642.1666666666	0	250.5	0	0	0	0	0	0	0	0	0	1618837.36666667
0159_AY44_33283_20191212_ST	1628962	0	0	1.16666666666667	0	0	0	22	0	0	0	0	0	413.6	456	0	23.6666666666667	0	0	0	0	59	19.9166666666667	0	11281	0	14	0	0	0	0	0	0	0	0	0	1616671.65
0159_AB10_103250_20181203_ST	1626361	0	0	0.0416666666666667	0	0.333333333333333	0	4	0	0	0	0	0	333	338	0	34.6666666666667	0	0	0	0	13	5	0	11124.8333333334	0	11	0	0.25	0	0	0	0	0	0	0	1614496.875
0159_AJ09_750026_20191016_ST	1619998	0	0	6	0	0.166666666666667	4	18	0	0	0	0	0	340	348	0	58.6666666666665	0	0	0	0	131	0.75	0	11564.375	0	4	0	1.5	0	0	0	0	0	0	0	1607521.54166667
0159_AP39_21133_20180203_ST	1618190	0	0	0	0	0	0	26	0	0	0	0	0	371	426	0	8.91666666666665	0	0	0	0	38	21.25	0	10855.6666666666	0	5.5	0	0.75	0	0	0	0	0	0	0	1606436.91666667
0159_AS41_40087_20190717_ST	1612955	0	0	0	0	0	0	10	0	0	0	0	0	253	388	0	11.25	0	0	0	0	7	2.75	0	10440	0	0	0	0	0	0	0	0	0	0	0	1601843
