Target	CorrelatedName	Correlation
	nmndf_nrcp_POS_00362.6976660	0.85554
	nmndf_log_POS_00172.0604060	0.85544
	nmndf_log_POS_00165.9666960	0.85541
	nmndf_log_POS_00100.0510460	0.85536
	nmndf_log_POS_00245.0767860	0.85482
	nmndf_log_POS_00382.7210160	0.85448
	nmndf_log_POS_00176.1028760	0.85393
	nmndf_log_POS_00090.0549060.1	0.85382
	nmndf_nrcp_POS_00147.1015260	0.85333
	nmndf_log_POS_00159.0763860	0.85301
	nmndf_nrcp_POS_00175.0964660	0.85285
	nmndf_nrcp_POS_00160.1331460	0.85252
	nmndf_nrcp_POS_00291.1438460	0.85251
	nmndf_nrcp_POS_00771.5724960	0.85242
	nmndf_log_POS_00188.1393360	0.85196
	nmndf_log_POS_00187.0713060	0.85193
	nmndf_nrcp_POS_00404.2492560	0.85192
	nmndf_sqrt_POS_00596.7434660	0.85182
	nmndf_log_POS_00306.9495860	0.85155
	nmndf_log_POS_00189.1233160	0.85139
	nmndf_log_POS_00373.1718660	0.85118
	nmndf_log_POS_00264.9389460	0.85069
	nmndf_log_POS_00275.1349060	0.85059
	nmndf_nrcp_POS_00223.1328460	0.85028
	nmndf_log_POS_00157.0971060	0.85022
	nmndf_log_POS_00349.6974960	0.84964
	nmndf_log_POS_00173.0556760.1	0.84937
	nmndf_nrcp_POS_00325.2010460	0.84924
	nmndf_log_POS_00107.0702260	0.84835
	nmndf_nrcp_POS_00165.1121160	0.84831
	nmndf_nrcp_POS_00145.0494560	0.84819
	nmndf_log_POS_00158.0672460	0.84762
	nmndf_log_POS_00244.1291260.2	0.8473
	nmndf_nrcp_POS_00173.1535960	0.84725
	nmndf_log_POS_00174.9578360	0.84713
	nmndf_nrcp_POS_00593.3321060	0.84662
	nmndf_nrcp_POS_00209.1383760	0.84638
	nmndf_log_POS_00521.2203160	0.84564
	nmndf_log_POS_00261.1137560	0.84525
	nmndf_nrcp_POS_00297.1696960	0.84503
	nmndf_nrcp_POS_00891.5119460	0.8432
	nmndf_nrcp_POS_00143.1065960	0.84307
	nmndf_log_POS_00219.0975260.2	0.84298
	nmndf_nrcp_POS_00346.2072960	0.84298
	nmndf_nrcp_POS_00173.0920460.1	0.8429
	nmndf_log_POS_00146.0447460	0.84266
	nmndf_nrcp_POS_00163.0964460	0.8424
	nmndf_log_POS_00551.2307560	0.84239
	nmndf_nrcp_POS_00175.0964560	0.84195
	nmndf_log_POS_00341.1822560	0.84127
	nmndf_nrcp_POS_00565.3429760	0.84007
	nmndf_nrcp_POS_00691.4067860	0.83982
	nmndf_nrcp_POS_00273.1332360	0.83976
	nmndf_sqrt_POS_00512.7818560	0.8397
	nmndf_nrcp_POS_00237.1332360.1	0.8381
	nmndf_nrcp_POS_00269.1383060	0.83799
	nmndf_log_POS_00453.1979860	0.83773
	nmndf_log_POS_00162.0759960	0.83739
	nmndf_nrcp_POS_00386.2901160	0.8367
	nmndf_sqrt_POS_00446.2597860	0.83653
	nmndf_log_POS_00341.1821160	0.83644
	nmndf_log_POS_00277.1030060	0.8363
	nmndf_log_POS_00114.0661360	0.83601
	nmndf_nrcp_POS_00237.1329660	0.83574
	nmndf_log_POS_00259.0924760	0.83559
	nmndf_log_POS_00390.1872660	0.83548
	nmndf_log_POS_00262.1397260	0.83506
