,Bacteroidales_S24_7_grp_uncl,Lachnospiraceae_uncl,Lachnospiraceae_NK4A136_grp,Ruminococcaceae_uncl,Lactococcus,Romboutsia,Clostridiales_vadinBB60_grp_uncl,Akkermansia,Anaeroplasma,Oscillibacter,Acetatifactor,Ruminiclostridium_9,Enterobacteriaceae_uncl,Lactobacillus,Turicibacter,Lachnospiraceae_UCG_001,Clostridium_sensu_stricto_1,Clostridiales_uncl,Parabacteroides,Tyzzerella,Enterococcus,Peptostreptococcaceae_uncl,Ruminococcaceae_UCG_014,Bacteria_uncl,Parcubacteria_uncl,Lachnoclostridium,Lactobacillales_uncl,Epulopiscium,Clostridiaceae_1_uncl,Erysipelatoclostridium,Flavobacterium,Ruminiclostridium_5,Roseburia,Anaerotruncus,Eubacterium_coprostanoligenes_grp
0115.PG156.SB.MST,3.57742153532727,0.55865159370626,0.771573590948932,-0.656684969269991,-7.1285412622607,-4.2120330307594,-7.1285412622607,-7.1285412622607,-7.1285412622607,-1.32166127286324,-0.844737200772931,-1.16751059303598,-7.1285412622607,-7.1285412622607,-7.1285412622607,-1.7271263809714,-7.1285412622607,-3.51888585019946,-7.1285412622607,-7.1285412622607,-7.1285412622607,-7.1285412622607,-2.13259148907957,-3.51888585019946,-7.1285412622607,-1.90944793776536,-7.1285412622607,-7.1285412622607,-7.1285412622607,-7.1285412622607,-4.2120330307594,-3.11342074209129,-2.01480845342319,-7.1285412622607,-7.1285412622607
0115.PG157.LB.MST,1.95901685413249,2.04638202557124,0.246810016606391,0.866753793143041,-2.11639969820409,-3.50269405932398,-0.304020941773299,2.39720329425851,-7.27472388177009,0.389126238786646,0.038265264713334,0.448549659257447,-7.27472388177009,-7.27472388177009,-7.27472388177009,-7.27472388177009,-7.27472388177009,-1.99861666254771,-4.19584123988393,-0.188508054651455,-7.27472388177009,-7.27472388177009,-0.900004373879596,-3.09722895121582,-7.27472388177009,-2.11639969820409,-7.27472388177009,-7.27472388177009,-7.27472388177009,-7.27472388177009,-7.27472388177009,-3.09722895121582,-4.19584123988393,-3.50269405932398,-7.27472388177009
0115.PG157.SB.MST,1.65949567965668,0.38434659686285,-1.60626373111037,-1.68964534004942,0.0111423509729074,0.87864291867763,-4.13199237541863,2.38936485817257,-7.73186775842622,-1.93476779808241,-2.26019019851703,-2.18608222636331,-7.73186775842622,-7.73186775842622,-7.73186775842622,-7.73186775842622,-7.73186775842622,-4.13199237541863,-7.73186775842622,-4.82513955597857,-3.72652726731046,-4.82513955597857,-0.747602112072851,-4.82513955597857,-3.72652726731046,-4.82513955597857,-7.73186775842622,-7.73186775842622,-7.73186775842622,-4.82513955597857,-2.74569801429873,-4.13199237541863,-7.73186775842622,-7.73186775842622,-7.73186775842622
0115.PG158.LB.MST,1.96221316122428,1.78730048994859,0.370234470161946,1.48789495380075,-2.88786206785954,-3.58100924841948,-1.27842415542544,1.7468669203701,-7.39219372509428,0.570030657479165,0.52986461575383,0.749724091866851,-7.39219372509428,-7.39219372509428,-7.39219372509428,-7.39219372509428,-7.39219372509428,-2.19471488729959,-7.39219372509428,-0.179811866757325,-7.39219372509428,-7.39219372509428,-1.78924977919143,-4.27415642897943,-4.27415642897943,-2.66471851654533,-7.39219372509428,-7.39219372509428,-7.39219372509428,-7.39219372509428,-7.39219372509428,-2.48239695975137,-7.39219372509428,-3.17554414031132,-7.39219372509428
0115.PG158.SB.MST,0.989594566837565,-0.890718299731936,-2.39479569650821,-7.11755896658976,-2.80026080461637,3.5979180700002,-7.11755896658976,0.797051455972072,-7.11755896658976,-7.11755896658976,-3.49340798517632,-7.11755896658976,-7.11755896658976,-4.18655516573626,-7.11755896658976,-7.11755896658976,-7.11755896658976,-7.11755896658976,-7.11755896658976,-7.11755896658976,-3.08794287706815,-4.18655516573626,-1.88397007274222,-4.18655516573626,-3.08794287706815,-7.11755896658976,-7.11755896658976,-7.11755896658976,-7.11755896658976,-4.18655516573626,-2.80026080461637,-4.18655516573626,-7.11755896658976,-7.11755896658976,-7.11755896658976
0115.PG159.LB.MST,1.77904280071186,1.8928911015151,0.146470312876107,0.733074245529177,-3.70367728883395,-7.52739163347585,-0.568183072904802,1.86275699467103,-7.52739163347585,0.493524658827857,0.00989477787035654,-0.269690084348805,-7.52739163347585,-7.52739163347585,-4.3968244693939,-7.52739163347585,-7.52739163347585,-2.31738292771406,-4.3968244693939,-0.0401156427043046,-7.52739163347585,-7.52739163347585,-1.50645271149773,-3.29821218072579,-7.52739163347585,-3.01053010827401,-7.52739163347585,-7.52739163347585,-7.52739163347585,-7.52739163347585,-7.52739163347585,-2.45091432033858,-7.52739163347585,-2.45091432033858,-7.52739163347585
0115.PG159.SB.MST,-0.494882002058139,1.68634223393164,-0.605547569945659,0.415678055107031,-0.872176233199607,-0.421454533503322,-2.44079215111345,0.423311679962102,-5.14884235221566,-0.0308485397989075,-0.207199929606358,-0.353051806618922,-8.16143326259407,-8.16143326259407,-8.16143326259407,-3.20293220316035,-5.14884235221566,-8.16143326259407,-8.16143326259407,-0.649032681885398,-2.66393570242766,-8.16143326259407,-2.95161777487944,-2.95161777487944,-2.58389299475413,-3.06940081053583,-8.16143326259407,-8.16143326259407,-8.16143326259407,-8.16143326259407,-2.2584705943195,-4.45569517165572,-8.16143326259407,-3.20293220316035,-8.16143326259407
0115.PG160.LB.MST,1.86630771316507,1.41347858880925,-0.375189687849136,0.464140002888891,-2.97787937329352,-7.45761267407378,-0.338822043678261,2.47744174206418,-7.45761267407378,-0.101493857372095,0.299265359698657,-0.269829172191309,-7.45761267407378,-7.45761267407378,-4.36417373441341,-7.45761267407378,-7.45761267407378,-2.57241426518536,-7.45761267407378,-0.0875076153973549,-4.36417373441341,-7.45761267407378,-1.87926708462541,-2.4182635853581,-7.45761267407378,-2.75473582197931,-7.45761267407378,-7.45761267407378,-7.45761267407378,-7.45761267407378,-7.45761267407378,-7.45761267407378,-4.36417373441341,-4.36417373441341,-7.45761267407378
0115.PG160.SB.MST,0.938090254352422,-1.011476205906,-2.59559631035581,-3.28874349091576,-0.846396455546553,-7.57656583475619,-7.57656583475619,3.10275477430318,-7.57656583475619,-7.57656583475619,-2.72912770298033,-3.9818906714757,-7.57656583475619,-7.57656583475619,-4.67503785203565,-7.57656583475619,-7.57656583475619,-7.57656583475619,-7.57656583475619,-7.57656583475619,-2.47781327469943,-7.57656583475619,-1.30774202204917,-7.57656583475619,-2.11008849457411,-3.9818906714757,-7.57656583475619,-7.57656583475619,-7.57656583475619,-3.9818906714757,-2.72912770298033,-4.67503785203565,-3.9818906714757,-7.57656583475619,-7.57656583475619
0115.PG161.LB.MST,2.69476079912919,2.06465699863587,0.245082841224936,1.35896260202383,-1.98339427961539,-3.9293044286707,-2.13754495944265,2.03427491494775,-7.09527351980357,0.874716616062556,0.148233015235019,0.67586575731739,-7.09527351980357,-7.09527351980357,-7.09527351980357,-7.09527351980357,-7.09527351980357,-2.54301006755081,-7.09527351980357,0.260350313355725,-3.9293044286707,-7.09527351980357,-0.793810212741551,-3.9293044286707,-7.09527351980357,-1.98339427961539,-7.09527351980357,-7.09527351980357,-7.09527351980357,-7.09527351980357,-7.09527351980357,-2.83069214000259,-7.09527351980357,-3.9293044286707,-7.09527351980357
