SampleID	ProportionKept
0262.HCF007.20230717.DOD.CS.2	0.999560375146542
0262.HCF007.20230817.DOD.CS	0.995901879281073
0262.HCF007.20230824.DOD.CS	0.782299741602067
0262.HCF007.20231116.DOD.CS	0.998103366524419
0262.HCF007.20240828.DOD.CS	0.928571428571429
0262.HCF007.20240912.DOD.CS	0.228291057211627
0262.HCF008.20230717.DOD.CS	0.778370144706778
0262.HCF008.20230717.DOD.CS.2	0.77751756440281
0262.HCF008.20230907.DOD.CS	0.946917808219178
0262.HCF008.20230914.DOD.CS	0.826855123674912
0262.HCF008.20231214.DOD.CS	1
0262.HCF009.20230717.DOD.CS.40c	0.803803803803804
0262.HCF009.20230717.DOD.CS.40c.2	0.825581395348837
0262.HCF009.20230720.DOD.CS	0.999197539119968
0262.HCF009.20230907.DOD.CS	0.596339113680154
0262.HCF009.20230914.DOD.CS	0.919753086419753
0262.HCF009.20231214.DOD.CS	0.993547418967587
0262.HCF009.20240828.DOD.CS	0.724971878515186
0262.HCF009.20240903.DOD.CS	0.799880167765129
0262.HCF010.20230717.DOD.CS.40c	0.988556789069172
0262.HCF010.20230717.DOD.CS.40c.2	0.98780487804878
0262.HCF010.20230720.DOD.CS	0.996728071354937
0262.HCF010.20230907.DOD.CS	0.859863945578231
0262.HCF010.20230914.DOD.CS	0.647540983606557
0262.HCF010.20240826.DOD.CS	0.9862721171446
0262.HCF010.20240904.DOD.CS	0.794967381174278
0262.HCF011.20230720.DOD.CS	0.997625120942915
0262.HCF011.20230907.DOD.CS	0.839727891156463
0262.HCF011.20230914.DOD.CS	0.836202656173143
0262.HCF011.20240829.DOD.CS	0.737490377213241
0262.HCF011.20240905.DOD.CS	0.843035343035343
0262.HCF012.20230720.DOD.CS	0.997093023255814
0262.HCF012.20230907.DOD.CS	0.939455095862765
0262.HCF012.20230907.DOD.CS.2	0.5
0262.HCF012.20230914.DOD.CS	0.914443422263109
0262.HCF012.20231214.DOD.CS	0.994957246217935
0262.HCF012.20231214.DOD.CS.2	0.997261211913728
0262.HCF012.20240826.DOD.CS	0.895457822638789
0262.HCF012.20240904.DOD.CS	0.998436331497722
0262.HCF013.20230907.DOD.CS	0.907272727272727
0262.HCF013.20230907.DOD.CS.2	0.990909090909091
0262.HCF013.20230914.DOD.CS	0.866576819407008
0262.HCF013.20240827.DOD.CS	0.968408262454435
0262.HCF013.20240904.DOD.CS	0.990348300461603
0262.HCF014.20230907.DOD.CS	0.96412037037037
0262.HCF014.20230914.DOD.CS	0.745042492917847
0262.HCF014.20240828.DOD.CS	0.818130630630631
0262.HCF014.20240904.DOD.CS	0.830342577487765
0262.HCF015.20231012.DOD.CS	0.58936170212766
0262.HCF015.20231019.DOD.CS	0.864991482112436
0262.HCF015.20240829.DOD.CS	0.765136495348482
0262.HCF016.20231012.DOD.CS	0.695173581710415
0262.HCF016.20231019.DOD.CS	0.733151183970856
0262.HCF016.20240111.DOD.CS	0.380830124090715
0262.HCF016.20240827.DOD.CS	0.858246800289785
0262.HCF016.20240903.DOD.CS	0.99020979020979
0262.HCF017.20231012.DOD.CS	0.997841726618705
0262.HCF017.20231019.DOD.CS	0.874200426439232
0262.HCF017.20240111.DOD.CS	0.394817073170732
0262.HCF017.20240909.DOD.CS	0.39360929557008
0262.HCF018.20231012.DOD.CS	0.6760098928277
0262.HCF018.20231012.DOD.CS.2	1
0262.HCF018.20240828.DOD.CS	0.784993219828236
0262.HCF018.20240904.DOD.CS	0.56857855361596
0262.HCF019.20231012.DOD.CS	0.783236994219653
0262.HCF019.20231012.DOD.CS.2	0.659033078880407
0262.HCF019.20231019.DOD.CS	0.959731543624161
0262.HCF019.20240827.DOD.CS	0.881608339538347
0262.HCF019.20240903.DOD.CS	0.990435050910213
0262.HCF020.20231012.DOD.CS	0.907766990291262
0262.HCF020.20240111.DOD.CS	0.997047244094488
0262.HCF020.20240828.DOD.CS	0.89469997665188
0262.HCF020.20240905.DOD.CS	0.710310965630115
0262.HCF021.20231109.DOD.CS	0.984817813765182
0262.HCF021.20231116.DOD.CS	0.978238341968912
0262.HCF021.20240208.DOD.CS	0.995032679738562
0262.HCF021.20240828.DOD.CS	0.984574111334675
0262.HCF021.20240904.DOD.CS	0.727272727272727
0262.HCF022.20231109.DOD.CS	0.940673131774102
0262.HCF022.20231116.DOD.CS	0.882597835137386
0262.HCF022.20240208.DOD.CS	0.859326486744686
0262.HCF022.20240905.DOD.CS	0.982516480366867
0262.HCF022.20240912.DOD.CS	0.918688230008985
0262.HCF023.20231109.DOD.CS	0.788958147818344
0262.HCF023.20231116.DOD.CS	0.767038007863696
0262.HCF023.20231116.DOD.CS.2	0.949115044247788
0262.HCF023.20240208.DOD.CS	0.868950111690246
0262.HCF023.20240909.DOD.CS	0.513979611358605
0262.HCF023.20240916.DOD.CS	0.996583143507973
0262.HCF024.20231109.DOD.CS	0.832694763729246
0262.HCF024.20231116.DOD.CS	0.998696219035202
