sample_id	total	1.-.-.-	1.-.-.- ;1.1.1.- ;1.1.1.290	1.-.-.- ;1.1.1.100	1.-.-.- ;1.1.1.125	1.-.-.- ;1.1.1.131	1.-.-.- ;1.1.1.18	1.-.-.- ;1.1.1.274
0159_AP39_21339_20181113_ST_E21	1139893	4341	0	0	0	0	0	0
0159_AP39_21341_20181113_ST_E21	1577150	7415	0	0	0	0	0	0
0159_AP39_21346_20180823_ST_E21	1359335	4346	0	0	0	0	0	0
0159_AP39_21350_20180306_ST_E21	1888679	5461	0	0	0	0	0	0
0159_AP39_21351_20180313_ST_E21	1671509	5645	0	0	0	0	0	0
0159_AP39_21352_20180307_ST_E21	1216254	3864	0	0	0	0	0	0
0159_AP39_21355_20180223_ST_E21	1465248	5009	0	0	0	0	0	0
0159_AP39_21356_20180515_ST_E21	934428	2946	0	0	0	0	0	0
0159_AP39_21358_20180320_ST_E21	988444	4908	0	0	0	0	0	0
0159_AP39_21359_20180323_ST_E21	1916881	5585	0	0	0	0	0	0
0159_AP39_21361_20180308_ST_E21	2160913	6374	0	0	0	0	0	0
0159_AP39_21362_20180306_ST_E21	2165013	6485	0	0	0	0	0	0
0159_AP39_21363_20180308_ST_E21	1898843	5010	0	0	0	0	0	0
0159_AP39_21364_20180504_ST_E21	1361711	4676	0	0	0	0	0	0
0159_AP39_21365_20180226_ST_E21	1386021	3846	0	0	0	0	0	0
0159_AP39_21366_20180409_ST_E21	1201492	4152	0	0	0	0	0	0
0159_AP39_21367_20180508_ST_E21	1011021	2527	0	0	0	0	0	0
0159_AP39_21368_20180504_ST_E21	1799692	4859	0	0	0	0	0	0
0159_AP39_21369_20180329_ST_E21	1826512	4075	0	0	0	0	0	0
0159_AP39_21371_20180409_ST_E21	2001965	4983	0	0	0	0	0	0
0159_AP39_21372_20180327_ST_E21	1790998	4514	0	0	0	0	0	0
0159_AP39_21375_20181004_ST_E21	1662976	4764	0	0	0	0	0	0
0159_AP39_21377_20180525_ST_E21	1170702	2994	0	0	0	0	0	0
0159_AP39_21379_20180515_ST_E21	1168520	3468	0	0	0	0	0	0
0159_AP39_21380_20180330_ST_E21	894529	2352	0	0	0	0	0	0
0159_AP39_21382_20180515_ST_E21	1990816	6210	0	0	0	0	0	0
0159_AP39_21383_20180515_ST_E21	1935200	5744	0	0	0	0	0	0
0159_AP39_21384_20180520_ST_E21	2068727	5880	0	0	0	0	0	0
0159_AP39_21385_20180417_ST_E21	1251566	3157	0	0	0	0	0	0
0159_AP39_21386_20180320_ST_E21	1852517	5594	0	0	0	0	0	0
0159_AP39_21387_20180503_ST_E21	1806728	4213	0	0	0	0	0	0
0159_AP39_21388_20180307_ST_E21	1179167	3419	0	0	0	0	0	0
0159_AP39_21389_20180425_ST_E21	758079	2059	0	0	0	0	0	0
0159_AP39_21392_20180504_ST_E21	2009204	6502	0	0	0	0	0	0
0159_AP39_21393_20180418_ST_E21	2143638	5624	0	0	0	0	0	0
0159_AP39_21395_20180504_ST_E21	2169663	6686	0	0	0	0	0	0
0159_AP39_21401_20180607_ST_E21	979712	3257	0	0	0	0	0	0
0159_AP39_21402_20180611_ST_E21	868538	2186	0	0	0	0	0	0
0159_AP39_21403_20180907_ST_E21	776494	2078	0	0	0	0	0	0
0159_AP39_21406_20180531_ST_E21	1101286	3226	0	0	0	0	0	0
0159_AP39_21407_20180911_ST_E21	2003970	14032	0	0	0	0	0	0
0159_AP39_21408_20180806_ST_E21	2003005	7837	0	0	0	0	0	0
0159_AP39_21413_20180813_ST_E21	1523048	3804	0	0	0	0	0	0
