mouse_id	liver.ENSMUSG00000021492	liver.ENSMUSG00000026621	liver.ENSMUSG00000031010	liver.ENSMUSG00000039197	liver.ENSMUSG00000069805	liver.ENSMUSG00000024892	liver.ENSMUSG00000025347	liver.ENSMUSG00000023224	liver.ENSMUSG00000037942	liver.ENSMUSG00000028179	liver.ENSMUSG00000073988	liver.ENSMUSG00000063856	liver.ENSMUSG00000026664	liver.ENSMUSG00000030382	liver.ENSMUSG00000092746	liver.ENSMUSG00000026874	liver.ENSMUSG00000092702	liver.ENSMUSG00000017344	liver.ENSMUSG00000028307	liver.ENSMUSG00000056035	liver.ENSMUSG00000099021	liver.ENSMUSG00000099250
m19	-7.17110361073677	-7.20205442702302	-7.14282062917673	-6.92677967185623	-6.93259364172165	-6.59723267066833	-6.63158116169812	-6.42975724713031	-6.79681387821817	-6.95982907179734	-6.50111647745098	-6.22646867036265	-6.08255563324604	-6.02161051629362	-6.0261088372475	-5.80254413734207	-5.31853494612132	-5.30558954777295	-5.20672653177783	-4.46247639499641	-3.04456129814437	-2.72183743162736
m02	-7.23447173929261	-7.32418703861464	-7.05303930938516	-7.13078973803839	-6.89880807356647	-6.88846166714491	-6.88304391793648	-6.84774832756242	-6.80950824224793	-6.75076336653227	-6.65727809093578	-6.31100000947859	-6.33635554069439	-6.40370558634787	-5.65669270460908	-6.09671744938171	-5.33360674500339	-5.4831802527313	-5.18510514637104	-4.36839955964486	-3.32370295038791	-2.93169173673536
m20	-7.21911835724705	-7.14781511890779	-7.15163697594699	-6.83687558013678	-6.80374290953733	-6.69341190669353	-6.66802180519755	-6.64869130638013	-6.7383632945558	-6.77726947762652	-6.45729947264657	-6.3736284069568	-6.11630027942783	-6.0944565610156	-5.8053331867438	-5.98957771974958	-5.51645987325451	-5.37891642089782	-5.12137796655204	-4.44471994474255	-3.19074125864377	-2.78458069960879
m21	-7.27597604518653	-7.24562319960962	-7.02374976969348	-7.06410083553814	-7.09241304062153	-6.89816272929701	-6.94204330993609	-6.88018818348506	-6.76267463434486	-7.00032061389741	-6.65464613563515	-6.48156768694201	-6.49336745844345	-6.28887521337824	-5.79622207848925	-5.95470604466896	-5.48650599366025	-5.43212590115715	-5.23150582082805	-4.42409689032777	-3.12475733644897	-2.81341035686057
m22	-7.23381020365306	-7.20087583412692	-6.83862861794485	-7.03163407375014	-7.05539978303715	-6.89088454516234	-6.75749567694536	-6.85227550326713	-6.55492677800585	-6.80734453292817	-6.56345396145808	-6.49041237911985	-6.39998612890957	-6.37017090366622	-6.70953635922987	-5.94814792895006	-6.4593636955892	-5.36618584628999	-5.11088512414661	-4.19926755861868	-3.96201755716999	-3.61474947772086
m23	-7.37662367119732	-7.35961208500786	-7.07085306986627	-7.08042435768103	-7.15429840970314	-7.08086952759489	-6.82805550277042	-6.91356429707745	-6.68772490387477	-6.68732428290692	-6.80605290392515	-6.71751574205035	-6.67845172943712	-6.32952352222928	-6.2098165861388	-5.92155258829993	-6.07402182064291	-5.495678686945	-5.29492778965909	-4.21092013184803	-3.55693405607234	-3.24582256494415
m24	-7.23507108132309	-7.2303315834388	-6.99666940122064	-7.0450024290917	-7.02629726526622	-6.91885583705808	-6.69876637225611	-6.98023809710841	-6.70442930873803	-6.48913184501344	-6.6638868827476	-6.43323203118266	-6.39645815463988	-6.27127169610402	-6.26251876618235	-5.97314453933023	-5.91381625309289	-5.38923634952934	-5.2036073566665	-4.25521644957118	-3.62363919707119	-3.23110784380436
m25	-7.08159045587349	-7.34756721821207	-7.03643354756579	-6.87907633997669	-7.22416061335574	-6.86546695470684	-7.11292676550262	-6.86579403713453	-6.6224961957918	-6.62575031983657	-6.71636671646813	-6.56825124933593	-6.38227197746356	-6.33486755955589	-5.4188339000628	-5.7993156596147	-5.05375211384605	-5.29570028476199	-5.27397956770604	-4.11202105608842	-2.89537839361675	-2.64401647476413
m26	-7.14136516081935	-7.3259440976161	-6.96629189176715	-7.05732369531219	-6.88430074286409	-6.82519865178163	-6.87769845663555	-6.422261873795	-6.69124840377371	-6.48142043465393	-6.49922291493113	-6.36513244084216	-6.29340163517403	-6.15849882365242	-6.27962446359418	-5.49306270157753	-6.06393947364079	-5.1621483703343	-5.25999173335491	-4.24595447960947	-3.59024492827197	-3.26568484917596
m27	-7.21843068379326	-7.24385793724324	-6.99712489008559	-6.94599097708395	-7.05169853175882	-6.84993368794973	-6.7409959505588	-6.88109801618647	-6.63582755137607	-6.99430008942909	-6.66158045387442	-6.53533459989631	-6.35110587845827	-6.29352373455732	-5.96452684821563	-6.11653197773194	-5.94331435217635	-5.44996890893959	-5.20143762361546	-4.2252419888669	-3.26920769713492	-2.89394218975541
m28	-7.26636699322987	-7.21730830248407	-7.04439560117601	-7.08498653245438	-7.14277469678586	-6.85915892061627	-6.70538879728429	-6.85833988849874	-6.58172173171591	-6.89446733504384	-6.83220869242592	-6.52959825162685	-6.4814608725213	-6.17393074066232	-6.1825542213154	-5.93223044093743	-6.02765118119265	-5.38416012088132	-5.3246582841309	-4.40790570600271	-3.35632253079535	-3.05392616086921
