Variable	beta
log_POS_00127.0388960	1.76007202004627
log_POS_00582.8628960	2.62724030286184
log_POS_00100.0110760	1.64720221896335
log_NEG_00115.0400540	1.77196997699043
log_POS_00147.0250660	1.7282204971309
log_NEG_00116.0717040	1.92823911078143
orig_POS_00455.2793760	3.95081413865354
NEG_00260.9988540	1.66074489148769
log_NEG_00590.9017040	1.78660460080003
POS_00243.1954660	2.54318088990607
POS_00367.2269560	2.43915273227982
log_POS_00743.2304660	2.8216226550117
sqrt_NEG_00178.9777440	173144.775861714
POS_00163.0964260	2.96981736195437
orig_POS_00171.0628060	6.09833483221196
POS_00159.0131460	2.31027263185279
log_NEG_00102.9568740	3.374788331995
log_POS_00129.0144660	1.73765811100605
POS_00202.0063660	2.70563721098168
log_NEG_00360.9980440	2.85278795286977
log_POS_00455.2067060	4.36503762928121
log_POS_00119.0187960	1.70245051439929
log_POS_00583.1368360	2.44865152950353
sqrt_POS_00111.0103660	1.01681587287996
log_NEG_00161.0456340	1.61060132982826
log_POS_00183.0499460	1.88560269187117
log_POS_00200.0440860	2.58984362926168
log_POS_00378.9005560	1.98921253309395
log_POS_00128.0229060	1.66959218538834
log_NEG_00357.9242240	3.6860563203904
log_POS_00119.0300360	1.33871432812845
log_NEG_00101.0244840	1.40389196811418
log_POS_00229.0781460	1.31834873724207
log_NEG_00298.1146040	1.87116491781061
log_POS_00443.0636460	2.54619020918768
log_NEG_00279.9080140	5.14961529026286
log_POS_00384.2594360	8.57968835825664
POS_00457.2950160	6.27928804081635
POS_00144.9976660	2.00619283650002
log_NEG_00672.8586240	2.42041435861496
POS_00425.2568260	1.9322722978272
log_NEG_00536.8843340	1.878318115852
log_NEG_00522.9148540	1.79528907641198
POS_00133.0607260	2.19217562278232
POS_00165.1273860	2.17039513006487
log_NEG_00257.9136840	34.6879478592949
log_POS_00122.5368360	2.00456383860125
log_POS_00557.2909160	1.44020416372464
POS_00269.1383060	2.13629506328144
log_NEG_01450.7515740	3.83934162495408
sqrt_NEG_00239.9030040	183227.98055279
POS_00147.1127360	1.88256894161474
log_NEG_00245.0569540	1.66725619981277
NEG_00269.0882440	1.61367628066195
log_NEG_00125.0244440	1.49678565634495
log_NEG_00289.9368340	6.24041911717177
POS_00125.0232860	1.99167695848102
log_POS_00172.9922960	3.42283480920866
POS_00241.0309660	1.95210654236474
log_POS_00237.1332660	2.57158578518424
sqrt_NEG_00315.0935840	3.01710549219391
POS_00650.8503160	2.61409891878889
log_NEG_00428.0676440	1.6584133128997
log_POS_00509.2755460	1.80006713633825
log_POS_00514.8754660	2.1418362144854
log_POS_00279.1491860	1.841253195806
log_POS_00384.2594160	1.95028007834812
log_NEG_00218.1034640	4.62701822636643
log_POS_00249.0453660	1.81080165224325
log_NEG_00198.0748340	2.28173997222316
log_POS_00202.1437760	1.57282143909573
log_POS_00367.2327960	1.83555533294608
log_POS_00525.2880260	1.39147221754256
NEG_00511.9599940	1.72627732683772
log_NEG_00232.0592240	1.96624640482803
orig_POS_00196.9439560	1.55882907059888
sqrt_NEG_00205.9357740	9.30331075947523
log_NEG_00191.0197540	4.01477158850815
sqrt_NEG_00290.0206640	180587.353921081
log_POS_00084.0443260	2.07569953139402
log_POS_00543.3378260	2.71575759436227
log_POS_00413.2382860	2.27888162757052
orig_POS_00247.0067260	1.52061147618068
log_NEG_00130.0873640	1.83430222141597
orig_POS_00165.0545860	4.77217128869574
log_POS_00138.0524960	1.70325504602671
POS_00214.9545460	1.7370551276681
NEG_00433.8755040	1.1902083253846
sqrt_NEG_00173.9261640	6.86712027872282
log_POS_00323.2065960	2.09104924837766
sqrt_NEG_00233.9308340	7.63209212311541
sqrt_NEG_00367.9273540	2.49062493263528
log_POS_00089.0596460	1.59647519253873
log_POS_00560.3643260	2.72185632332367
log_NEG_00217.0619440	1.65935611001945
POS_00195.1226860.1	1.97157536812413
log_POS_01572.6429560	1.52610437393614
log_NEG_00107.0350440	1.84742268491871
log_POS_00116.0704960	2.06532598112093
log_POS_00256.5750860	2.45308397283442
log_POS_00149.0225360	1.37367793677517
log_POS_01556.6691060	3.08877445146925
log_POS_00325.2527060	3.36555925813826
log_POS_00139.5309160	2.25044444300264
POS_00167.1430260	1.35922538395947
POS_00130.0861860	2.09196153116748
log_POS_00455.2853160	2.13710024363477
log_NEG_00186.0385340	2.35288740450546
log_POS_00472.3118760	2.16494798334243
POS_00446.8880260	1.91678610311427
log_NEG_00245.9468240	2.68014424598515
POS_00369.2121160	2.35071290347824
POS_00226.9513460	1.97916053849571
log_NEG_00199.9413840	2.97224246437569
orig_POS_00085.0283360	1.14247382208942
POS_00490.3293060	1.77892326384202
log_POS_00340.2331160	2.61057497189643
POS_00204.1228160	2.49900562224726
log_NEG_00311.1098340	1.97203246506208
log_NEG_00174.9778940	1.71986972565566
log_POS_00473.2172560	3.83352287128143
POS_00191.0389160	2.16042456693686
orig_POS_00608.3856160	0.891238396292723
POS_00115.0865160	1.70437933568833
log_POS_00242.9253460	2.28271705918052
log_NEG_00311.0499140	3.33634065154297
orig_POS_00142.0472760	1.1674658612046
POS_00205.0393960	2.5947327082328
log_POS_00227.9547260	2.14359865907161
sqrt_NEG_00314.9324340	1.92185395554011
log_POS_00411.2590960	1.95323774680193
log_POS_00251.0428660	1.23461235830502
sqrt_POS_00329.0098560	2.83497796438524
sqrt_POS_00110.0130160	2.96121647866096
orig_POS_00195.1379360	0.919631455723332
log_POS_00469.2829860	3.55552170658154
log_POS_00516.3380960	2.27028490836242
sqrt_NEG_00143.9353940	9.3701503999766
log_POS_00428.2856660.1	1.92051817830575
POS_00116.0341760	2.08642111147534
log_POS_00786.8251060	1.94679501334002
log_POS_00474.2911460	2.11519405139455
log_POS_00174.9379660	2.52446046913524
log_POS_00357.2469460	1.60045278272435
log_POS_00499.3115460	2.25084639026239
log_POS_01474.7121260	4.69193557498929
log_POS_00149.5327260	1.64396210310667
log_NEG_00371.0660840	2.20783084067093
orig_POS_00161.0484160	1.48037581217714
POS_00177.1121060	2.30088950541341
log_NEG_00085.0295840	1.54381196757491
log_POS_00200.5458560	2.16836523525397
log_NEG_00416.8833040	1.2481909770792
log_POS_00090.0548960	2.97610177101558
log_NEG_00221.8786840	1.20059172184905
